#use_strict_skill_naming = False
#stats = {"job_class":"SGE","det_stat":3283,"crit_stat":3361,"dh_stat":960,"tenacity":420,"speed_stat":891,"version":"7.4","level":100,"wd":158,"main_stat":6820,"healer_or_caster_strength":266}
time,skill_name,job_class,skill_conditional,targets,players_to_buff,overriding_skill_conditional_for_other_players
-16,Eukrasia,,,,,
-1.5000000000000018,Pneuma,,,"Boss0",,
0.06756756756756488,Grade 4 Gemdraught,,,,,
0.9404404404404332,Eukrasian Dosis III,,,"Boss0",,
2.4409409409409335,Dosis III,,,"Boss0",,
4.88138138138137,Dosis III,,,"Boss0",,
7.3218218218218105,Phlegma III,,,"Boss0",,
7.9418218218218115,Psyche,,,"Boss0",,
9.76226226226225,Phlegma III,,,"Boss0",,
10.382262262262248,Druochole,,,,,
12.202702702702691,Dosis III,,,"Boss0",,
14.643143143143135,Dosis III,,,"Boss0",,
17.083583583583575,Dosis III,,,"Boss0",,
19.524024024024015,Dosis III,,,"Boss0",,
21.964464464464456,Dosis III,,,"Boss0",,
24.404904904904896,Eukrasia,,,,,
25.405905905905897,Eukrasian Dosis III,,,"Boss0",,
26.906406406406397,Dosis III,,,"Boss0",,
28.473973973973962,Druochole,,,,,
29.346846846846844,Dosis III,,,"Boss0",,
30.914414414414416,Lucid Dreaming,,,,,
31.787287287287292,Dosis III,,,"Boss0",,
34.22772772772774,Dosis III,,,"Boss0",,
36.66816816816819,Dosis III,,,"Boss0",,
39.10860860860863,Dosis III,,,"Boss0",,
41.549049049049074,Dosis III,,,"Boss0",,
43.989489489489515,Dosis III,,,"Boss0",,
46.42992992992996,Dosis III,,,"Boss0",,
48.87037037037041,Dosis III,,,"Boss0",,
51.31081081081085,Dosis III,,,"Boss0",,
53.751251251251304,Eukrasia,,,,,
54.75225225225232,Eukrasian Dosis III,,,"Boss0",,
56.25275275275281,Dosis III,,,"Boss0",,
58.69319319319327,Dosis III,,,"Boss0",,
60.260760760760846,Druochole,,,,,
61.13363363363372,Dosis III,,,"Boss0",,
62.7012012012013,Druochole,,,,,
63.57407407407416,Dosis III,,,"Boss0",,
65.14164164164173,Rhizomata,,,,,
66.0145145145146,Dosis III,,,"Boss0",,
67.94182182182193,Psyche,,,"Boss0",,
68.56182182182194,Dosis III,,,"Boss0",,
71.00226226226239,Dosis III,,,"Boss0",,
73.44270270270285,Dosis III,,,"Boss0",,
75.8831431431433,Dosis III,,,"Boss0",,
78.32358358358374,Dosis III,,,"Boss0",,
80.7640240240242,Dosis III,,,"Boss0",,
83.20446446446465,Eukrasia,,,,,
84.20546546546565,Eukrasian Dosis III,,,"Boss0",,
85.70596596596616,Phlegma III,,,"Boss0",,
86.32596596596616,Kerachole,,,,,
88.1464064064066,Dosis III,,,"Boss0",,
90.58684684684705,Dosis III,,,"Boss0",,
93.02728728728749,Dosis III,,,"Boss0",,
95.46772772772793,Dosis III,,,"Boss0",,
97.90816816816839,Dosis III,,,"Boss0",,
99.47573573573597,Lucid Dreaming,,,,,
100.34860860860884,Dosis III,,,"Boss0",,
102.7890490490493,Dosis III,,,"Boss0",,
104.35661661661686,Druochole,,,,,
105.22948948948974,Dosis III,,,"Boss0",,
107.66992992993019,Dosis III,,,"Boss0",,
