sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,607,43867.725,231.841,47815.037,497.771,173990,35883799,373563
Fire IV,156,87873.09,62.361,18266.132,279.674,46800,13708202,209887
Xenoglossy,31,183717.065,36.764,7588.873,283.449,27590,5695229,212720
Flare Star,26,151952.154,17.322,5264.369,201.441,13000,3950756,151176
Paradox,44,83782.045,31.66,4912.129,136.306,23760,3686410,102294
Thunder (dot),243,11169.934,19.428,3616.787,45.088,14580,2714294,33837
Despair,26,103739.192,12.126,3594.035,136.071,9100,2697219,102117
Fire III,20,60900.2,7.728,1622.986,66.853,5800,1218004,50171
Blizzard IV,18,44767.667,7.195,1073.75,45.178,5400,805818,33905
Blizzard III,18,43796.889,6.956,1050.466,44.333,5220,788344,33271
High Thunder,25,24780.92,4.997,825.512,32.134,3750,619523,24116
