sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Contre Sixte,Corps-a-corps,Enchanted Redoublement,Enchanted Riposte,Enchanted Zwerchhau,Engagement,Fleche,Grand Impact,Jolt III,Prefulgence,Resolution,Scorch,Veraero III,Verfire,Verflare,Verholy,Verstone,Verthunder III,Vice of Thorns
-510,750,Veraero III,58789.0,0,0,0,0,0,0,0,0,0,0,0,0,0,58789,0,0,0,0,0,0
90,850,Verthunder III,59417.0,0,0,0,0,0,0,0,0,0,0,0,0,0,58789,0,0,0,0,59417,0
750,1282,Auto,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,58789,0,0,0,0,59417,0
2580,3340,Veraero III,59417.0,0,0,0,0,0,0,0,0,0,0,0,0,0,118206,0,0,0,0,59417,0
4190,4722,Auto,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,118206,0,0,0,0,59417,0
3980,5140,Fleche,73632.0,0,0,0,0,0,0,0,73632,0,0,0,0,0,118206,0,0,0,0,59417,0
5070,5830,Veraero III,67506.0,0,0,0,0,0,0,0,73632,0,0,0,0,0,185712,0,0,0,0,59417,0
7630,8162,Auto,0.0,0,0,0,0,0,0,0,73632,0,0,0,0,0,185712,0,0,0,0,59417,0
7560,8190,Enchanted Riposte,71736.0,0,0,0,0,71736,0,0,73632,0,0,0,0,0,185712,0,0,0,0,59417,0
8260,9420,Contre Sixte,80526.0,0,80526,0,0,71736,0,0,73632,0,0,0,0,0,185712,0,0,0,0,59417,0
9060,9690,Enchanted Zwerchhau,80157.0,0,80526,0,0,71736,80157,0,73632,0,0,0,0,0,185712,0,0,0,0,59417,0
9760,10390,Corps-a-corps,24903.0,0,80526,24903,0,71736,80157,0,73632,0,0,0,0,0,185712,0,0,0,0,59417,0
10560,11190,Enchanted Redoublement,125195.0,0,80526,24903,125195,71736,80157,0,73632,0,0,0,0,0,185712,0,0,0,0,59417,0
11070,11602,Auto,0.0,0,80526,24903,125195,71736,80157,0,73632,0,0,0,0,0,185712,0,0,0,0,59417,0
11260,11840,Engagement,36565.0,0,80526,24903,125195,71736,80157,36565,73632,0,0,0,0,0,185712,0,0,0,0,59417,0
11960,12590,Corps-a-corps,26398.0,0,80526,51301,125195,71736,80157,36565,73632,0,0,0,0,0,185712,0,0,0,0,59417,0
12760,14190,Verflare,145416.0,0,80526,51301,125195,71736,80157,36565,73632,0,0,0,0,0,185712,0,145416,0,0,59417,0
13460,14880,Prefulgence,268465.0,0,80526,51301,125195,71736,80157,36565,73632,0,0,268465,0,0,185712,0,145416,0,0,59417,0
14510,15042,Auto,0.0,0,80526,51301,125195,71736,80157,36565,73632,0,0,268465,0,0,185712,0,145416,0,0,59417,0
15950,16750,Vice of Thorns,212533.0,0,80526,51301,125195,71736,80157,36565,73632,0,0,268465,0,0,185712,0,145416,0,0,59417,212533
15250,17080,Scorch,167788.0,0,80526,51301,125195,71736,80157,36565,73632,0,0,268465,0,167788,185712,0,145416,0,0,59417,212533
17950,18482,Auto,0.0,0,80526,51301,125195,71736,80157,36565,73632,0,0,268465,0,167788,185712,0,145416,0,0,59417,212533
18440,19020,Engagement,36565.0,0,80526,51301,125195,71736,80157,73130,73632,0,0,268465,0,167788,185712,0,145416,0,0,59417,212533
17740,19300,Resolution,190162.0,0,80526,51301,125195,71736,80157,73130,73632,0,0,268465,190162,167788,185712,0,145416,0,0,59417,212533
20231,21781,Grand Impact,134229.0,0,80526,51301,125195,71736,80157,73130,73632,134229,0,268465,190162,167788,185712,0,145416,0,0,59417,212533
21390,21922,Auto,0.0,0,80526,51301,125195,71736,80157,73130,73632,134229,0,268465,190162,167788,185712,0,145416,0,0,59417,212533
24830,25362,Auto,0.0,0,80526,51301,125195,71736,80157,73130,73632,134229,0,268465,190162,167788,185712,0,145416,0,0,59417,212533
24211,25511,Verfire,84967.0,0,80526,51301,125195,71736,80157,73130,73632,134229,0,268465,190162,167788,185712,84967,145416,0,0,59417,212533
25211,25971,Verthunder III,88420.0,0,80526,51301,125195,71736,80157,73130,73632,134229,0,268465,190162,167788,185712,84967,145416,0,0,147837,212533
27701,28461,Verthunder III,64292.0,0,80526,51301,125195,71736,80157,73130,73632,134229,0,268465,190162,167788,185712,84967,145416,0,0,212129,212533
28270,28802,Auto,0.0,0,80526,51301,125195,71736,80157,73130,73632,134229,0,268465,190162,167788,185712,84967,145416,0,0,212129,212533
28980,30140,Fleche,70126.0,0,80526,51301,125195,71736,80157,73130,143758,134229,0,268465,190162,167788,185712,84967,145416,0,0,212129,212533
32181,32713,Auto,0.0,0,80526,51301,125195,71736,80157,73130,143758,134229,0,268465,190162,167788,185712,84967,145416,0,0,212129,212533
31681,32981,Verstone,55509.0,0,80526,51301,125195,71736,80157,73130,143758,134229,0,268465,190162,167788,185712,84967,145416,0,55509,212129,212533
32680,33440,Veraero III,64292.0,0,80526,51301,125195,71736,80157,73130,143758,134229,0,268465,190162,167788,250004,84967,145416,0,55509,212129,212533
37161,37693,Auto,0.0,0,80526,51301,125195,71736,80157,73130,143758,134229,0,268465,190162,167788,250004,84967,145416,0,55509,212129,212533
36661,37961,Verfire,51299.0,0,80526,51301,125195,71736,80157,73130,143758,134229,0,268465,190162,167788,250004,136266,145416,0,55509,212129,212533
37661,38421,Verthunder III,59417.0,0,80526,51301,125195,71736,80157,73130,143758,134229,0,268465,190162,167788,250004,136266,145416,0,55509,271546,212533
40601,41133,Auto,0.0,0,80526,51301,125195,71736,80157,73130,143758,134229,0,268465,190162,167788,250004,136266,145416,0,55509,271546,212533
40151,41701,Grand Impact,81043.0,0,80526,51301,125195,71736,80157,73130,143758,215272,0,268465,190162,167788,250004,136266,145416,0,55509,271546,212533
