sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,435,52804.051,295.646,43538.96,657.753,224100,33002532,498577
Resolution,23,146938.435,25.792,4458.554,257.901,19550,3379584,195489
Scorch,23,133439.87,22.757,4048.967,233.639,17250,3069117,177098
Veraero III,51,59937.294,29.604,4032.72,150.843,22440,3056802,114339
Verthunder III,49,60008.918,28.443,3879.204,148.315,21560,2940437,112423
Enchanted Redoublement,23,95213.391,16.992,2889.061,167.164,12880,2189908,126710
Fleche,30,70522.933,18.997,2791.145,138.458,14400,2115688,104951
Prefulgence,7,263314.429,11.082,2431.664,250.172,8400,1843201,189630
Verfire,35,52164.171,17.546,2408.636,109.405,13300,1825746,82929
Verstone,34,51356.559,17.045,2303.592,105.392,12920,1746123,79887
Vice of Thorns,7,210105.857,8.773,1940.292,199.534,6650,1470741,151247
Enchanted Zwerchhau,23,63673.913,11.53,1932.058,111.865,8740,1464500,84794
Verflare,12,119360.5,10.29,1889.612,151.157,7800,1432326,114577
Contre Sixte,22,61140.818,12.19,1774.536,102.639,9240,1345098,77800
Grand Impact,15,88378.933,11.873,1748.923,123.856,9000,1325684,93883
Enchanted Riposte,23,55246.609,10.317,1676.348,96.843,7820,1270672,73407
Verholy,11,112562.636,9.433,1633.495,136.731,7150,1238189,103642
Engagement,22,30056.864,5.224,872.363,51.22,3960,661251,38825
Corps-a-corps,22,21915.636,3.773,636.074,37.307,2860,482144,28279
Jolt III,3,48440.333,1.425,191.716,29.475,1080,145321,22342
