sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Demolish,Dragon Kick,Elixir Burst,Fire's Reply,Leaping Opo,Phantom Rush,Pouncing Coeurl,Rising Phoenix,Rising Raptor,Six-sided Star,The Forbidden Chakra,Twin Snakes,Wind's Reply
500,1790,Dragon Kick,32098.0,0,0,32098,0,0,0,0,0,0,0,0,0,0,0
1790,2322,Auto,7859.0,7859,0,32098,0,0,0,0,0,0,0,0,0,0,0
2440,3060,Leaping Opo,64066.0,7859,0,32098,0,0,64066,0,0,0,0,0,0,0,0
1770,3190,The Forbidden Chakra,40126.0,7859,0,32098,0,0,64066,0,0,0,0,0,40126,0,0
3830,4362,Auto,8933.0,16792,0,32098,0,0,64066,0,0,0,0,0,40126,0,0
3710,5130,The Forbidden Chakra,0.0,16792,0,32098,0,0,64066,0,0,0,0,0,40126,0,0
4380,5670,Dragon Kick,36492.0,16792,0,68590,0,0,64066,0,0,0,0,0,40126,0,0
5870,6402,Auto,11863.0,28655,0,68590,0,0,64066,0,0,0,0,0,40126,0,0
6320,6940,Leaping Opo,108883.0,28655,0,68590,0,0,172949,0,0,0,0,0,40126,0,0
6940,8360,The Forbidden Chakra,9641.0,28655,0,68590,0,0,172949,0,0,0,0,0,49767,0,0
7910,8442,Auto,13505.0,42160,0,68590,0,0,172949,0,0,0,0,0,49767,0,0
8930,9462,Auto,13505.0,55665,0,68590,0,0,172949,0,0,0,0,0,49767,0,0
8260,9680,Elixir Burst,155173.0,55665,0,68590,155173,0,172949,0,0,0,0,0,49767,0,0
8880,10300,The Forbidden Chakra,35820.0,55665,0,68590,155173,0,172949,0,0,0,0,0,85587,0,0
9950,10482,Auto,13505.0,69170,0,68590,155173,0,172949,0,0,0,0,0,85587,0,0
9530,10950,The Forbidden Chakra,6261.0,69170,0,68590,155173,0,172949,0,0,0,0,0,91848,0,0
10200,11490,Dragon Kick,55170.0,69170,0,123760,155173,0,172949,0,0,0,0,0,91848,0,0
10970,11502,Auto,13505.0,82675,0,123760,155173,0,172949,0,0,0,0,0,91848,0,0
10850,12270,The Forbidden Chakra,21682.0,82675,0,123760,155173,0,172949,0,0,0,0,0,113530,0,0
11990,12522,Auto,13505.0,96180,0,123760,155173,0,172949,0,0,0,0,0,113530,0,0
11430,12850,The Forbidden Chakra,6620.0,96180,0,123760,155173,0,172949,0,0,0,0,0,120150,0,0
12141,13341,Wind's Reply,179313.0,96180,0,123760,155173,0,172949,0,0,0,0,0,120150,0,179313
13010,13542,Auto,13505.0,109685,0,123760,155173,0,172949,0,0,0,0,0,120150,0,179313
12761,14181,The Forbidden Chakra,22068.0,109685,0,123760,155173,0,172949,0,0,0,0,0,142218,0,179313
14030,14562,Auto,13505.0,123190,0,123760,155173,0,172949,0,0,0,0,0,142218,0,179313
13411,14831,The Forbidden Chakra,23999.0,123190,0,123760,155173,0,172949,0,0,0,0,0,166217,0,179313
14081,15501,Fire's Reply,241384.0,123190,0,123760,155173,241384,172949,0,0,0,0,0,166217,0,179313
15050,15582,Auto,13505.0,136695,0,123760,155173,241384,172949,0,0,0,0,0,166217,0,179313
14731,16151,The Forbidden Chakra,13151.0,136695,0,123760,155173,241384,172949,0,0,0,0,0,179368,0,179313
16070,16602,Auto,13505.0,150200,0,123760,155173,241384,172949,0,0,0,0,0,179368,0,179313
16021,16641,Leaping Opo,111061.0,150200,0,123760,155173,241384,284010,0,0,0,0,0,179368,0,179313
15311,16731,The Forbidden Chakra,2517.0,150200,0,123760,155173,241384,284010,0,0,0,0,0,181885,0,179313
17090,17622,Auto,13505.0,163705,0,123760,155173,241384,284010,0,0,0,0,0,181885,0,179313
18110,18642,Auto,13505.0,177210,0,123760,155173,241384,284010,0,0,0,0,0,181885,0,179313
17291,18711,The Forbidden Chakra,54488.0,177210,0,123760,155173,241384,284010,0,0,0,0,0,236373,0,179313
