sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,607,42379.236,231.841,46192.611,468.498,173990,34666215,351594
Fire IV,156,85756.103,62.361,17826.075,269.246,46800,13377952,202061
Xenoglossy,31,166408.387,36.764,6873.897,254.808,27590,5158660,191226
Flare Star,26,146081.231,17.322,5060.971,190.061,13000,3798112,142635
Paradox,44,82891.773,31.66,4859.932,133.772,23760,3647238,100392
Thunder (dot),243,10952.296,19.428,3546.317,43.832,14580,2661408,32895
Despair,26,100529.231,12.126,3482.826,129.696,9100,2613760,97333
Fire III,20,60383.3,7.728,1609.211,65.776,5800,1207666,49363
Blizzard IV,18,44767.667,7.195,1073.75,45.178,5400,805818,33905
Blizzard III,18,43796.889,6.956,1050.466,44.333,5220,788344,33271
High Thunder,25,24290.28,4.997,809.168,31.227,3750,607257,23435
