sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,1267.4443,13877.167,432.993,32548.744,567.497,326200,24520954,427530
Burst Shot,184.6087,28608.316,53.909,7010.376,167.691,40613,5281344,126332
Refulgent Arrow,91.73570000000001,39987.061,34.094,4869.168,228.861,25685,3668241,172415
Shot,248.0,9236.504,26.335,3040.578,52.444,19840,2290653,39509
Heartbreak Shot,89.9494,25201.825,21.49,3009.034,117.184,16190,2266889,88282
Empyreal Arrow,49.0,35622.959,16.911,2316.983,90.04,12740,1745525,67833
Pitch Perfect,32.4949,52877.005,14.307,2280.757,197.719,10778,1718233,148954
Radiant Encore,7.0,198032.286,9.69,1840.055,190.897,7300,1386226,143814
Apex Arrow,12.000000000000002,107515.583,10.853,1712.575,316.492,8176,1290187,238433
Blast Arrow,11.6556,110616.184,10.829,1711.395,139.314,8158,1289298,104954
Stormbite (dot),251.0,3581.602,8.329,1193.295,20.613,6275,898982,15529
Resonant Arrow,7.0,121604.429,5.947,1129.911,116.227,4480,851231,87561
Sidewinder,13.0,63925.231,6.902,1103.094,84.308,5200,831028,63514
Caustic Bite (dot),250.0,2866.7,6.637,951.304,16.472,5000,716675,12409
Iron Jaws,18.0,14189.722,2.389,339.034,21.841,1800,255415,16454
Caustic Bite,1.0,18696.0,0.199,24.817,6.61,150,18696,4980
Stormbite,1.0,12331.0,0.133,16.368,4.322,100,12331,3256
