sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Demolish,Dragon Kick,Elixir Burst,Fire's Reply,Leaping Opo,Phantom Rush,Pouncing Coeurl,Rising Phoenix,Rising Raptor,Six-sided Star,The Forbidden Chakra,Twin Snakes,Wind's Reply
500,1790,Dragon Kick,32098.0,0,0,32098,0,0,0,0,0,0,0,0,0,0,0
1790,2322,Auto,7859.0,7859,0,32098,0,0,0,0,0,0,0,0,0,0,0
2440,3060,Leaping Opo,64066.0,7859,0,32098,0,0,64066,0,0,0,0,0,0,0,0
1770,3190,The Forbidden Chakra,40126.0,7859,0,32098,0,0,64066,0,0,0,0,0,40126,0,0
3830,4362,Auto,8933.0,16792,0,32098,0,0,64066,0,0,0,0,0,40126,0,0
3710,5130,The Forbidden Chakra,0.0,16792,0,32098,0,0,64066,0,0,0,0,0,40126,0,0
4380,5670,Dragon Kick,36492.0,16792,0,68590,0,0,64066,0,0,0,0,0,40126,0,0
5870,6402,Auto,11298.0,28090,0,68590,0,0,64066,0,0,0,0,0,40126,0,0
6320,6940,Leaping Opo,97829.0,28090,0,68590,0,0,161895,0,0,0,0,0,40126,0,0
6940,8360,The Forbidden Chakra,3723.0,28090,0,68590,0,0,161895,0,0,0,0,0,43849,0,0
7910,8442,Auto,12134.0,40224,0,68590,0,0,161895,0,0,0,0,0,43849,0,0
8930,9462,Auto,12134.0,52358,0,68590,0,0,161895,0,0,0,0,0,43849,0,0
8260,9680,Elixir Burst,139419.0,52358,0,68590,139419,0,161895,0,0,0,0,0,43849,0,0
8880,10300,The Forbidden Chakra,37165.0,52358,0,68590,139419,0,161895,0,0,0,0,0,81014,0,0
9950,10482,Auto,12134.0,64492,0,68590,139419,0,161895,0,0,0,0,0,81014,0,0
9530,10950,The Forbidden Chakra,5880.0,64492,0,68590,139419,0,161895,0,0,0,0,0,86894,0,0
10200,11490,Dragon Kick,49568.0,64492,0,118158,139419,0,161895,0,0,0,0,0,86894,0,0
10970,11502,Auto,12134.0,76626,0,118158,139419,0,161895,0,0,0,0,0,86894,0,0
10850,12270,The Forbidden Chakra,20701.0,76626,0,118158,139419,0,161895,0,0,0,0,0,107595,0,0
11990,12522,Auto,12134.0,88760,0,118158,139419,0,161895,0,0,0,0,0,107595,0,0
11430,12850,The Forbidden Chakra,6592.0,88760,0,118158,139419,0,161895,0,0,0,0,0,114187,0,0
12141,13341,Wind's Reply,161107.0,88760,0,118158,139419,0,161895,0,0,0,0,0,114187,0,161107
13010,13542,Auto,12134.0,100894,0,118158,139419,0,161895,0,0,0,0,0,114187,0,161107
12761,14181,The Forbidden Chakra,23446.0,100894,0,118158,139419,0,161895,0,0,0,0,0,137633,0,161107
14030,14562,Auto,12134.0,113028,0,118158,139419,0,161895,0,0,0,0,0,137633,0,161107
13411,14831,The Forbidden Chakra,20695.0,113028,0,118158,139419,0,161895,0,0,0,0,0,158328,0,161107
14081,15501,Fire's Reply,216877.0,113028,0,118158,139419,216877,161895,0,0,0,0,0,158328,0,161107
15050,15582,Auto,12134.0,125162,0,118158,139419,216877,161895,0,0,0,0,0,158328,0,161107
14731,16151,The Forbidden Chakra,9653.0,125162,0,118158,139419,216877,161895,0,0,0,0,0,167981,0,161107
16070,16602,Auto,12134.0,137296,0,118158,139419,216877,161895,0,0,0,0,0,167981,0,161107
16021,16641,Leaping Opo,99785.0,137296,0,118158,139419,216877,261680,0,0,0,0,0,167981,0,161107
15311,16731,The Forbidden Chakra,4417.0,137296,0,118158,139419,216877,261680,0,0,0,0,0,172398,0,161107
17090,17622,Auto,12134.0,149430,0,118158,139419,216877,261680,0,0,0,0,0,172398,0,161107
18110,18642,Auto,12134.0,161564,0,118158,139419,216877,261680,0,0,0,0,0,172398,0,161107
17291,18711,The Forbidden Chakra,49749.0,161564,0,118158,139419,216877,261680,0,0,0,0,0,222147,0,161107
