sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,857,37848.88,363.307,43278.891,575.419,272290,32436490,431263
Raiton,33,101057.182,32.583,4449.625,212.015,24420,3334887,158900
Gust Slash,79,41705.127,42.163,4396.011,132.124,31600,3294705,99024
Fleeting Raiju,33,95286.758,30.822,4195.549,199.717,23100,3144463,149683
Aeolian Edge,52,59179.058,38.854,4105.95,152.5,29120,3077311,114295
Auto,342,8581.588,41.069,3915.94,57.494,30780,2934903,43090
Hyosho Ranryu,13,224690.385,22.549,3897.356,295.51,16900,2920975,221478
Spinning Edge,79,31126.582,31.622,3280.959,98.491,23700,2459000,73817
Bhavacakra,45,49285.8,25.218,2959.216,123.654,18900,2217861,92676
Armor Crush,27,52149.704,18.013,1878.702,96.805,13500,1408042,72553
Suiton,20,69114.8,15.477,1844.35,113.311,11600,1382296,84924
Tenri Jindo,7,164993.143,10.274,1541.013,159.173,7700,1154952,119296
Kunai's Bane,13,84604.846,12.142,1467.509,111.272,9100,1099863,83396
Dream Within a Dream,39,23927.769,9.367,1245.114,54.506,7020,933183,40851
Zesho Meppo,7,108245.857,6.738,1011.001,104.74,5050,757721,78500
Phantom Kamaitachi (pet),9,78648.222,8.406,944.439,85.188,6300,707834,63846
Fuma Shuriken,7,74992.286,4.67,700.417,72.347,3500,524946,54222
Dokumori,7,44488.857,3.736,415.52,42.571,2800,311422,31906
Fleeting Raiju (pet),13,20256.923,2.775,351.365,26.728,2080,263340,20032
Spinning Edge (pet),10,15490.0,2.135,206.678,17.452,1600,154900,13080
Gust Slash (pet),9,15937.111,1.921,191.379,17.183,1440,143434,12878
Aeolian Edge (pet),8,16147.875,1.708,172.364,16.478,1280,129183,12350
Armor Crush (pet),5,16253.8,1.067,108.434,13.147,800,81269,9853
