sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,1267.4917,14149.217,433.272,33205.615,586.497,326410,25015815,441844
Burst Shot,184.68939999999998,28789.492,53.933,7057.857,169.52,40631,5317114,127710
Refulgent Arrow,91.6764,40698.02,34.073,4952.537,233.017,25669,3731048,175546
Shot,248.0,9357.5,26.335,3080.409,53.393,19840,2320660,40224
Heartbreak Shot,89.97900000000001,25599.984,21.498,3057.579,119.749,16196,2303461,90214
Pitch Perfect,32.512699999999995,54555.082,14.313,2354.426,204.805,10783,1773733,154292
Empyreal Arrow,49.0,36077.857,16.911,2346.571,91.667,12740,1767815,69058
Radiant Encore,7.0,207933.857,9.69,1932.058,200.442,7300,1455537,151005
Apex Arrow,11.999999999999998,110788.917,10.849,1764.714,329.497,8173,1329467,248230
Blast Arrow,11.6342,114072.046,10.809,1761.622,144.303,8143,1327137,108712
Stormbite (dot),251.0,3651.641,8.329,1216.631,21.14,6275,916562,15926
Resonant Arrow,7.0,127684.571,5.947,1186.406,122.038,4480,893792,91939
Sidewinder,13.0,65971.615,6.902,1138.406,87.457,5200,857631,65887
Caustic Bite (dot),250.0,2922.92,6.637,969.96,16.892,5000,730730,12726
Iron Jaws,18.0,14450.056,2.389,345.254,22.372,1800,260101,16854
Caustic Bite,1.0,18696.0,0.199,24.817,6.61,150,18696,4980
Stormbite,1.0,12331.0,0.133,16.368,4.322,100,12331,3256
