sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,729,32264.908,300.405,31223.4,396.987,226300,23521118,299057
Souleater,73,44628.849,46.514,4324.748,132.964,35040,3257906,100164
Syphon Strike,73,35367.808,36.824,3427.309,105.369,27740,2581850,79376
Edge of Shadow,47,53033.404,28.7,3308.793,131.659,21620,2492570,99181
Bloodspiller,37,60065.568,29.47,2950.187,129.901,22200,2222426,97857
Auto,255,8565.475,30.465,2899.438,48.296,22950,2184196,36382
Hard Slash,73,27771.219,29.071,2691.163,82.698,21900,2027299,62298
Torcleaver,13,89324.692,14.151,1541.477,116.156,10660,1161221,87502
Shadowbringer,14,75177.571,11.151,1397.136,101.794,8400,1052486,76683
Comeuppance,13,78429.308,12.425,1353.455,101.986,9360,1019581,76828
Scarlet Delirium,13,67535.0,10.699,1165.452,87.818,8060,877955,66155
Disesteem,7,125303.857,9.292,1164.353,119.973,7000,877127,90378
Carve and Spit,13,58821.538,9.319,1015.084,76.488,7020,764680,57620
Disesteem (pet),7,82229.714,5.761,764.098,78.738,4340,575608,59315
Shadowbringer (pet),7,75596.571,5.297,702.461,72.385,3990,529176,54529
Salt and Darkness,9,51599.889,5.974,616.472,55.602,4500,464399,41886
Abyssal Drain (pet),7,55698.571,3.903,517.564,53.333,2940,389890,40177
Bloodspiller (pet),7,55698.571,3.903,517.564,53.333,2940,389890,40177
Edge of Shadow (pet),7,55698.571,3.903,517.564,53.333,2940,389890,40177
Salted Earth (dot),45,4869.778,2.987,290.9,11.524,2250,219140,8681
Salted Earth,9,4869.778,0.597,58.18,5.153,450,43828,3882
