sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,844,27451.386,313.47,30732.846,400.172,236320,23168970,301683
Auto,269,7815.978,32.114,2788.892,45.957,24210,2102498,34646
Blasting Zone,25,79646.64,26.529,2641.214,144.063,20000,1991166,108607
Solid Barrel,43,37108.186,26.237,2116.578,83.814,19780,1595652,63186
Double Down,13,117199.308,17.244,2020.991,152.293,13000,1523591,114811
Lion Heart,13,116679.077,17.244,2012.02,151.586,13000,1516828,114278
Wicked Talon,26,55589.538,19.313,1917.178,101.831,14560,1445328,76769
Noble Blood,13,105457.538,15.52,1818.516,137.092,11700,1370948,103351
Brutal Shell,43,30556.256,21.674,1742.869,68.997,16340,1313919,52016
Savage Claw,26,49822.615,17.244,1718.288,91.586,13000,1295388,69045
Reign of Beasts,13,93758.308,13.795,1616.773,121.832,10400,1218858,91847
Gnashing Fang,26,43838.192,15.175,1511.896,80.584,11440,1139793,60751
Keen Edge,43,24116.372,17.111,1375.55,54.455,12900,1037004,41053
Burst Strike,30,33974.733,16.713,1351.99,63.99,12600,1019242,48241
Sonic Break (dot),62,13903.323,9.869,1143.421,39.49,7440,862006,29771
Eye Gouge,26,30961.5,10.346,1067.804,56.482,7800,804999,42581
Abdomen Tear,26,27791.154,8.967,958.464,51.135,6760,722570,38550
Jugular Rip,26,21917.846,7.587,755.905,40.29,5720,569864,30374
Sonic Break,13,39804.154,5.863,686.385,51.832,4420,517454,39075
Bow Shock (dot),65,7026.308,5.173,605.81,20.414,3900,456710,15390
Hypervelocity,30,14556.7,7.163,579.269,27.417,5400,436701,20669
Bow Shock,13,17573.154,2.587,303.032,22.834,1950,228451,17214
