sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_expected,sim_weight,sim_target,sim_conditions,sim_variance,sim_buffs,sim_application_timestamp
0,0,The Wanderer's Minuet,,,,,,,[],
0,893,Keen Edge,300.0,23916.0,,Boss1,[],38018986.0,[],
893,1425,Auto,90.0,6746.0,,Boss1,[],3078120.0,"[""The Wanderer's Minuet""]",
3125,3125,Bloodfest,,,,,,,[],
3491,3491,Dokumori,,,,,,,[],
3491,3491,Dokumori,,,,,,,[],
3491,3491,Dokumori,,,,,,,[],
2500,3574,Brutal Shell,380.0,30619.0,,Boss1,[],63421054.0,"[""The Wanderer's Minuet""]",
3750,3750,Grade 4 Gemdraught,,,,,,,[],
3693,4225,Auto,90.0,7083.0,,Boss1,[],3394249.0,"['Dokumori', ""The Wanderer's Minuet""]",
5103,5103,Battle Voice,,,,,,,[],5723.0
5133,5133,Brotherhood,,,,,,,[],5933.0
5220,5220,Chain Stratagem,,,,,,,[],6020.0
5625,5625,No Mercy,,,,,,,[],
5723,5723,Radiant Finale,,,,,,,[],6348.0
5903,5903,Embolden,,,,,,,[],6563.0
5000,6653,Solid Barrel,460.0,42134.0,,Boss1,[],120103215.0,"['Dokumori', 'Grade 4 Gemdraught', ""The Wanderer's Minuet""]",
6493,7025,Auto,90.0,10874.0,,Boss1,[],8778369.0,"['Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Dokumori', 'Grade 4 Gemdraught', 'No Mercy', 'Radiant Finale', ""The Wanderer's Minuet""]",
7500,8123,Gnashing Fang,440.0,60018.0,,Boss1,[],267387257.0,"['Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Dokumori', 'Embolden', 'Grade 4 Gemdraught', 'No Mercy', 'Radiant Finale', ""The Wanderer's Minuet""]",
8125,8927,Jugular Rip,220.0,30007.0,,Boss1,[],66839564.0,"['Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Dokumori', 'Embolden', 'Grade 4 Gemdraught', 'No Mercy', 'Radiant Finale', ""The Wanderer's Minuet""]",
9293,9825,Auto,90.0,11418.0,,Boss1,[],9677397.0,"['Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Dokumori', 'Embolden', 'Grade 4 Gemdraught', 'No Mercy', 'Radiant Finale', ""The Wanderer's Minuet""]",
10000,10716,Double Down,1000.0,136419.0,,Boss1,[],1381416809.0,"['Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Dokumori', 'Embolden', 'Grade 4 Gemdraught', 'No Mercy', 'Radiant Finale', ""The Wanderer's Minuet""]",
10625,11252,Bow Shock,150.0,20457.0,,Boss1,[],31059723.0,"['Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Dokumori', 'Embolden', 'Grade 4 Gemdraught', 'No Mercy', 'Radiant Finale', ""The Wanderer's Minuet""]",
11250,11875,Blasting Zone,800.0,109134.0,,Boss1,[],884086937.0,"['Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Dokumori', 'Embolden', 'Grade 4 Gemdraught', 'No Mercy', 'Radiant Finale', ""The Wanderer's Minuet""]",
12093,12625,Auto,90.0,11418.0,,Boss1,[],9677397.0,"['Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Dokumori', 'Embolden', 'Grade 4 Gemdraught', 'No Mercy', 'Radiant Finale', ""The Wanderer's Minuet""]",
12500,13081,Sonic Break,340.0,46373.0,,Boss1,[],159631821.0,"['Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Dokumori', 'Embolden', 'Grade 4 Gemdraught', 'No Mercy', 'Radiant Finale', ""The Wanderer's Minuet""]",
10625,13500,Bow Shock (dot),60.0,8180.0,,Boss1,[],4966814.0,"['Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Dokumori', 'Embolden', 'Grade 4 Gemdraught', 'No Mercy', 'Radiant Finale', ""The Wanderer's Minuet""]",
12500,13500,Sonic Break (dot),120.0,16366.0,,Boss1,[],19881773.0,"['Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Dokumori', 'Embolden', 'Grade 4 Gemdraught', 'No Mercy', 'Radiant Finale', ""The Wanderer's Minuet""]",
14893,15425,Auto,90.0,11418.0,,Boss1,[],9677397.0,"['Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Dokumori', 'Embolden', 'Grade 4 Gemdraught', 'No Mercy', 'Radiant Finale', ""The Wanderer's Minuet""]",
15000,15625,Savage Claw,500.0,68203.0,,Boss1,['No Combo'],345290963.0,"['Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Dokumori', 'Embolden', 'Grade 4 Gemdraught', 'No Mercy', 'Radiant Finale', ""The Wanderer's Minuet""]",
15625,16382,Abdomen Tear,260.0,35462.0,,Boss1,[],93341554.0,"['Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Dokumori', 'Embolden', 'Grade 4 Gemdraught', 'No Mercy', 'Radiant Finale', ""The Wanderer's Minuet""]",
10625,16500,Bow Shock (dot),60.0,8180.0,,Boss1,[],4966814.0,"['Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Dokumori', 'Embolden', 'Grade 4 Gemdraught', 'No Mercy', 'Radiant Finale', ""The Wanderer's Minuet""]",
12500,16500,Sonic Break (dot),120.0,16366.0,,Boss1,[],19881773.0,"['Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Dokumori', 'Embolden', 'Grade 4 Gemdraught', 'No Mercy', 'Radiant Finale', ""The Wanderer's Minuet""]",
17693,18225,Auto,90.0,11418.0,,Boss1,[],9677397.0,"['Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Dokumori', 'Embolden', 'Grade 4 Gemdraught', 'No Mercy', 'Radiant Finale', ""The Wanderer's Minuet""]",
17500,18662,Wicked Talon,560.0,76389.0,,Boss1,['No Combo'],433124279.0,"['Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Dokumori', 'Embolden', 'Grade 4 Gemdraught', 'No Mercy', 'Radiant Finale', ""The Wanderer's Minuet""]",
18125,19106,Eye Gouge,300.0,40922.0,,Boss1,[],124303741.0,"['Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Dokumori', 'Embolden', 'Grade 4 Gemdraught', 'No Mercy', 'Radiant Finale', ""The Wanderer's Minuet""]",
10625,19500,Bow Shock (dot),60.0,8180.0,,Boss1,[],4966814.0,"['Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Dokumori', 'Embolden', 'Grade 4 Gemdraught', 'No Mercy', 'Radiant Finale', ""The Wanderer's Minuet""]",
12500,19500,Sonic Break (dot),120.0,16366.0,,Boss1,[],19881773.0,"['Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Dokumori', 'Embolden', 'Grade 4 Gemdraught', 'No Mercy', 'Radiant Finale', ""The Wanderer's Minuet""]",
20493,21025,Auto,90.0,11418.0,,Boss1,[],9677397.0,"['Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Dokumori', 'Embolden', 'Grade 4 Gemdraught', 'No Mercy', 'Radiant Finale', ""The Wanderer's Minuet""]",
20000,21160,Reign of Beasts,800.0,109134.0,,Boss1,[],884086937.0,"['Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Dokumori', 'Embolden', 'Grade 4 Gemdraught', 'No Mercy', 'Radiant Finale', ""The Wanderer's Minuet""]",
10625,22500,Bow Shock (dot),60.0,8180.0,,Boss1,[],4966814.0,"['Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Dokumori', 'Embolden', 'Grade 4 Gemdraught', 'No Mercy', 'Radiant Finale', ""The Wanderer's Minuet""]",
12500,22500,Sonic Break (dot),120.0,16366.0,,Boss1,[],19881773.0,"['Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Dokumori', 'Embolden', 'Grade 4 Gemdraught', 'No Mercy', 'Radiant Finale', ""The Wanderer's Minuet""]",
23293,23825,Auto,90.0,11418.0,,Boss1,[],9677397.0,"['Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Dokumori', 'Embolden', 'Grade 4 Gemdraught', 'No Mercy', 'Radiant Finale', ""The Wanderer's Minuet""]",
22500,24150,Noble Blood,900.0,122774.0,,Boss1,[],1118887222.0,"['Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Dokumori', 'Embolden', 'Grade 4 Gemdraught', 'No Mercy', 'Radiant Finale', ""The Wanderer's Minuet""]",
12500,25500,Sonic Break (dot),120.0,16366.0,,Boss1,[],19881773.0,"['Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Dokumori', 'Embolden', 'Grade 4 Gemdraught', 'No Mercy', 'Radiant Finale', ""The Wanderer's Minuet""]",
10625,25500,Bow Shock (dot),60.0,8180.0,,Boss1,[],4966814.0,"['Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Dokumori', 'Embolden', 'Grade 4 Gemdraught', 'No Mercy', 'Radiant Finale', ""The Wanderer's Minuet""]",
