sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,729,32277.17,300.405,31235.266,397.057,226300,23530057,299110
Souleater,73,44624.644,46.514,4324.34,132.92,35040,3257599,100131
Syphon Strike,73,35312.0,36.824,3421.901,105.166,27740,2577776,79223
Edge of Shadow,47,53094.787,28.7,3312.623,131.828,21620,2495455,99308
Bloodspiller,37,60267.378,29.47,2960.099,130.203,22200,2229893,98084
Auto,255,8564.612,30.465,2899.146,48.284,22950,2183976,36373
Hard Slash,73,27745.438,29.071,2688.665,82.583,21900,2025417,62211
Torcleaver,13,89324.692,14.151,1541.477,116.156,10660,1161221,87502
Shadowbringer,14,75177.571,11.151,1397.136,101.794,8400,1052486,76683
Comeuppance,13,78429.308,12.425,1353.455,101.986,9360,1019581,76828
Scarlet Delirium,13,67535.0,10.699,1165.452,87.818,8060,877955,66155
Disesteem,7,125303.857,9.292,1164.353,119.973,7000,877127,90378
Carve and Spit,13,58821.538,9.319,1015.084,76.488,7020,764680,57620
Disesteem (pet),7,82229.714,5.761,764.098,78.738,4340,575608,59315
Shadowbringer (pet),7,75596.571,5.297,702.461,72.385,3990,529176,54529
Salt and Darkness,9,51599.889,5.974,616.472,55.602,4500,464399,41886
Abyssal Drain (pet),7,55698.571,3.903,517.564,53.333,2940,389890,40177
Bloodspiller (pet),7,55698.571,3.903,517.564,53.333,2940,389890,40177
Edge of Shadow (pet),7,55698.571,3.903,517.564,53.333,2940,389890,40177
Salted Earth (dot),45,4963.667,2.987,296.509,11.793,2250,223365,8884
Salted Earth,9,4963.667,0.597,59.302,5.274,450,44673,3973
