sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,844,27435.98,313.47,30715.598,400.053,236320,23155967,301593
Auto,269,7813.067,32.114,2787.853,45.939,24210,2101715,34633
Blasting Zone,25,79646.64,26.529,2641.214,144.063,20000,1991166,108607
Solid Barrel,43,37157.163,26.237,2119.371,83.944,19780,1597758,63284
Double Down,13,117199.308,17.244,2020.991,152.293,13000,1523591,114811
Lion Heart,13,116203.154,17.244,2003.814,150.908,13000,1510641,113767
Wicked Talon,26,55724.5,19.313,1921.833,102.41,14560,1448837,77205
Noble Blood,13,105457.538,15.52,1818.516,137.092,11700,1370948,103351
Brutal Shell,43,30556.256,21.674,1742.869,68.997,16340,1313919,52016
Savage Claw,26,50300.385,17.244,1734.765,92.269,13000,1307810,69560
Reign of Beasts,13,93758.308,13.795,1616.773,121.832,10400,1218858,91847
Gnashing Fang,26,43838.192,15.175,1511.896,80.584,11440,1139793,60751
Keen Edge,43,24116.372,17.111,1375.55,54.455,12900,1037004,41053
Burst Strike,30,33974.733,16.713,1351.99,63.99,12600,1019242,48241
Sonic Break (dot),62,13570.581,9.869,1116.056,38.404,7440,841376,28952
Eye Gouge,26,30989.077,10.346,1068.755,56.603,7800,805716,42672
Abdomen Tear,26,28133.962,8.967,970.287,51.812,6760,731483,39060
Jugular Rip,26,21917.846,7.587,755.905,40.29,5720,569864,30374
Sonic Break,13,38798.769,5.863,669.048,50.338,4420,504384,37949
Bow Shock (dot),65,7026.308,5.173,605.81,20.414,3900,456710,15390
Hypervelocity,30,14556.7,7.163,579.269,27.417,5400,436701,20669
Bow Shock,13,17573.154,2.587,303.032,22.834,1950,228451,17214
