sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,885.4358,21375.165,704.828,43854.471,669.979,528710,32896379,502569
Leaping Opo,82.0,77816.427,50.285,8506.5,105.14,37720,6380947,78868
Auto,435.0,9058.506,52.191,5253.051,68.635,39150,3940450,51485
The Forbidden Chakra,63.4358,54169.869,33.826,4580.976,440.117,25374,3436309,330143
Pouncing Coeurl,60.0,53711.983,41.593,4296.237,146.227,31200,3222719,109689
Dragon Kick,82.0,38955.354,34.981,4258.403,129.02,26240,3194339,96781
Fire's Reply,13.0,195679.615,24.263,3391.21,257.322,18200,2543835,193024
Rising Raptor,45.0,55453.178,32.395,3326.632,130.653,24300,2495393,98006
Twin Snakes,45.0,42970.978,25.196,2577.826,101.23,18900,1933694,75935
Phantom Rush,6.0,240655.333,11.998,1924.919,214.992,9000,1443932,161271
Demolish,30.0,42924.433,16.797,1716.689,82.517,12600,1287733,61898
Wind's Reply,9.0,130779.0,12.478,1569.084,144.344,9360,1177011,108276
Elixir Burst,8.0,139716.5,9.598,1490.059,143.613,7200,1117732,107728
Rising Phoenix,6.0,103762.0,7.199,829.957,88.757,5400,622572,66579
Six-sided Star,1.0,99713.0,1.224,132.928,73.994,918,99713,55505
