sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_weight,Aerial Blast (pet),Akh Morn (pet),Astral Impulse,Auto,Crimson Cyclone,Crimson Strike,Deathflare,Earthen Fury (pet),Emerald Rite,Energy Drain,Exodus (pet),Fountain of Fire,Inferno (pet),Luxwave (pet),Mountain Buster,Necrotize,Revelation (pet),Ruby Rite,Ruin III,Ruin IV,Scarlet Flame (pet),Searing Flash,Slipstream,Slipstream (dot),Sunflare,Topaz Rite,Umbral Impulse,Wyrmwave (pet)
-802,-2,Ruin III,400,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0
-2,530,Auto,90,1.0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0
3118,3650,Auto,90,1.0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0
3888,3888,Luxwave (pet),160,1.0,0,0,0,180,0,0,0,0,0,0,0,0,0,160,0,0,0,0,400,0,0,0,0,0,0,0,0,0
3168,3968,Umbral Impulse,640,1.0,0,0,0,180,0,0,0,0,0,0,0,0,0,160,0,0,0,0,400,0,0,0,0,0,0,0,640,0
5648,6448,Umbral Impulse,640,1.0,0,0,0,180,0,0,0,0,0,0,0,0,0,160,0,0,0,0,400,0,0,0,0,0,0,0,1280,0
6238,6770,Auto,90,1.0,0,0,0,270,0,0,0,0,0,0,0,0,0,160,0,0,0,0,400,0,0,0,0,0,0,0,1280,0
7038,7038,Luxwave (pet),160,1.0,0,0,0,270,0,0,0,0,0,0,0,0,0,320,0,0,0,0,400,0,0,0,0,0,0,0,1280,0
6348,7418,Energy Drain,200,1.0,0,0,0,270,0,0,0,0,0,200,0,0,0,320,0,0,0,0,400,0,0,0,0,0,0,0,1280,0
8828,8828,Exodus (pet),1500,1.0,0,0,0,270,0,0,0,0,0,200,1500,0,0,320,0,0,0,0,400,0,0,0,0,0,0,0,1280,0
8128,8928,Umbral Impulse,640,1.0,0,0,0,270,0,0,0,0,0,200,1500,0,0,320,0,0,0,0,400,0,0,0,0,0,0,0,1920,0
9358,9890,Auto,90,1.0,0,0,0,360,0,0,0,0,0,200,1500,0,0,320,0,0,0,0,400,0,0,0,0,0,0,0,1920,0
9528,10238,Necrotize,500,1.0,0,0,0,360,0,0,0,0,0,200,1500,0,0,320,0,500,0,0,400,0,0,0,0,0,0,0,1920,0
10608,11408,Umbral Impulse,640,1.0,0,0,0,360,0,0,0,0,0,200,1500,0,0,320,0,500,0,0,400,0,0,0,0,0,0,0,2560,0
11638,11638,Luxwave (pet),160,1.0,0,0,0,360,0,0,0,0,0,200,1500,0,0,480,0,500,0,0,400,0,0,0,0,0,0,0,2560,0
11308,12108,Searing Flash,700,1.0,0,0,0,360,0,0,0,0,0,200,1500,0,0,480,0,500,0,0,400,0,0,700,0,0,0,0,2560,0
12008,12808,Sunflare,1000,1.0,0,0,0,360,0,0,0,0,0,200,1500,0,0,480,0,500,0,0,400,0,0,700,0,0,1000,0,2560,0
12478,13010,Auto,90,1.0,0,0,0,450,0,0,0,0,0,200,1500,0,0,480,0,500,0,0,400,0,0,700,0,0,1000,0,2560,0
13188,13188,Luxwave (pet),160,1.0,0,0,0,450,0,0,0,0,0,200,1500,0,0,640,0,500,0,0,400,0,0,700,0,0,1000,0,2560,0
13088,13888,Umbral Impulse,640,1.0,0,0,0,450,0,0,0,0,0,200,1500,0,0,640,0,500,0,0,400,0,0,700,0,0,1000,0,3200,0
13788,14498,Necrotize,500,1.0,0,0,0,450,0,0,0,0,0,200,1500,0,0,640,0,1000,0,0,400,0,0,700,0,0,1000,0,3200,0
15598,16130,Auto,90,1.0,0,0,0,540,0,0,0,0,0,200,1500,0,0,640,0,1000,0,0,400,0,0,700,0,0,1000,0,3200,0
15568,16368,Umbral Impulse,640,1.0,0,0,0,540,0,0,0,0,0,200,1500,0,0,640,0,1000,0,0,400,0,0,700,0,0,1000,0,3840,0
18718,19250,Auto,90,1.0,0,0,0,630,0,0,0,0,0,200,1500,0,0,640,0,1000,0,0,400,0,0,700,0,0,1000,0,3840,0
20148,20148,Earthen Fury (pet),800,1.0,0,0,0,630,0,0,0,800,0,200,1500,0,0,640,0,1000,0,0,400,0,0,700,0,0,1000,0,3840,0
20528,21148,Topaz Rite,340,1.0,0,0,0,630,0,0,0,800,0,200,1500,0,0,640,0,1000,0,0,400,0,0,700,0,0,1000,340,3840,0
21228,21988,Mountain Buster,160,1.0,0,0,0,630,0,0,0,800,0,200,1500,0,0,640,160,1000,0,0,400,0,0,700,0,0,1000,340,3840,0
21838,22370,Auto,90,1.0,0,0,0,720,0,0,0,800,0,200,1500,0,0,640,160,1000,0,0,400,0,0,700,0,0,1000,340,3840,0
23008,23628,Topaz Rite,340,1.0,0,0,0,720,0,0,0,800,0,200,1500,0,0,640,160,1000,0,0,400,0,0,700,0,0,1000,680,3840,0
23708,24468,Mountain Buster,160,1.0,0,0,0,720,0,0,0,800,0,200,1500,0,0,640,320,1000,0,0,400,0,0,700,0,0,1000,680,3840,0
24958,25490,Auto,90,1.0,0,0,0,810,0,0,0,800,0,200,1500,0,0,640,320,1000,0,0,400,0,0,700,0,0,1000,680,3840,0
25489,26109,Topaz Rite,340,1.0,0,0,0,810,0,0,0,800,0,200,1500,0,0,640,320,1000,0,0,400,0,0,700,0,0,1000,1020,3840,0
26189,26949,Mountain Buster,160,1.0,0,0,0,810,0,0,0,800,0,200,1500,0,0,640,480,1000,0,0,400,0,0,700,0,0,1000,1020,3840,0
27969,28589,Topaz Rite,340,1.0,0,0,0,810,0,0,0,800,0,200,1500,0,0,640,480,1000,0,0,400,0,0,700,0,0,1000,1360,3840,0
28078,28610,Auto,90,1.0,0,0,0,900,0,0,0,800,0,200,1500,0,0,640,480,1000,0,0,400,0,0,700,0,0,1000,1360,3840,0
28669,29429,Mountain Buster,160,1.0,0,0,0,900,0,0,0,800,0,200,1500,0,0,640,640,1000,0,0,400,0,0,700,0,0,1000,1360,3840,0
31198,31730,Auto,90,1.0,0,0,0,990,0,0,0,800,0,200,1500,0,0,640,640,1000,0,0,400,0,0,700,0,0,1000,1360,3840,0
32549,32549,Aerial Blast (pet),800,1.0,800,0,0,990,0,0,0,800,0,200,1500,0,0,640,640,1000,0,0,400,0,0,700,0,0,1000,1360,3840,0
32929,33949,Slipstream (dot),30,1.0,800,0,0,990,0,0,0,800,0,200,1500,0,0,640,640,1000,0,0,400,0,0,700,0,30,1000,1360,3840,0
32929,33949,Slipstream,520,1.0,800,0,0,990,0,0,0,800,0,200,1500,0,0,640,640,1000,0,0,400,0,0,700,520,30,1000,1360,3840,0
32929,34500,Slipstream (dot),30,1.0,800,0,0,990,0,0,0,800,0,200,1500,0,0,640,640,1000,0,0,400,0,0,700,520,60,1000,1360,3840,0
34318,34850,Auto,90,1.0,800,0,0,1080,0,0,0,800,0,200,1500,0,0,640,640,1000,0,0,400,0,0,700,520,60,1000,1360,3840,0
36409,37029,Emerald Rite,280,1.0,800,0,0,1080,0,0,0,800,280,200,1500,0,0,640,640,1000,0,0,400,0,0,700,520,60,1000,1360,3840,0
32929,37500,Slipstream (dot),30,1.0,800,0,0,1080,0,0,0,800,280,200,1500,0,0,640,640,1000,0,0,400,0,0,700,520,90,1000,1360,3840,0
37438,37970,Auto,90,1.0,800,0,0,1170,0,0,0,800,280,200,1500,0,0,640,640,1000,0,0,400,0,0,700,520,90,1000,1360,3840,0
37909,38529,Emerald Rite,280,1.0,800,0,0,1170,0,0,0,800,560,200,1500,0,0,640,640,1000,0,0,400,0,0,700,520,90,1000,1360,3840,0
39409,40029,Emerald Rite,280,1.0,800,0,0,1170,0,0,0,800,840,200,1500,0,0,640,640,1000,0,0,400,0,0,700,520,90,1000,1360,3840,0
32929,40500,Slipstream (dot),30,1.0,800,0,0,1170,0,0,0,800,840,200,1500,0,0,640,640,1000,0,0,400,0,0,700,520,120,1000,1360,3840,0
40558,41090,Auto,90,1.0,800,0,0,1260,0,0,0,800,840,200,1500,0,0,640,640,1000,0,0,400,0,0,700,520,120,1000,1360,3840,0
40909,41529,Emerald Rite,280,1.0,800,0,0,1260,0,0,0,800,1120,200,1500,0,0,640,640,1000,0,0,400,0,0,700,520,120,1000,1360,3840,0
32929,43500,Slipstream (dot),30,1.0,800,0,0,1260,0,0,0,800,1120,200,1500,0,0,640,640,1000,0,0,400,0,0,700,520,150,1000,1360,3840,0
43678,44210,Auto,90,1.0,800,0,0,1350,0,0,0,800,1120,200,1500,0,0,640,640,1000,0,0,400,0,0,700,520,150,1000,1360,3840,0
44509,44509,Inferno (pet),800,1.0,800,0,0,1350,0,0,0,800,1120,200,1500,0,800,640,640,1000,0,0,400,0,0,700,520,150,1000,1360,3840,0
32929,46500,Slipstream (dot),30,1.0,800,0,0,1350,0,0,0,800,1120,200,1500,0,800,640,640,1000,0,0,400,0,0,700,520,180,1000,1360,3840,0
47169,47789,Ruby Rite,620,1.0,800,0,0,1350,0,0,0,800,1120,200,1500,0,800,640,640,1000,0,620,400,0,0,700,520,180,1000,1360,3840,0
47669,48201,Auto,90,1.0,800,0,0,1440,0,0,0,800,1120,200,1500,0,800,640,640,1000,0,620,400,0,0,700,520,180,1000,1360,3840,0
50149,50769,Ruby Rite,620,1.0,800,0,0,1440,0,0,0,800,1120,200,1500,0,800,640,640,1000,0,1240,400,0,0,700,520,180,1000,1360,3840,0
50789,51321,Auto,90,1.0,800,0,0,1530,0,0,0,800,1120,200,1500,0,800,640,640,1000,0,1240,400,0,0,700,520,180,1000,1360,3840,0
50849,51649,Crimson Cyclone,560,1.0,800,0,0,1530,560,0,0,800,1120,200,1500,0,800,640,640,1000,0,1240,400,0,0,700,520,180,1000,1360,3840,0
53329,54089,Crimson Strike,560,1.0,800,0,0,1530,560,560,0,800,1120,200,1500,0,800,640,640,1000,0,1240,400,0,0,700,520,180,1000,1360,3840,0
53909,54441,Auto,90,1.0,800,0,0,1620,560,560,0,800,1120,200,1500,0,800,640,640,1000,0,1240,400,0,0,700,520,180,1000,1360,3840,0
56799,57599,Ruin III,400,1.0,800,0,0,1620,560,560,0,800,1120,200,1500,0,800,640,640,1000,0,1240,800,0,0,700,520,180,1000,1360,3840,0
57299,57831,Auto,90,1.0,800,0,0,1710,560,560,0,800,1120,200,1500,0,800,640,640,1000,0,1240,800,0,0,700,520,180,1000,1360,3840,0
58289,59089,Ruin IV,520,1.0,800,0,0,1710,560,560,0,800,1120,200,1500,0,800,640,640,1000,0,1240,800,520,0,700,520,180,1000,1360,3840,0
60419,60951,Auto,90,1.0,800,0,0,1800,560,560,0,800,1120,200,1500,0,800,640,640,1000,0,1240,800,520,0,700,520,180,1000,1360,3840,0
63249,63919,Astral Impulse,500,1.0,800,0,500,1800,560,560,0,800,1120,200,1500,0,800,640,640,1000,0,1240,800,520,0,700,520,180,1000,1360,3840,0
63969,63969,Wyrmwave (pet),150,1.0,800,0,500,1800,560,560,0,800,1120,200,1500,0,800,640,640,1000,0,1240,800,520,0,700,520,180,1000,1360,3840,150
63539,64071,Auto,90,1.0,800,0,500,1890,560,560,0,800,1120,200,1500,0,800,640,640,1000,0,1240,800,520,0,700,520,180,1000,1360,3840,150
