sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Aero in Green,Auto,Blizzard in Cyan,Clawed Muse,Comet in Black,Fanged Muse,Fire in Red,Hammer Brush,Hammer Stamp,Holy in White,Mog of the Ages,Polishing Hammer,Pom Muse,Rainbow Drip,Retribution of the Madeen,Star Prism,Stone in Yellow,Thunder in Magenta,Water in Blue,Winged Muse
-600,640,Rainbow Drip,133983.0,0,0,0,0,0,0,0,0,0,0,0,0,0,133983,0,0,0,0,0,0
640,1172,Auto,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,133983,0,0,0,0,0,0
700,1320,Pom Muse,115981.0,0,0,0,0,0,0,0,0,0,0,0,0,115981,133983,0,0,0,0,0,0
5100,5632,Auto,0.0,0,0,0,0,0,0,0,0,0,0,0,0,115981,133983,0,0,0,0,0,0
6100,7350,Star Prism,167447.0,0,0,0,0,0,0,0,0,0,0,0,0,115981,133983,0,167447,0,0,0,0
9190,9940,Blizzard in Cyan,130854.0,0,0,130854,0,0,0,0,0,0,0,0,0,115981,133983,0,167447,0,0,0,0
9690,10222,Auto,0.0,0,0,130854,0,0,0,0,0,0,0,0,0,115981,133983,0,167447,0,0,0,0
11660,12460,Stone in Yellow,137002.0,0,0,130854,0,0,0,0,0,0,0,0,0,115981,133983,0,167447,137002,0,0,0
12650,13182,Auto,0.0,0,0,130854,0,0,0,0,0,0,0,0,0,115981,133983,0,167447,137002,0,0,0
14130,14980,Thunder in Magenta,143078.0,0,0,130854,0,0,0,0,0,0,0,0,0,115981,133983,0,167447,137002,143078,0,0
15610,16142,Auto,0.0,0,0,130854,0,0,0,0,0,0,0,0,0,115981,133983,0,167447,137002,143078,0,0
16079,17059,Winged Muse,121779.0,0,0,130854,0,0,0,0,0,0,0,0,0,115981,133983,0,167447,137002,143078,0,121779
15380,17250,Comet in Black,143078.0,0,0,130854,0,143078,0,0,0,0,0,0,0,115981,133983,0,167447,137002,143078,0,121779
17850,19090,Rainbow Drip,152226.0,0,0,130854,0,143078,0,0,0,0,0,0,0,115981,286209,0,167447,137002,143078,0,121779
18570,19102,Auto,0.0,0,0,130854,0,143078,0,0,0,0,0,0,0,115981,286209,0,167447,137002,143078,0,121779
18550,19700,Mog of the Ages,152226.0,0,0,130854,0,143078,0,0,0,0,0,152226,0,115981,286209,0,167447,137002,143078,0,121779
20351,21731,Hammer Stamp,146795.0,0,0,130854,0,143078,0,0,0,146795,0,152226,0,115981,286209,0,167447,137002,143078,0,121779
21530,22062,Auto,0.0,0,0,130854,0,143078,0,0,0,146795,0,152226,0,115981,286209,0,167447,137002,143078,0,121779
22851,24101,Hammer Brush,152092.0,0,0,130854,0,143078,0,0,152092,146795,0,152226,0,115981,286209,0,167447,137002,143078,0,121779
24490,25022,Auto,0.0,0,0,130854,0,143078,0,0,152092,146795,0,152226,0,115981,286209,0,167447,137002,143078,0,121779
25351,27451,Polishing Hammer,157387.0,0,0,130854,0,143078,0,0,152092,146795,0,152226,157387,115981,286209,0,167447,137002,143078,0,121779
27450,27982,Auto,0.0,0,0,130854,0,143078,0,0,152092,146795,0,152226,157387,115981,286209,0,167447,137002,143078,0,121779
