sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Afflatus Misery,Assize,Auto,Dia,Dia (dot),Glare III,Glare IV
-170,1120,Dia,10969.0,0,0,0,10969,0,0,0
-170,1500,Dia (dot),11244.0,0,0,0,10969,11244,0,0
1120,1652,Auto,0.0,0,0,0,10969,11244,0,0
-170,4500,Dia (dot),11244.0,0,0,0,10969,22488,0,0
3220,4510,Glare III,49122.0,0,0,0,10969,22488,49122,0
4560,5092,Auto,0.0,0,0,0,10969,22488,49122,0
5650,6940,Glare III,49122.0,0,0,0,10969,22488,98244,0
-170,7500,Dia (dot),11244.0,0,0,0,10969,33732,98244,0
8280,8812,Auto,0.0,0,0,0,10969,33732,98244,0
8389,9059,Assize,58947.0,0,58947,0,10969,33732,98244,0
7780,9070,Glare III,51577.0,0,58947,0,10969,33732,149821,0
9060,9640,Afflatus Misery,206321.0,206321,58947,0,10969,33732,149821,0
-170,10500,Dia (dot),11244.0,206321,58947,0,10969,44976,149821,0
11030,11562,Auto,0.0,206321,58947,0,10969,44976,149821,0
11000,11850,Glare IV,94303.0,206321,58947,0,10969,44976,149821,94303
-170,13500,Dia (dot),11244.0,206321,58947,0,10969,56220,149821,94303
12940,13790,Glare IV,94303.0,206321,58947,0,10969,56220,149821,188606
13780,14312,Auto,0.0,206321,58947,0,10969,56220,149821,188606
14881,15731,Glare IV,94303.0,206321,58947,0,10969,56220,149821,282909
-170,16500,Dia (dot),11244.0,206321,58947,0,10969,67464,149821,282909
16530,17062,Auto,0.0,206321,58947,0,10969,67464,149821,282909
17481,18771,Glare III,51577.0,206321,58947,0,10969,67464,201398,282909
-170,19500,Dia (dot),11244.0,206321,58947,0,10969,78708,201398,282909
19921,20453,Auto,0.0,206321,58947,0,10969,78708,201398,282909
19421,20711,Glare III,51577.0,206321,58947,0,10969,78708,252975,282909
-170,22500,Dia (dot),11244.0,206321,58947,0,10969,89952,252975,282909
21361,22651,Glare III,51577.0,206321,58947,0,10969,89952,304552,282909
24101,24633,Auto,0.0,206321,58947,0,10969,89952,304552,282909
23601,24891,Glare III,51577.0,206321,58947,0,10969,89952,356129,282909
-170,25500,Dia (dot),11244.0,206321,58947,0,10969,101196,356129,282909
25071,26361,Dia,12467.0,206321,58947,0,23436,101196,356129,282909
25071,28500,Dia (dot),12780.0,206321,58947,0,23436,113976,356129,282909
28961,29493,Auto,0.0,206321,58947,0,23436,113976,356129,282909
28461,29751,Glare III,49122.0,206321,58947,0,23436,113976,405251,282909
25071,31500,Dia (dot),12780.0,206321,58947,0,23436,126756,405251,282909
32401,32933,Auto,0.0,206321,58947,0,23436,126756,405251,282909
25071,34500,Dia (dot),12780.0,206321,58947,0,23436,139536,405251,282909
35841,36373,Auto,0.0,206321,58947,0,23436,139536,405251,282909
25071,37500,Dia (dot),12780.0,206321,58947,0,23436,152316,405251,282909
37221,37801,Afflatus Misery,181530.0,387851,58947,0,23436,152316,405251,282909
39281,39813,Auto,0.0,387851,58947,0,23436,152316,405251,282909
25071,40500,Dia (dot),12780.0,387851,58947,0,23436,165096,405251,282909
40611,41901,Glare III,45381.0,387851,58947,0,23436,165096,450632,282909
25071,43500,Dia (dot),12780.0,387851,58947,0,23436,177876,450632,282909
43541,44073,Auto,0.0,387851,58947,0,23436,177876,450632,282909
43041,44331,Glare III,45381.0,387851,58947,0,23436,177876,496013,282909
