sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Aerial Blast (pet),Akh Morn (pet),Astral Impulse,Auto,Crimson Cyclone,Crimson Strike,Deathflare,Earthen Fury (pet),Emerald Rite,Energy Drain,Exodus (pet),Fountain of Fire,Inferno (pet),Luxwave (pet),Mountain Buster,Necrotize,Revelation (pet),Ruby Rite,Ruin III,Ruin IV,Scarlet Flame (pet),Searing Flash,Slipstream,Slipstream (dot),Sunflare,Topaz Rite,Umbral Impulse,Wyrmwave (pet)
-802,-2,Ruin III,53322.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53322,0,0,0,0,0,0,0,0,0
-2,530,Auto,229.0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53322,0,0,0,0,0,0,0,0,0
3118,3650,Auto,229.0,0,0,0,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53322,0,0,0,0,0,0,0,0,0
3888,3888,Luxwave (pet),18547.0,0,0,0,458,0,0,0,0,0,0,0,0,0,18547,0,0,0,0,53322,0,0,0,0,0,0,0,0,0
3168,3968,Umbral Impulse,92301.0,0,0,0,458,0,0,0,0,0,0,0,0,0,18547,0,0,0,0,53322,0,0,0,0,0,0,0,92301,0
5648,6448,Umbral Impulse,96916.0,0,0,0,458,0,0,0,0,0,0,0,0,0,18547,0,0,0,0,53322,0,0,0,0,0,0,0,189217,0
6238,6770,Auto,240.0,0,0,0,698,0,0,0,0,0,0,0,0,0,18547,0,0,0,0,53322,0,0,0,0,0,0,0,189217,0
7038,7038,Luxwave (pet),19474.0,0,0,0,698,0,0,0,0,0,0,0,0,0,38021,0,0,0,0,53322,0,0,0,0,0,0,0,189217,0
6348,7418,Energy Drain,30288.0,0,0,0,698,0,0,0,0,0,30288,0,0,0,38021,0,0,0,0,53322,0,0,0,0,0,0,0,189217,0
8828,8828,Exodus (pet),182604.0,0,0,0,698,0,0,0,0,0,30288,182604,0,0,38021,0,0,0,0,53322,0,0,0,0,0,0,0,189217,0
8128,8928,Umbral Impulse,96916.0,0,0,0,698,0,0,0,0,0,30288,182604,0,0,38021,0,0,0,0,53322,0,0,0,0,0,0,0,286133,0
9358,9890,Auto,240.0,0,0,0,938,0,0,0,0,0,30288,182604,0,0,38021,0,0,0,0,53322,0,0,0,0,0,0,0,286133,0
9528,10238,Necrotize,75727.0,0,0,0,938,0,0,0,0,0,30288,182604,0,0,38021,0,75727,0,0,53322,0,0,0,0,0,0,0,286133,0
10608,11408,Umbral Impulse,96916.0,0,0,0,938,0,0,0,0,0,30288,182604,0,0,38021,0,75727,0,0,53322,0,0,0,0,0,0,0,383049,0
11638,11638,Luxwave (pet),19474.0,0,0,0,938,0,0,0,0,0,30288,182604,0,0,57495,0,75727,0,0,53322,0,0,0,0,0,0,0,383049,0
11308,12108,Searing Flash,106020.0,0,0,0,938,0,0,0,0,0,30288,182604,0,0,57495,0,75727,0,0,53322,0,0,106020,0,0,0,0,383049,0
12008,12808,Sunflare,151457.0,0,0,0,938,0,0,0,0,0,30288,182604,0,0,57495,0,75727,0,0,53322,0,0,106020,0,0,151457,0,383049,0
12478,13010,Auto,240.0,0,0,0,1178,0,0,0,0,0,30288,182604,0,0,57495,0,75727,0,0,53322,0,0,106020,0,0,151457,0,383049,0
13188,13188,Luxwave (pet),19474.0,0,0,0,1178,0,0,0,0,0,30288,182604,0,0,76969,0,75727,0,0,53322,0,0,106020,0,0,151457,0,383049,0
13088,13888,Umbral Impulse,96916.0,0,0,0,1178,0,0,0,0,0,30288,182604,0,0,76969,0,75727,0,0,53322,0,0,106020,0,0,151457,0,479965,0
13788,14498,Necrotize,75727.0,0,0,0,1178,0,0,0,0,0,30288,182604,0,0,76969,0,151454,0,0,53322,0,0,106020,0,0,151457,0,479965,0
15598,16130,Auto,240.0,0,0,0,1418,0,0,0,0,0,30288,182604,0,0,76969,0,151454,0,0,53322,0,0,106020,0,0,151457,0,479965,0
15568,16368,Umbral Impulse,96916.0,0,0,0,1418,0,0,0,0,0,30288,182604,0,0,76969,0,151454,0,0,53322,0,0,106020,0,0,151457,0,576881,0
18718,19250,Auto,240.0,0,0,0,1658,0,0,0,0,0,30288,182604,0,0,76969,0,151454,0,0,53322,0,0,106020,0,0,151457,0,576881,0
20148,20148,Earthen Fury (pet),97387.0,0,0,0,1658,0,0,0,97387,0,30288,182604,0,0,76969,0,151454,0,0,53322,0,0,106020,0,0,151457,0,576881,0
20528,21148,Topaz Rite,51479.0,0,0,0,1658,0,0,0,97387,0,30288,182604,0,0,76969,0,151454,0,0,53322,0,0,106020,0,0,151457,51479,576881,0
21228,21988,Mountain Buster,24173.0,0,0,0,1658,0,0,0,97387,0,30288,182604,0,0,76969,24173,151454,0,0,53322,0,0,106020,0,0,151457,51479,576881,0
21838,22370,Auto,240.0,0,0,0,1898,0,0,0,97387,0,30288,182604,0,0,76969,24173,151454,0,0,53322,0,0,106020,0,0,151457,51479,576881,0
23008,23628,Topaz Rite,51479.0,0,0,0,1898,0,0,0,97387,0,30288,182604,0,0,76969,24173,151454,0,0,53322,0,0,106020,0,0,151457,102958,576881,0
23708,24468,Mountain Buster,24173.0,0,0,0,1898,0,0,0,97387,0,30288,182604,0,0,76969,48346,151454,0,0,53322,0,0,106020,0,0,151457,102958,576881,0
24958,25490,Auto,229.0,0,0,0,2127,0,0,0,97387,0,30288,182604,0,0,76969,48346,151454,0,0,53322,0,0,106020,0,0,151457,102958,576881,0
25489,26109,Topaz Rite,49028.0,0,0,0,2127,0,0,0,97387,0,30288,182604,0,0,76969,48346,151454,0,0,53322,0,0,106020,0,0,151457,151986,576881,0
26189,26949,Mountain Buster,23022.0,0,0,0,2127,0,0,0,97387,0,30288,182604,0,0,76969,71368,151454,0,0,53322,0,0,106020,0,0,151457,151986,576881,0
27969,28589,Topaz Rite,49028.0,0,0,0,2127,0,0,0,97387,0,30288,182604,0,0,76969,71368,151454,0,0,53322,0,0,106020,0,0,151457,201014,576881,0
28078,28610,Auto,229.0,0,0,0,2356,0,0,0,97387,0,30288,182604,0,0,76969,71368,151454,0,0,53322,0,0,106020,0,0,151457,201014,576881,0
28669,29429,Mountain Buster,23022.0,0,0,0,2356,0,0,0,97387,0,30288,182604,0,0,76969,94390,151454,0,0,53322,0,0,106020,0,0,151457,201014,576881,0
31198,31730,Auto,229.0,0,0,0,2585,0,0,0,97387,0,30288,182604,0,0,76969,94390,151454,0,0,53322,0,0,106020,0,0,151457,201014,576881,0
32549,32549,Aerial Blast (pet),92750.0,92750,0,0,2585,0,0,0,97387,0,30288,182604,0,0,76969,94390,151454,0,0,53322,0,0,106020,0,0,151457,201014,576881,0
32929,33949,Slipstream (dot),4319.0,92750,0,0,2585,0,0,0,97387,0,30288,182604,0,0,76969,94390,151454,0,0,53322,0,0,106020,0,4319,151457,201014,576881,0
32929,33949,Slipstream,74965.0,92750,0,0,2585,0,0,0,97387,0,30288,182604,0,0,76969,94390,151454,0,0,53322,0,0,106020,74965,4319,151457,201014,576881,0
32929,34500,Slipstream (dot),4319.0,92750,0,0,2585,0,0,0,97387,0,30288,182604,0,0,76969,94390,151454,0,0,53322,0,0,106020,74965,8638,151457,201014,576881,0
34318,34850,Auto,229.0,92750,0,0,2814,0,0,0,97387,0,30288,182604,0,0,76969,94390,151454,0,0,53322,0,0,106020,74965,8638,151457,201014,576881,0
36409,37029,Emerald Rite,37298.0,92750,0,0,2814,0,0,0,97387,37298,30288,182604,0,0,76969,94390,151454,0,0,53322,0,0,106020,74965,8638,151457,201014,576881,0
32929,37500,Slipstream (dot),4319.0,92750,0,0,2814,0,0,0,97387,37298,30288,182604,0,0,76969,94390,151454,0,0,53322,0,0,106020,74965,12957,151457,201014,576881,0
37438,37970,Auto,229.0,92750,0,0,3043,0,0,0,97387,37298,30288,182604,0,0,76969,94390,151454,0,0,53322,0,0,106020,74965,12957,151457,201014,576881,0
37909,38529,Emerald Rite,37298.0,92750,0,0,3043,0,0,0,97387,74596,30288,182604,0,0,76969,94390,151454,0,0,53322,0,0,106020,74965,12957,151457,201014,576881,0
39409,40029,Emerald Rite,37298.0,92750,0,0,3043,0,0,0,97387,111894,30288,182604,0,0,76969,94390,151454,0,0,53322,0,0,106020,74965,12957,151457,201014,576881,0
32929,40500,Slipstream (dot),4319.0,92750,0,0,3043,0,0,0,97387,111894,30288,182604,0,0,76969,94390,151454,0,0,53322,0,0,106020,74965,17276,151457,201014,576881,0
40558,41090,Auto,229.0,92750,0,0,3272,0,0,0,97387,111894,30288,182604,0,0,76969,94390,151454,0,0,53322,0,0,106020,74965,17276,151457,201014,576881,0
40909,41529,Emerald Rite,37298.0,92750,0,0,3272,0,0,0,97387,149192,30288,182604,0,0,76969,94390,151454,0,0,53322,0,0,106020,74965,17276,151457,201014,576881,0
32929,43500,Slipstream (dot),4319.0,92750,0,0,3272,0,0,0,97387,149192,30288,182604,0,0,76969,94390,151454,0,0,53322,0,0,106020,74965,21595,151457,201014,576881,0
43678,44210,Auto,229.0,92750,0,0,3501,0,0,0,97387,149192,30288,182604,0,0,76969,94390,151454,0,0,53322,0,0,106020,74965,21595,151457,201014,576881,0
44509,44509,Inferno (pet),85239.0,92750,0,0,3501,0,0,0,97387,149192,30288,182604,0,85239,76969,94390,151454,0,0,53322,0,0,106020,74965,21595,151457,201014,576881,0
32929,46500,Slipstream (dot),4319.0,92750,0,0,3501,0,0,0,97387,149192,30288,182604,0,85239,76969,94390,151454,0,0,53322,0,0,106020,74965,25914,151457,201014,576881,0
47169,47789,Ruby Rite,82610.0,92750,0,0,3501,0,0,0,97387,149192,30288,182604,0,85239,76969,94390,151454,0,82610,53322,0,0,106020,74965,25914,151457,201014,576881,0
47669,48201,Auto,229.0,92750,0,0,3730,0,0,0,97387,149192,30288,182604,0,85239,76969,94390,151454,0,82610,53322,0,0,106020,74965,25914,151457,201014,576881,0
50149,50769,Ruby Rite,82610.0,92750,0,0,3730,0,0,0,97387,149192,30288,182604,0,85239,76969,94390,151454,0,165220,53322,0,0,106020,74965,25914,151457,201014,576881,0
50789,51321,Auto,229.0,92750,0,0,3959,0,0,0,97387,149192,30288,182604,0,85239,76969,94390,151454,0,165220,53322,0,0,106020,74965,25914,151457,201014,576881,0
50849,51649,Crimson Cyclone,74599.0,92750,0,0,3959,74599,0,0,97387,149192,30288,182604,0,85239,76969,94390,151454,0,165220,53322,0,0,106020,74965,25914,151457,201014,576881,0
53329,54089,Crimson Strike,74599.0,92750,0,0,3959,74599,74599,0,97387,149192,30288,182604,0,85239,76969,94390,151454,0,165220,53322,0,0,106020,74965,25914,151457,201014,576881,0
53909,54441,Auto,229.0,92750,0,0,4188,74599,74599,0,97387,149192,30288,182604,0,85239,76969,94390,151454,0,165220,53322,0,0,106020,74965,25914,151457,201014,576881,0
56799,57599,Ruin III,53322.0,92750,0,0,4188,74599,74599,0,97387,149192,30288,182604,0,85239,76969,94390,151454,0,165220,106644,0,0,106020,74965,25914,151457,201014,576881,0
57299,57831,Auto,229.0,92750,0,0,4417,74599,74599,0,97387,149192,30288,182604,0,85239,76969,94390,151454,0,165220,106644,0,0,106020,74965,25914,151457,201014,576881,0
58289,59089,Ruin IV,69278.0,92750,0,0,4417,74599,74599,0,97387,149192,30288,182604,0,85239,76969,94390,151454,0,165220,106644,69278,0,106020,74965,25914,151457,201014,576881,0
60419,60951,Auto,229.0,92750,0,0,4646,74599,74599,0,97387,149192,30288,182604,0,85239,76969,94390,151454,0,165220,106644,69278,0,106020,74965,25914,151457,201014,576881,0
63249,63919,Astral Impulse,66653.0,92750,0,66653,4646,74599,74599,0,97387,149192,30288,182604,0,85239,76969,94390,151454,0,165220,106644,69278,0,106020,74965,25914,151457,201014,576881,0
63969,63969,Wyrmwave (pet),15980.0,92750,0,66653,4646,74599,74599,0,97387,149192,30288,182604,0,85239,76969,94390,151454,0,165220,106644,69278,0,106020,74965,25914,151457,201014,576881,15980
63539,64071,Auto,229.0,92750,0,66653,4875,74599,74599,0,97387,149192,30288,182604,0,85239,76969,94390,151454,0,165220,106644,69278,0,106020,74965,25914,151457,201014,576881,15980
65729,66399,Astral Impulse,66653.0,92750,0,133306,4875,74599,74599,0,97387,149192,30288,182604,0,85239,76969,94390,151454,0,165220,106644,69278,0,106020,74965,25914,151457,201014,576881,15980
67119,67119,Wyrmwave (pet),15980.0,92750,0,133306,4875,74599,74599,0,97387,149192,30288,182604,0,85239,76969,94390,151454,0,165220,106644,69278,0,106020,74965,25914,151457,201014,576881,31960
66659,67191,Auto,229.0,92750,0,133306,5104,74599,74599,0,97387,149192,30288,182604,0,85239,76969,94390,151454,0,165220,106644,69278,0,106020,74965,25914,151457,201014,576881,31960
66429,67499,Energy Drain,26660.0,92750,0,133306,5104,74599,74599,0,97387,149192,56948,182604,0,85239,76969,94390,151454,0,165220,106644,69278,0,106020,74965,25914,151457,201014,576881,31960
