sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,779,36686.026,318.102,37957.58,522.862,239500,28578414,393665
Umbral Impulse,42,91980.738,35.702,5131.054,210.551,26880,3863191,158525
Topaz Rite,50,46611.28,22.579,3095.433,116.413,17000,2330564,87648
Ruby Rite,24,82610.0,19.763,2633.324,142.815,14880,1982640,107526
Necrotize,26,72193.462,17.266,2493.054,130.001,13000,1877030,97878
Emerald Rite,49,37360.469,18.223,2431.469,92.292,13720,1830663,69487
Fountain of Fire,18,77290.0,13.866,1847.805,115.716,10440,1391220,87123
Exodus (pet),7,174156.0,13.946,1619.187,162.743,10500,1219092,122530
Astral Impulse,18,66653.0,11.954,1593.502,99.79,9000,1199754,75132
Earthen Fury (pet),13,88997.077,13.813,1536.666,113.366,10400,1156962,85354
Aerial Blast (pet),13,87329.0,13.813,1507.864,111.225,10400,1135277,83742
Mountain Buster,50,21887.36,10.626,1453.529,54.662,8000,1094368,41155
Inferno (pet),12,85239.0,12.751,1358.564,104.197,9600,1022868,78450
Slipstream,13,70878.615,8.979,1223.824,90.266,6760,921422,67962
Crimson Cyclone,12,74599.0,8.925,1188.98,91.192,6720,895188,68659
Crimson Strike,12,74599.0,8.925,1188.98,91.192,6720,895188,68659
Sunflare,6,145714.5,7.969,1161.22,126.052,6000,874287,94905
Ruin IV,12,69278.0,8.288,1104.173,84.688,6240,831336,63762
Searing Flash,7,101425.714,6.508,942.989,94.769,4900,709980,71352
Ruin III,13,53322.0,6.907,920.683,67.844,5200,693186,51080
Luxwave (pet),28,18351.25,5.95,682.471,34.303,4480,513835,25827
Akh Morn (pet),3,138518.0,5.18,551.935,84.664,3900,415554,63744
Revelation (pet),3,138518.0,5.18,551.935,84.664,3900,415554,63744
Energy Drain,13,27907.385,3.453,481.862,35.553,2600,362796,26768
Slipstream (dot),76,4070.632,3.028,410.9,12.531,2280,309368,9435
Deathflare,3,66653.0,1.992,265.584,40.738,1500,199959,30672
Scarlet Flame (pet),12,15980.0,2.391,254.694,19.535,1800,191760,14708
Wyrmwave (pet),12,15980.0,2.391,254.694,19.535,1800,191760,14708
Auto,232,231.086,27.733,71.207,1.243,20880,53612,936
