sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Fell Cleave,Heavy Swing,Inner Chaos,Maim,Onslaught,Primal Rend,Primal Ruination,Primal Wrath,Storm's Eye,Storm's Path,Upheaval
-630,37,Onslaught,12126.0,0,0,0,0,0,12126,0,0,0,0,0,0
37,569,Auto,8128.0,8128,0,0,0,0,12126,0,0,0,0,0,0
170,702,Heavy Swing,19401.0,8128,0,19401,0,0,12126,0,0,0,0,0,0
2670,3293,Maim,27490.0,8128,0,19401,0,27490,12126,0,0,0,0,0,0
3397,3929,Auto,8128.0,16256,0,19401,0,27490,12126,0,0,0,0,0,0
5170,6819,Storm's Eye,42452.0,16256,0,19401,0,27490,12126,0,0,0,42452,0,0
6757,7289,Auto,9387.0,25643,0,19401,0,27490,12126,0,0,0,42452,0,0
7670,8607,Inner Chaos,121996.0,25643,0,19401,121996,27490,12126,0,0,0,42452,0,0
8295,8918,Upheaval,42437.0,25643,0,19401,121996,27490,12126,0,0,0,42452,0,42437
8920,9587,Onslaught,15152.0,25643,0,19401,121996,27490,27278,0,0,0,42452,0,42437
10117,10649,Auto,10160.0,35803,0,19401,121996,27490,27278,0,0,0,42452,0,42437
10170,10793,Fell Cleave,101081.0,35803,101081,19401,121996,27490,27278,0,0,0,42452,0,42437
10795,11462,Onslaught,15152.0,35803,101081,19401,121996,27490,42430,0,0,0,42452,0,42437
12670,13293,Fell Cleave,101081.0,35803,202162,19401,121996,27490,42430,0,0,0,42452,0,42437
13477,14009,Auto,10160.0,45963,202162,19401,121996,27490,42430,0,0,0,42452,0,42437
15170,15793,Fell Cleave,101081.0,45963,303243,19401,121996,27490,42430,0,0,0,42452,0,42437
15795,16945,Primal Wrath,70737.0,45963,303243,19401,121996,27490,42430,0,0,70737,42452,0,42437
16837,17369,Auto,10160.0,56123,303243,19401,121996,27490,42430,0,0,70737,42452,0,42437
17670,18830,Primal Rend,125481.0,56123,303243,19401,121996,27490,42430,125481,0,70737,42452,0,42437
20197,20729,Auto,10160.0,66283,303243,19401,121996,27490,42430,125481,0,70737,42452,0,42437
20170,21230,Primal Ruination,139427.0,66283,303243,19401,121996,27490,42430,125481,139427,70737,42452,0,42437
22670,23607,Inner Chaos,121996.0,66283,303243,19401,243992,27490,42430,125481,139427,70737,42452,0,42437
