sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_expected,sim_weight,sim_target,sim_conditions,sim_variance,sim_buffs,sim_application_timestamp
-16000,-16000,Form Shift,,,,,,,[],
-300,-300,Thunderclap,,,,,,,[],
0,0,The Wanderer's Minuet,,,,,,,[],
1120,1120,Perfect Balance,,,,,,,[],
500,1790,Dragon Kick,320.0,32098.0,,Boss1,['Formless Fist'],71896642.0,"['Formless Fist', ""The Wanderer's Minuet""]",
1790,2322,Auto,90.0,7859.0,,Boss1,[],4309616.0,"[""The Wanderer's Minuet""]",
3060,3060,Grade 4 Gemdraught,,,,,,,[],
2440,3060,Leaping Opo,460.0,64066.0,,Boss1,"['Opo-opo Form', ""Opo-opo's Fury""]",42779866.0,"['Opo-opo Form', ""Opo-opo's Fury"", ""The Wanderer's Minuet""]",
1770,3190,The Forbidden Chakra,400.0,40126.0,1.0,Boss1,[],112361013.0,"[""The Wanderer's Minuet""]",
3491,3491,Dokumori,,,,,,,[],
3491,3491,Dokumori,,,,,,,[],
3491,3491,Dokumori,,,,,,,[],
3830,4362,Auto,90.0,8933.0,,Boss1,[],5568922.0,"['Dokumori', 'Grade 4 Gemdraught', ""The Wanderer's Minuet""]",
5000,5000,Brotherhood,,,,,,,[],5800.0
5103,5103,Battle Voice,,,,,,,[],5723.0
3710,5130,The Forbidden Chakra,400.0,0.0,0.0,Boss1,[],145207591.0,"['Dokumori', 'Grade 4 Gemdraught', ""The Wanderer's Minuet""]",
5400,5400,Starry Muse,,,,,,,[],
5473,5473,Divination,,,,,,,[],6073.0
5533,5533,Starry Muse,,,,,,,[],
5620,5620,Riddle of Fire,,,,,,,[],
4380,5670,Dragon Kick,320.0,36492.0,,Boss1,['Opo-opo Form'],92931182.0,"['Dokumori', 'Grade 4 Gemdraught', 'Opo-opo Form', ""The Wanderer's Minuet""]",
5723,5723,Radiant Finale,,,,,,,[],6348.0
5870,6402,Auto,90.0,11863.0,,Boss1,[],10250836.0,"['Battle Voice', 'Brotherhood', 'Dokumori', 'Grade 4 Gemdraught', 'Riddle of Fire', 'Starry Muse', ""The Wanderer's Minuet""]",
