sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,844,27526.143,313.47,30816.539,398.899,236320,23232065,300723
Auto,269,7829.074,32.114,2793.565,45.849,24210,2106021,34565
Blasting Zone,25,79850.16,26.529,2647.963,143.571,20000,1996254,108236
Solid Barrel,43,37108.186,26.237,2116.578,83.814,19780,1595652,63186
Double Down,13,117688.846,17.244,2029.433,151.565,13000,1529955,114262
Lion Heart,13,117165.231,17.244,2020.404,150.864,13000,1523148,113734
Wicked Talon,26,55959.192,19.313,1929.927,102.232,14560,1454939,77071
Noble Blood,13,105898.154,15.52,1826.114,136.438,11700,1376676,102858
Brutal Shell,43,30556.256,21.674,1742.869,68.997,16340,1313919,52016
Savage Claw,26,49944.962,17.244,1722.507,91.283,13000,1298569,68817
Reign of Beasts,13,94149.692,13.795,1623.522,121.25,10400,1223946,91408
Gnashing Fang,26,43946.0,15.175,1515.614,80.319,11440,1142596,60551
Keen Edge,43,24116.372,17.111,1375.55,54.455,12900,1037004,41053
Burst Strike,30,33974.733,16.713,1351.99,63.99,12600,1019242,48241
Sonic Break (dot),62,13959.452,9.869,1148.038,39.306,7440,865486,29632
Eye Gouge,26,31062.462,10.346,1071.286,56.428,7800,807624,42540
Abdomen Tear,26,27901.038,8.967,962.254,50.898,6760,725427,38371
Jugular Rip,26,21971.769,7.587,757.765,40.157,5720,571266,30274
Sonic Break,13,39970.538,5.863,689.254,51.584,4420,519617,38888
Bow Shock (dot),65,7055.692,5.173,608.344,20.316,3900,458620,15316
Hypervelocity,30,14556.7,7.163,579.269,27.417,5400,436701,20669
Bow Shock,13,17646.385,2.587,304.295,22.725,1950,229403,17132
