sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,857,39488.81,363.307,45154.094,609.867,272290,33841910,457081
Raiton,33,108279.576,32.583,4767.632,226.496,24420,3573226,169753
Fleeting Raiju,33,101671.606,30.822,4476.678,212.492,23100,3355163,159258
Gust Slash,79,41743.861,42.163,4400.094,132.21,31600,3297765,99088
Hyosho Ranryu,13,241132.538,22.549,4182.553,317.316,16900,3134723,237821
Aeolian Edge,52,59480.923,38.854,4126.894,153.37,29120,3093008,114947
Auto,342,8792.602,41.069,4012.23,59.184,30780,3007070,44357
Spinning Edge,79,31171.139,31.622,3285.656,98.656,23700,2462520,73940
Bhavacakra,45,51092.244,25.218,3067.678,129.425,18900,2299151,97001
Suiton,20,72782.55,15.477,1942.225,120.055,11600,1455651,89978
Armor Crush,27,52295.407,18.013,1883.951,97.095,13500,1411976,72770
Tenri Jindo,7,184868.571,10.274,1726.646,176.06,7700,1294080,131953
Kunai's Bane,13,90795.923,12.142,1574.896,119.482,9100,1180347,89549
Dream Within a Dream,39,25678.615,9.367,1336.222,58.529,7020,1001466,43866
Zesho Meppo,7,121285.286,6.738,1132.787,115.852,5050,848997,86828
Phantom Kamaitachi (pet),9,81429.444,8.406,977.837,88.175,6300,732865,66085
Fuma Shuriken,7,84026.286,4.67,784.794,80.023,3500,588184,59975
Dokumori,7,44665.286,3.736,417.167,42.404,2800,312657,31781
Fleeting Raiju (pet),13,21673.231,2.775,375.932,28.523,2080,281752,21377
Spinning Edge (pet),10,15490.0,2.135,206.678,17.452,1600,154900,13080
Gust Slash (pet),9,15952.222,1.921,191.561,17.163,1440,143570,12863
Aeolian Edge (pet),8,16299.875,1.708,173.987,16.64,1280,130399,12471
Armor Crush (pet),5,16488.0,1.067,109.997,13.333,800,82440,9993
