sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Aero in Green,Auto,Blizzard in Cyan,Clawed Muse,Comet in Black,Fanged Muse,Fire in Red,Hammer Brush,Hammer Stamp,Holy in White,Mog of the Ages,Polishing Hammer,Pom Muse,Rainbow Drip,Retribution of the Madeen,Star Prism,Stone in Yellow,Thunder in Magenta,Water in Blue,Winged Muse
-600,640,Rainbow Drip,133983.0,0,0,0,0,0,0,0,0,0,0,0,0,0,133983,0,0,0,0,0,0
640,1172,Auto,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,133983,0,0,0,0,0,0
700,1320,Pom Muse,117220.0,0,0,0,0,0,0,0,0,0,0,0,0,117220,133983,0,0,0,0,0,0
5100,5632,Auto,0.0,0,0,0,0,0,0,0,0,0,0,0,0,117220,133983,0,0,0,0,0,0
6100,7350,Star Prism,205461.0,0,0,0,0,0,0,0,0,0,0,0,0,117220,133983,0,205461,0,0,0,0
9190,9940,Blizzard in Cyan,163772.0,0,0,163772,0,0,0,0,0,0,0,0,0,117220,133983,0,205461,0,0,0,0
9690,10222,Auto,0.0,0,0,163772,0,0,0,0,0,0,0,0,0,117220,133983,0,205461,0,0,0,0
11660,12460,Stone in Yellow,171466.0,0,0,163772,0,0,0,0,0,0,0,0,0,117220,133983,0,205461,171466,0,0,0
12650,13182,Auto,0.0,0,0,163772,0,0,0,0,0,0,0,0,0,117220,133983,0,205461,171466,0,0,0
14130,14980,Thunder in Magenta,179070.0,0,0,163772,0,0,0,0,0,0,0,0,0,117220,133983,0,205461,171466,179070,0,0
15610,16142,Auto,0.0,0,0,163772,0,0,0,0,0,0,0,0,0,117220,133983,0,205461,171466,179070,0,0
16079,17059,Winged Muse,152414.0,0,0,163772,0,0,0,0,0,0,0,0,0,117220,133983,0,205461,171466,179070,0,152414
15380,17250,Comet in Black,179070.0,0,0,163772,0,179070,0,0,0,0,0,0,0,117220,133983,0,205461,171466,179070,0,152414
17850,19090,Rainbow Drip,190519.0,0,0,163772,0,179070,0,0,0,0,0,0,0,117220,324502,0,205461,171466,179070,0,152414
18570,19102,Auto,0.0,0,0,163772,0,179070,0,0,0,0,0,0,0,117220,324502,0,205461,171466,179070,0,152414
18550,19700,Mog of the Ages,190519.0,0,0,163772,0,179070,0,0,0,0,0,190519,0,117220,324502,0,205461,171466,179070,0,152414
20351,21731,Hammer Stamp,185750.0,0,0,163772,0,179070,0,0,0,185750,0,190519,0,117220,324502,0,205461,171466,179070,0,152414
21530,22062,Auto,0.0,0,0,163772,0,179070,0,0,0,185750,0,190519,0,117220,324502,0,205461,171466,179070,0,152414
22851,24101,Hammer Brush,192453.0,0,0,163772,0,179070,0,0,192453,185750,0,190519,0,117220,324502,0,205461,171466,179070,0,152414
24490,25022,Auto,0.0,0,0,163772,0,179070,0,0,192453,185750,0,190519,0,117220,324502,0,205461,171466,179070,0,152414
25351,27451,Polishing Hammer,189669.0,0,0,163772,0,179070,0,0,192453,185750,0,190519,189669,117220,324502,0,205461,171466,179070,0,152414
27450,27982,Auto,0.0,0,0,163772,0,179070,0,0,192453,185750,0,190519,189669,117220,324502,0,205461,171466,179070,0,152414
