sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_expected,sim_weight,sim_target,sim_conditions,sim_variance,sim_buffs,sim_application_timestamp
0,0,The Wanderer's Minuet,,,,,,,[],
-540,40,Pneuma,380.0,49391.0,,Boss1,[],147266966.0,[],
68,68,Grade 4 Gemdraught,,,,,,,[],
40,572,Auto,90.0,21.0,,Boss1,[],26.0,"[""The Wanderer's Minuet""]",
3491,3491,Dokumori,,,,,,,[],
3491,3491,Dokumori,,,,,,,[],
3491,3491,Dokumori,,,,,,,[],
3401,4071,Dosis III,380.0,54025.0,,Boss1,[],180241680.0,"['Grade 4 Gemdraught', ""The Wanderer's Minuet""]",
3901,4433,Auto,90.0,22.0,,Boss1,[],30.0,"['Dokumori', 'Grade 4 Gemdraught', ""The Wanderer's Minuet""]",
940,4500,Eukrasian Dosis III (dot),90.0,13068.0,,Boss1,[],10545374.0,"['Grade 4 Gemdraught', ""The Wanderer's Minuet""]",
5103,5103,Battle Voice,,,,,,,[],5723.0
5133,5133,Brotherhood,,,,,,,[],5933.0
5220,5220,Chain Stratagem,,,,,,,[],6020.0
5400,5400,Starry Muse,,,,,,,[],
5533,5533,Starry Muse,,,,,,,[],
5723,5723,Radiant Finale,,,,,,,[],6348.0
5841,6511,Dosis III,380.0,62464.0,,Boss1,[],264981824.0,"['Battle Voice', 'Dokumori', 'Grade 4 Gemdraught', 'Starry Muse', ""The Wanderer's Minuet""]",
6701,7233,Auto,90.0,28.0,,Boss1,[],51.0,"['Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Dokumori', 'Grade 4 Gemdraught', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet""]",
940,7500,Eukrasian Dosis III (dot),90.0,13068.0,,Boss1,[],10545374.0,"['Grade 4 Gemdraught', ""The Wanderer's Minuet""]",
7322,7992,Phlegma III,690.0,127858.0,,Boss1,[],1159714778.0,"['Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Dokumori', 'Grade 4 Gemdraught', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet""]",
7942,9042,Psyche,690.0,127858.0,,Boss1,[],1159714778.0,"['Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Dokumori', 'Grade 4 Gemdraught', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet""]",
9501,10033,Auto,90.0,28.0,,Boss1,[],51.0,"['Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Dokumori', 'Grade 4 Gemdraught', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet""]",
10382,10382,Druochole,,,,,,,[],
9762,10432,Phlegma III,690.0,127858.0,,Boss1,[],1159714778.0,"['Battle Voice', 'Brotherhood', 'Chain Stratagem', 'Dokumori', 'Grade 4 Gemdraught', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet""]",
940,10500,Eukrasian Dosis III (dot),90.0,13068.0,,Boss1,[],10545374.0,"['Grade 4 Gemdraught', ""The Wanderer's Minuet""]",
