sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,1267.4473,13879.539,432.343,32535.884,561.54,325710,24511266,423042
Burst Shot,184.714,28613.89,53.941,7015.741,166.83,40637,5285386,125683
Refulgent Arrow,91.6474,40082.708,34.062,4876.116,227.884,25661,3673476,171679
Shot,248.0,9233.44,26.335,3039.569,52.157,19840,2289893,39293
Heartbreak Shot,89.93310000000001,25181.073,21.486,3006.012,116.315,16187,2264612,87627
Empyreal Arrow,49.0,35599.02,16.911,2315.426,89.491,12740,1744352,67419
Pitch Perfect,32.5142,52868.254,14.315,2281.733,195.738,10784,1718969,147461
Radiant Encore,7.0,197511.143,9.69,1835.213,187.599,7300,1382578,141330
Apex Arrow,12.000000000000002,107303.75,10.847,1709.201,312.526,8172,1287645,235445
Blast Arrow,11.6386,110457.014,10.814,1706.44,137.607,8147,1285565,103668
Stormbite (dot),251.0,3577.896,8.329,1192.061,20.432,6275,898052,15393
Resonant Arrow,7.0,121284.286,5.947,1126.936,114.22,4480,848990,86049
Sidewinder,13.0,63817.538,6.902,1101.236,83.228,5200,829628,62701
Caustic Bite (dot),250.0,2863.7,6.637,950.308,16.327,5000,715925,12300
Iron Jaws,18.0,14176.0,2.389,338.706,21.66,1800,255168,16318
Caustic Bite,1.0,18696.0,0.199,24.817,6.61,150,18696,4980
Stormbite,1.0,12331.0,0.133,16.368,4.322,100,12331,3256
