sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,884.7308,20978.633,704.828,43040.924,651.945,528710,32286116,489041
Leaping Opo,82.0,76119.646,50.285,8321.017,101.968,37720,6241811,76489
Auto,435.0,8938.453,52.191,5183.432,67.074,39150,3888227,50314
The Forbidden Chakra,62.7308,52416.15,33.45,4383.406,431.168,25092,3288107,323430
Pouncing Coeurl,60.0,53711.983,41.593,4296.237,146.227,31200,3222719,109689
Dragon Kick,82.0,38112.488,34.981,4166.265,124.726,26240,3125224,93560
Rising Raptor,45.0,55453.178,32.395,3326.632,130.653,24300,2495393,98006
Fire's Reply,13.0,189586.231,24.263,3285.609,245.989,18200,2464621,184523
Twin Snakes,45.0,42970.978,25.196,2577.826,101.23,18900,1933694,75935
Phantom Rush,6.0,228555.0,11.998,1828.133,201.569,9000,1371330,151202
Demolish,30.0,42924.433,16.797,1716.689,82.517,12600,1287733,61898
Wind's Reply,9.0,127869.444,12.478,1534.176,139.219,9360,1150825,104432
Elixir Burst,8.0,136787.0,9.598,1458.816,138.881,7200,1094296,104178
Rising Phoenix,6.0,103762.0,7.199,829.957,88.757,5400,622572,66579
Six-sided Star,1.0,99564.0,1.221,132.73,73.994,916,99564,55505
