sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Afflatus Misery,Assize,Auto,Dia,Dia (dot),Glare III,Glare IV
-170,1120,Dia,10969.0,0,0,0,10969,0,0,0
-170,1500,Dia (dot),11244.0,0,0,0,10969,11244,0,0
1120,1652,Auto,0.0,0,0,0,10969,11244,0,0
-170,4500,Dia (dot),11244.0,0,0,0,10969,22488,0,0
3220,4510,Glare III,49638.0,0,0,0,10969,22488,49638,0
4560,5092,Auto,0.0,0,0,0,10969,22488,49638,0
5650,6940,Glare III,54725.0,0,0,0,10969,22488,104363,0
-170,7500,Dia (dot),11244.0,0,0,0,10969,33732,104363,0
8280,8812,Auto,0.0,0,0,0,10969,33732,104363,0
8389,9059,Assize,70256.0,0,70256,0,10969,33732,104363,0
7780,9070,Glare III,61473.0,0,70256,0,10969,33732,165836,0
9060,9640,Afflatus Misery,245903.0,245903,70256,0,10969,33732,165836,0
-170,10500,Dia (dot),11244.0,245903,70256,0,10969,44976,165836,0
11030,11562,Auto,0.0,245903,70256,0,10969,44976,165836,0
11000,11850,Glare IV,112394.0,245903,70256,0,10969,44976,165836,112394
-170,13500,Dia (dot),11244.0,245903,70256,0,10969,56220,165836,112394
12940,13790,Glare IV,112394.0,245903,70256,0,10969,56220,165836,224788
13780,14312,Auto,0.0,245903,70256,0,10969,56220,165836,224788
14881,15731,Glare IV,112394.0,245903,70256,0,10969,56220,165836,337182
-170,16500,Dia (dot),11244.0,245903,70256,0,10969,67464,165836,337182
16530,17062,Auto,0.0,245903,70256,0,10969,67464,165836,337182
17481,18771,Glare III,61473.0,245903,70256,0,10969,67464,227309,337182
-170,19500,Dia (dot),11244.0,245903,70256,0,10969,78708,227309,337182
19921,20453,Auto,0.0,245903,70256,0,10969,78708,227309,337182
19421,20711,Glare III,61473.0,245903,70256,0,10969,78708,288782,337182
-170,22500,Dia (dot),11244.0,245903,70256,0,10969,89952,288782,337182
21361,22651,Glare III,61473.0,245903,70256,0,10969,89952,350255,337182
24101,24633,Auto,0.0,245903,70256,0,10969,89952,350255,337182
23601,24891,Glare III,61473.0,245903,70256,0,10969,89952,411728,337182
-170,25500,Dia (dot),11244.0,245903,70256,0,10969,101196,411728,337182
25071,26361,Dia,14150.0,245903,70256,0,25119,101196,411728,337182
25071,28500,Dia (dot),14506.0,245903,70256,0,25119,115702,411728,337182
28961,29493,Auto,0.0,245903,70256,0,25119,115702,411728,337182
28461,29751,Glare III,49638.0,245903,70256,0,25119,115702,461366,337182
25071,31500,Dia (dot),14506.0,245903,70256,0,25119,130208,461366,337182
32401,32933,Auto,0.0,245903,70256,0,25119,130208,461366,337182
25071,34500,Dia (dot),14506.0,245903,70256,0,25119,144714,461366,337182
35841,36373,Auto,0.0,245903,70256,0,25119,144714,461366,337182
25071,37500,Dia (dot),14506.0,245903,70256,0,25119,159220,461366,337182
37221,37801,Afflatus Misery,183437.0,429340,70256,0,25119,159220,461366,337182
39281,39813,Auto,0.0,429340,70256,0,25119,159220,461366,337182
25071,40500,Dia (dot),14506.0,429340,70256,0,25119,173726,461366,337182
40611,41901,Glare III,45857.0,429340,70256,0,25119,173726,507223,337182
25071,43500,Dia (dot),14506.0,429340,70256,0,25119,188232,507223,337182
43541,44073,Auto,0.0,429340,70256,0,25119,188232,507223,337182
43041,44331,Glare III,45834.0,429340,70256,0,25119,188232,553057,337182
