sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Air Anchor,Arm Punch (pet),Blazing Shot,Chain Saw,Checkmate,Crowned Collider (pet),Double Check,Drill,Excavator,Full Metal Field,Heated Clean Shot,Heated Slug Shot,Heated Split Shot,Pile Bunker (pet),Roller Dash (pet),Shot,Wildfire (dot)
-1000,150,Air Anchor,152217.0,152217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-380,330,Checkmate,24091.0,152217,0,0,0,24091,0,0,0,0,0,0,0,0,0,0,0,0
150,908,Shot,7847.0,152217,0,0,0,24091,0,0,0,0,0,0,0,0,0,0,7847,0
240,950,Double Check,24091.0,152217,0,0,0,24091,0,24091,0,0,0,0,0,0,0,0,7847,0
1501,2651,Drill,88349.0,152217,0,0,0,24091,0,24091,88349,0,0,0,0,0,0,0,7847,0
2790,3548,Shot,7847.0,152217,0,0,0,24091,0,24091,88349,0,0,0,0,0,0,0,15694,0
4001,5031,Chain Saw,88349.0,152217,0,0,88349,24091,0,24091,88349,0,0,0,0,0,0,0,15694,0
5430,6188,Shot,7847.0,152217,0,0,88349,24091,0,24091,88349,0,0,0,0,0,0,0,23541,0
6502,7572,Excavator,98644.0,152217,0,0,88349,24091,0,24091,88349,98644,0,0,0,0,0,0,23541,0
8070,8828,Shot,8761.0,152217,0,0,88349,24091,0,24091,88349,98644,0,0,0,0,0,0,32302,0
9002,10152,Drill,171434.0,152217,0,0,88349,24091,0,24091,259783,98644,0,0,0,0,0,0,32302,0
9622,10332,Checkmate,26898.0,152217,0,0,88349,50989,0,24091,259783,98644,0,0,0,0,0,0,32302,0
10710,11468,Shot,8761.0,152217,0,0,88349,50989,0,24091,259783,98644,0,0,0,0,0,0,41063,0
11503,12533,Full Metal Field,233776.0,152217,0,0,88349,50989,0,24091,259783,98644,233776,0,0,0,0,0,41063,0
12622,12622,Roller Dash (pet),39503.0,152217,0,0,88349,50989,0,24091,259783,98644,233776,0,0,0,0,39503,41063,0
12123,12833,Double Check,26898.0,152217,0,0,88349,50989,0,50989,259783,98644,233776,0,0,0,0,39503,41063,0
13350,14108,Shot,8761.0,152217,0,0,88349,50989,0,50989,259783,98644,233776,0,0,0,0,39503,49824,0
14003,14853,Blazing Shot,38858.0,152217,0,38858,88349,50989,0,50989,259783,98644,233776,0,0,0,0,39503,49824,0
14623,15333,Checkmate,26898.0,152217,0,38858,88349,77887,0,50989,259783,98644,233776,0,0,0,0,39503,49824,0
15822,15822,Arm Punch (pet),19748.0,152217,19748,38858,88349,77887,0,50989,259783,98644,233776,0,0,0,0,39503,49824,0
15504,16354,Blazing Shot,38858.0,152217,19748,77716,88349,77887,0,50989,259783,98644,233776,0,0,0,0,39503,49824,0
15990,16748,Shot,8761.0,152217,19748,77716,88349,77887,0,50989,259783,98644,233776,0,0,0,0,39503,58585,0
16123,16833,Double Check,26898.0,152217,19748,77716,88349,77887,0,77887,259783,98644,233776,0,0,0,0,39503,58585,0
17422,17422,Arm Punch (pet),19748.0,152217,39496,77716,88349,77887,0,77887,259783,98644,233776,0,0,0,0,39503,58585,0
17004,17854,Blazing Shot,38858.0,152217,39496,116574,88349,77887,0,77887,259783,98644,233776,0,0,0,0,39503,58585,0
17624,18334,Checkmate,26898.0,152217,39496,116574,88349,104785,0,77887,259783,98644,233776,0,0,0,0,39503,58585,0
19022,19022,Arm Punch (pet),19748.0,152217,59244,116574,88349,104785,0,77887,259783,98644,233776,0,0,0,0,39503,58585,0
18505,19355,Blazing Shot,38858.0,152217,59244,155432,88349,104785,0,77887,259783,98644,233776,0,0,0,0,39503,58585,0
18630,19388,Shot,8761.0,152217,59244,155432,88349,104785,0,77887,259783,98644,233776,0,0,0,0,39503,67346,0
19125,19835,Double Check,26898.0,152217,59244,155432,88349,104785,0,104785,259783,98644,233776,0,0,0,0,39503,67346,0
20622,20622,Pile Bunker (pet),55962.0,152217,59244,155432,88349,104785,0,104785,259783,98644,233776,0,0,0,55962,39503,67346,0
20005,20855,Blazing Shot,38858.0,152217,59244,194290,88349,104785,0,104785,259783,98644,233776,0,0,0,55962,39503,67346,0
10242,20912,Wildfire (dot),160296.0,152217,59244,194290,88349,104785,0,104785,259783,98644,233776,0,0,0,55962,39503,67346,160296
20625,21335,Checkmate,26898.0,152217,59244,194290,88349,131683,0,104785,259783,98644,233776,0,0,0,55962,39503,67346,160296
21270,22028,Shot,8761.0,152217,59244,194290,88349,131683,0,104785,259783,98644,233776,0,0,0,55962,39503,76107,160296
22622,22622,Crowned Collider (pet),64194.0,152217,59244,194290,88349,131683,64194,104785,259783,98644,233776,0,0,0,55962,39503,76107,160296
21506,22656,Drill,98644.0,152217,59244,194290,88349,131683,64194,104785,358427,98644,233776,0,0,0,55962,39503,76107,160296
22126,22836,Double Check,26898.0,152217,59244,194290,88349,131683,64194,131683,358427,98644,233776,0,0,0,55962,39503,76107,160296
22746,23456,Checkmate,26898.0,152217,59244,194290,88349,158581,64194,131683,358427,98644,233776,0,0,0,55962,39503,76107,160296
23910,24668,Shot,8761.0,152217,59244,194290,88349,158581,64194,131683,358427,98644,233776,0,0,0,55962,39503,84868,160296
24006,24806,Heated Split Shot,32875.0,152217,59244,194290,88349,158581,64194,131683,358427,98644,233776,0,0,32875,55962,39503,84868,160296
24626,25336,Double Check,26898.0,152217,59244,194290,88349,158581,64194,158581,358427,98644,233776,0,0,32875,55962,39503,84868,160296
26507,27307,Heated Slug Shot,42833.0,152217,59244,194290,88349,158581,64194,158581,358427,98644,233776,0,42833,32875,55962,39503,84868,160296
26550,27308,Shot,7847.0,152217,59244,194290,88349,158581,64194,158581,358427,98644,233776,0,42833,32875,55962,39503,92715,160296
29007,29807,Heated Clean Shot,51946.0,152217,59244,194290,88349,158581,64194,158581,358427,98644,233776,51946,42833,32875,55962,39503,92715,160296
29190,29948,Shot,7251.0,152217,59244,194290,88349,158581,64194,158581,358427,98644,233776,51946,42833,32875,55962,39503,99966,160296
31508,32308,Heated Split Shot,27207.0,152217,59244,194290,88349,158581,64194,158581,358427,98644,233776,51946,42833,60082,55962,39503,99966,160296
31830,32588,Shot,7251.0,152217,59244,194290,88349,158581,64194,158581,358427,98644,233776,51946,42833,60082,55962,39503,107217,160296
34008,34808,Heated Slug Shot,39574.0,152217,59244,194290,88349,158581,64194,158581,358427,98644,233776,51946,82407,60082,55962,39503,107217,160296
34470,35228,Shot,7251.0,152217,59244,194290,88349,158581,64194,158581,358427,98644,233776,51946,82407,60082,55962,39503,114468,160296
36509,37309,Heated Clean Shot,51946.0,152217,59244,194290,88349,158581,64194,158581,358427,98644,233776,103892,82407,60082,55962,39503,114468,160296
37110,37868,Shot,7251.0,152217,59244,194290,88349,158581,64194,158581,358427,98644,233776,103892,82407,60082,55962,39503,121719,160296
39009,40159,Air Anchor,81629.0,233846,59244,194290,88349,158581,64194,158581,358427,98644,233776,103892,82407,60082,55962,39503,121719,160296
39750,40508,Shot,7251.0,233846,59244,194290,88349,158581,64194,158581,358427,98644,233776,103892,82407,60082,55962,39503,128970,160296
41510,42310,Heated Split Shot,27207.0,233846,59244,194290,88349,158581,64194,158581,358427,98644,233776,103892,82407,87289,55962,39503,128970,160296
42390,43148,Shot,7251.0,233846,59244,194290,88349,158581,64194,158581,358427,98644,233776,103892,82407,87289,55962,39503,136221,160296
44010,44810,Heated Slug Shot,39574.0,233846,59244,194290,88349,158581,64194,158581,358427,98644,233776,103892,121981,87289,55962,39503,136221,160296
45030,45788,Shot,7251.0,233846,59244,194290,88349,158581,64194,158581,358427,98644,233776,103892,121981,87289,55962,39503,143472,160296
46511,47311,Heated Clean Shot,51946.0,233846,59244,194290,88349,158581,64194,158581,358427,98644,233776,155838,121981,87289,55962,39503,143472,160296
47131,47841,Checkmate,22256.0,233846,59244,194290,88349,180837,64194,158581,358427,98644,233776,155838,121981,87289,55962,39503,143472,160296
47670,48428,Shot,7251.0,233846,59244,194290,88349,180837,64194,158581,358427,98644,233776,155838,121981,87289,55962,39503,150723,160296
47751,48461,Double Check,22256.0,233846,59244,194290,88349,180837,64194,180837,358427,98644,233776,155838,121981,87289,55962,39503,150723,160296
49011,50161,Drill,81629.0,233846,59244,194290,88349,180837,64194,180837,440056,98644,233776,155838,121981,87289,55962,39503,150723,160296
50310,51068,Shot,7251.0,233846,59244,194290,88349,180837,64194,180837,440056,98644,233776,155838,121981,87289,55962,39503,157974,160296
51512,52312,Heated Split Shot,27207.0,233846,59244,194290,88349,180837,64194,180837,440056,98644,233776,155838,121981,114496,55962,39503,157974,160296
52950,53708,Shot,7251.0,233846,59244,194290,88349,180837,64194,180837,440056,98644,233776,155838,121981,114496,55962,39503,165225,160296
54012,54862,Blazing Shot,32154.0,233846,59244,226444,88349,180837,64194,180837,440056,98644,233776,155838,121981,114496,55962,39503,165225,160296
55131,55131,Roller Dash (pet),27114.0,233846,59244,226444,88349,180837,64194,180837,440056,98644,233776,155838,121981,114496,55962,66617,165225,160296
55590,56348,Shot,7251.0,233846,59244,226444,88349,180837,64194,180837,440056,98644,233776,155838,121981,114496,55962,66617,172476,160296
55513,56363,Blazing Shot,32154.0,233846,59244,258598,88349,180837,64194,180837,440056,98644,233776,155838,121981,114496,55962,66617,172476,160296
57013,57863,Blazing Shot,32154.0,233846,59244,290752,88349,180837,64194,180837,440056,98644,233776,155838,121981,114496,55962,66617,172476,160296
58331,58331,Arm Punch (pet),13555.0,233846,72799,290752,88349,180837,64194,180837,440056,98644,233776,155838,121981,114496,55962,66617,172476,160296
58230,58988,Shot,7251.0,233846,72799,290752,88349,180837,64194,180837,440056,98644,233776,155838,121981,114496,55962,66617,179727,160296
58514,59364,Blazing Shot,32154.0,233846,72799,322906,88349,180837,64194,180837,440056,98644,233776,155838,121981,114496,55962,66617,179727,160296
59134,59844,Double Check,22256.0,233846,72799,322906,88349,180837,64194,203093,440056,98644,233776,155838,121981,114496,55962,66617,179727,160296
59931,59931,Arm Punch (pet),13555.0,233846,86354,322906,88349,180837,64194,203093,440056,98644,233776,155838,121981,114496,55962,66617,179727,160296
60014,60864,Blazing Shot,32154.0,233846,86354,355060,88349,180837,64194,203093,440056,98644,233776,155838,121981,114496,55962,66617,179727,160296
60634,61344,Checkmate,22256.0,233846,86354,355060,88349,203093,64194,203093,440056,98644,233776,155838,121981,114496,55962,66617,179727,160296
61531,61531,Arm Punch (pet),13555.0,233846,99909,355060,88349,203093,64194,203093,440056,98644,233776,155838,121981,114496,55962,66617,179727,160296
60870,61628,Shot,7251.0,233846,99909,355060,88349,203093,64194,203093,440056,98644,233776,155838,121981,114496,55962,66617,186978,160296
61515,62315,Heated Slug Shot,39574.0,233846,99909,355060,88349,203093,64194,203093,440056,98644,233776,155838,161555,114496,55962,66617,186978,160296
62135,62845,Checkmate,22256.0,233846,99909,355060,88349,225349,64194,203093,440056,98644,233776,155838,161555,114496,55962,66617,186978,160296
63131,63131,Pile Bunker (pet),38417.0,233846,99909,355060,88349,225349,64194,203093,440056,98644,233776,155838,161555,114496,94379,66617,186978,160296
62755,63465,Double Check,22256.0,233846,99909,355060,88349,225349,64194,225349,440056,98644,233776,155838,161555,114496,94379,66617,186978,160296
63510,64268,Shot,7251.0,233846,99909,355060,88349,225349,64194,225349,440056,98644,233776,155838,161555,114496,94379,66617,194229,160296
64015,65045,Chain Saw,81629.0,233846,99909,355060,169978,225349,64194,225349,440056,98644,233776,155838,161555,114496,94379,66617,194229,160296
65131,65131,Crowned Collider (pet),44069.0,233846,99909,355060,169978,225349,108263,225349,440056,98644,233776,155838,161555,114496,94379,66617,194229,160296
66150,66908,Shot,7251.0,233846,99909,355060,169978,225349,108263,225349,440056,98644,233776,155838,161555,114496,94379,66617,201480,160296
66516,67586,Excavator,140638.0,233846,99909,355060,169978,225349,108263,225349,440056,239282,233776,155838,161555,114496,94379,66617,201480,160296
68790,69548,Shot,7251.0,233846,99909,355060,169978,225349,108263,225349,440056,239282,233776,155838,161555,114496,94379,66617,208731,160296
69016,69816,Heated Clean Shot,51946.0,233846,99909,355060,169978,225349,108263,225349,440056,239282,233776,207784,161555,114496,94379,66617,208731,160296
71430,72188,Shot,7251.0,233846,99909,355060,169978,225349,108263,225349,440056,239282,233776,207784,161555,114496,94379,66617,215982,160296
71517,72317,Heated Split Shot,27207.0,233846,99909,355060,169978,225349,108263,225349,440056,239282,233776,207784,161555,141703,94379,66617,215982,160296
74017,74817,Heated Slug Shot,39574.0,233846,99909,355060,169978,225349,108263,225349,440056,239282,233776,207784,201129,141703,94379,66617,215982,160296
74070,74828,Shot,7251.0,233846,99909,355060,169978,225349,108263,225349,440056,239282,233776,207784,201129,141703,94379,66617,223233,160296
76710,77468,Shot,7251.0,233846,99909,355060,169978,225349,108263,225349,440056,239282,233776,207784,201129,141703,94379,66617,230484,160296
76518,77668,Drill,81629.0,233846,99909,355060,169978,225349,108263,225349,521685,239282,233776,207784,201129,141703,94379,66617,230484,160296
79350,80108,Shot,7251.0,233846,99909,355060,169978,225349,108263,225349,521685,239282,233776,207784,201129,141703,94379,66617,237735,160296
80137,80137,Roller Dash (pet),27114.0,233846,99909,355060,169978,225349,108263,225349,521685,239282,233776,207784,201129,141703,94379,93731,237735,160296
79018,80168,Air Anchor,81629.0,315475,99909,355060,169978,225349,108263,225349,521685,239282,233776,207784,201129,141703,94379,93731,237735,160296
81519,82319,Heated Clean Shot,51946.0,315475,99909,355060,169978,225349,108263,225349,521685,239282,233776,259730,201129,141703,94379,93731,237735,160296
81990,82748,Shot,7251.0,315475,99909,355060,169978,225349,108263,225349,521685,239282,233776,259730,201129,141703,94379,93731,244986,160296
83337,83337,Arm Punch (pet),13555.0,315475,113464,355060,169978,225349,108263,225349,521685,239282,233776,259730,201129,141703,94379,93731,244986,160296
84019,84819,Heated Split Shot,27207.0,315475,113464,355060,169978,225349,108263,225349,521685,239282,233776,259730,201129,168910,94379,93731,244986,160296
84937,84937,Arm Punch (pet),13555.0,315475,127019,355060,169978,225349,108263,225349,521685,239282,233776,259730,201129,168910,94379,93731,244986,160296
84630,85388,Shot,7251.0,315475,127019,355060,169978,225349,108263,225349,521685,239282,233776,259730,201129,168910,94379,93731,252237,160296
86537,86537,Arm Punch (pet),13555.0,315475,140574,355060,169978,225349,108263,225349,521685,239282,233776,259730,201129,168910,94379,93731,252237,160296
86520,87320,Heated Slug Shot,39574.0,315475,140574,355060,169978,225349,108263,225349,521685,239282,233776,259730,240703,168910,94379,93731,252237,160296
87270,88028,Shot,7251.0,315475,140574,355060,169978,225349,108263,225349,521685,239282,233776,259730,240703,168910,94379,93731,259488,160296
88137,88137,Pile Bunker (pet),38417.0,315475,140574,355060,169978,225349,108263,225349,521685,239282,233776,259730,240703,168910,132796,93731,259488,160296
89020,89820,Heated Clean Shot,51946.0,315475,140574,355060,169978,225349,108263,225349,521685,239282,233776,311676,240703,168910,132796,93731,259488,160296
90137,90137,Crowned Collider (pet),44069.0,315475,140574,355060,169978,225349,152332,225349,521685,239282,233776,311676,240703,168910,132796,93731,259488,160296
89910,90668,Shot,7251.0,315475,140574,355060,169978,225349,152332,225349,521685,239282,233776,311676,240703,168910,132796,93731,266739,160296
91521,92321,Heated Split Shot,27207.0,315475,140574,355060,169978,225349,152332,225349,521685,239282,233776,311676,240703,196117,132796,93731,266739,160296
92550,93308,Shot,7251.0,315475,140574,355060,169978,225349,152332,225349,521685,239282,233776,311676,240703,196117,132796,93731,273990,160296
94021,94821,Heated Slug Shot,39574.0,315475,140574,355060,169978,225349,152332,225349,521685,239282,233776,311676,280277,196117,132796,93731,273990,160296
94641,95351,Double Check,22256.0,315475,140574,355060,169978,225349,152332,247605,521685,239282,233776,311676,280277,196117,132796,93731,273990,160296
95190,95948,Shot,7251.0,315475,140574,355060,169978,225349,152332,247605,521685,239282,233776,311676,280277,196117,132796,93731,281241,160296
