sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Atonement,Auto,Blade of Faith,Blade of Honor,Blade of Truth,Blade of Valor,Circle of Scorn,Circle of Scorn (dot),Confiteor,Expiacion,Fast Blade,Goring Blade,Holy Spirit,Imperator,Intervene,Riot Blade,Royal Authority,Sepulchre,Supplication
-500,258,Holy Spirit,31913.0,0,0,0,0,0,0,0,0,0,0,0,0,31913,0,0,0,0,0,0
258,790,Auto,5328.0,0,5328,0,0,0,0,0,0,0,0,0,0,31913,0,0,0,0,0,0
1000,1623,Fast Blade,17548.0,0,5328,0,0,0,0,0,0,0,0,17548,0,31913,0,0,0,0,0,0
2498,3030,Auto,5328.0,0,10656,0,0,0,0,0,0,0,0,17548,0,31913,0,0,0,0,0,0
3500,4258,Riot Blade,26327.0,0,10656,0,0,0,0,0,0,0,0,17548,0,31913,0,0,26327,0,0,0
4738,5270,Auto,5328.0,0,15984,0,0,0,0,0,0,0,0,17548,0,31913,0,0,26327,0,0,0
6000,6578,Royal Authority,39718.0,0,15984,0,0,0,0,0,0,0,0,17548,0,31913,0,0,26327,39718,0,0
6978,7510,Auto,6439.0,0,22423,0,0,0,0,0,0,0,0,17548,0,31913,0,0,26327,39718,0,0
7250,8540,Imperator,69906.0,0,22423,0,0,0,0,0,0,0,0,17548,0,31913,69906,0,26327,39718,0,0
8500,9034,Goring Blade,84368.0,0,22423,0,0,0,0,0,0,0,0,17548,84368,31913,69906,0,26327,39718,0,0
9218,9750,Auto,8049.0,0,30472,0,0,0,0,0,0,0,0,17548,84368,31913,69906,0,26327,39718,0,0
9125,10148,Circle of Scorn,16863.0,0,30472,0,0,0,0,16863,0,0,0,17548,84368,31913,69906,0,26327,39718,0,0
9125,10500,Circle of Scorn (dot),3609.0,0,30472,0,0,0,0,16863,3609,0,0,17548,84368,31913,69906,0,26327,39718,0,0
11000,11758,Holy Spirit,60262.0,0,30472,0,0,0,0,16863,3609,0,0,17548,84368,92175,69906,0,26327,39718,0,0
11625,11982,Expiacion,54231.0,0,30472,0,0,0,0,16863,3609,0,54231,17548,84368,92175,69906,0,26327,39718,0,0
11458,11990,Auto,8049.0,0,38521,0,0,0,0,16863,3609,0,54231,17548,84368,92175,69906,0,26327,39718,0,0
9125,13500,Circle of Scorn (dot),3609.0,0,38521,0,0,0,0,16863,7218,0,54231,17548,84368,92175,69906,0,26327,39718,0,0
13500,14123,Confiteor,120531.0,0,38521,0,0,0,0,16863,7218,120531,54231,17548,84368,92175,69906,0,26327,39718,0,0
13698,14230,Auto,8049.0,0,46570,0,0,0,0,16863,7218,120531,54231,17548,84368,92175,69906,0,26327,39718,0,0
14125,14703,Intervene,18073.0,0,46570,0,0,0,0,16863,7218,120531,54231,17548,84368,92175,69906,18073,26327,39718,0,0
15938,16470,Auto,8049.0,0,54619,0,0,0,0,16863,7218,120531,54231,17548,84368,92175,69906,18073,26327,39718,0,0
9125,16500,Circle of Scorn (dot),3609.0,0,54619,0,0,0,0,16863,10827,120531,54231,17548,84368,92175,69906,18073,26327,39718,0,0
16000,16666,Blade of Faith,91601.0,0,54619,91601,0,0,0,16863,10827,120531,54231,17548,84368,92175,69906,18073,26327,39718,0,0
18178,18710,Auto,8049.0,0,62668,91601,0,0,0,16863,10827,120531,54231,17548,84368,92175,69906,18073,26327,39718,0,0
18500,19391,Blade of Truth,106064.0,0,62668,91601,0,106064,0,16863,10827,120531,54231,17548,84368,92175,69906,18073,26327,39718,0,0
9125,19500,Circle of Scorn (dot),3609.0,0,62668,91601,0,106064,0,16863,14436,120531,54231,17548,84368,92175,69906,18073,26327,39718,0,0
19125,19703,Intervene,18073.0,0,62668,91601,0,106064,0,16863,14436,120531,54231,17548,84368,92175,69906,36146,26327,39718,0,0
20418,20950,Auto,8049.0,0,70717,91601,0,106064,0,16863,14436,120531,54231,17548,84368,92175,69906,36146,26327,39718,0,0
21000,21891,Blade of Valor,120531.0,0,70717,91601,0,106064,120531,16863,14436,120531,54231,17548,84368,92175,69906,36146,26327,39718,0,0
9125,22500,Circle of Scorn (dot),3609.0,0,70717,91601,0,106064,120531,16863,18045,120531,54231,17548,84368,92175,69906,36146,26327,39718,0,0
21625,22785,Blade of Honor,120531.0,0,70717,91601,120531,106064,120531,16863,18045,120531,54231,17548,84368,92175,69906,36146,26327,39718,0,0
22658,23190,Auto,8049.0,0,78766,91601,120531,106064,120531,16863,18045,120531,54231,17548,84368,92175,69906,36146,26327,39718,0,0
23500,24793,Atonement,55440.0,55440,78766,91601,120531,106064,120531,16863,18045,120531,54231,17548,84368,92175,69906,36146,26327,39718,0,0
24898,25430,Auto,8049.0,55440,86815,91601,120531,106064,120531,16863,18045,120531,54231,17548,84368,92175,69906,36146,26327,39718,0,0
26000,27160,Supplication,60262.0,55440,86815,91601,120531,106064,120531,16863,18045,120531,54231,17548,84368,92175,69906,36146,26327,39718,0,60262
27138,27670,Auto,7208.0,55440,94023,91601,120531,106064,120531,16863,18045,120531,54231,17548,84368,92175,69906,36146,26327,39718,0,60262
28500,29790,Sepulchre,46625.0,55440,94023,91601,120531,106064,120531,16863,18045,120531,54231,17548,84368,92175,69906,36146,26327,39718,46625,60262
29378,29910,Auto,5767.0,55440,99790,91601,120531,106064,120531,16863,18045,120531,54231,17548,84368,92175,69906,36146,26327,39718,46625,60262
