sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Baneful Impaction (dot),Biolysis (dot),Broil IV,Energy Drain
-200,1500,Biolysis (dot),11258.0,0,0,11258,0,0
1500,2032,Auto,220.0,220,0,11258,0,0
3140,3940,Broil IV,44354.0,220,0,11258,44354,0
-200,4500,Biolysis (dot),11258.0,220,0,22516,44354,0
4620,5152,Auto,220.0,440,0,22516,44354,0
4600,5400,Broil IV,44354.0,440,0,22516,88708,0
-200,7500,Biolysis (dot),11258.0,440,0,33774,88708,0
7940,8740,Broil IV,49497.0,440,0,33774,138205,0
8440,8972,Auto,245.0,685,0,33774,138205,0
8543,9613,Energy Drain,15479.0,685,0,33774,138205,15479
-200,10500,Biolysis (dot),11258.0,685,0,45032,138205,15479
10340,11140,Broil IV,49497.0,685,0,45032,187702,15479
10943,12013,Energy Drain,15479.0,685,0,45032,187702,30958
11560,12092,Auto,245.0,930,0,45032,187702,30958
-200,13500,Biolysis (dot),11258.0,930,0,56290,187702,30958
12740,13540,Broil IV,49497.0,930,0,56290,237199,30958
13343,14413,Energy Drain,15479.0,930,0,56290,237199,46437
15140,15940,Broil IV,49497.0,930,0,56290,286696,46437
15640,16172,Auto,245.0,1175,0,56290,286696,46437
-200,16500,Biolysis (dot),11258.0,1175,0,67548,286696,46437
17540,18340,Broil IV,49497.0,1175,0,67548,336193,46437
18760,19292,Auto,245.0,1420,0,67548,336193,46437
-200,19500,Biolysis (dot),11258.0,1420,0,78806,336193,46437
18143,19500,Baneful Impaction (dot),22486.0,1420,22486,78806,336193,46437
19940,20740,Broil IV,49497.0,1420,22486,78806,385690,46437
20543,21613,Energy Drain,15479.0,1420,22486,78806,385690,61916
-200,22500,Biolysis (dot),11258.0,1420,22486,90064,385690,61916
18143,22500,Baneful Impaction (dot),22486.0,1420,44972,90064,385690,61916
22340,23140,Broil IV,49497.0,1420,44972,90064,435187,61916
22840,23372,Auto,245.0,1665,44972,90064,435187,61916
22943,24013,Energy Drain,15479.0,1665,44972,90064,435187,77395
24420,25490,Energy Drain,15479.0,1665,44972,90064,435187,92874
18143,25500,Baneful Impaction (dot),22486.0,1665,67458,90064,435187,92874
23800,25500,Biolysis (dot),13598.0,1665,67458,103662,435187,92874
25960,26492,Auto,245.0,1910,67458,103662,435187,92874
27140,27940,Broil IV,44354.0,1910,67458,103662,479541,92874
23800,28500,Biolysis (dot),13598.0,1910,67458,117260,479541,92874
18143,28500,Baneful Impaction (dot),22486.0,1910,89944,117260,479541,92874
29541,30341,Broil IV,44354.0,1910,89944,117260,523895,92874
30041,30573,Auto,220.0,2130,89944,117260,523895,92874
23800,31500,Biolysis (dot),13598.0,2130,89944,130858,523895,92874
18143,31500,Baneful Impaction (dot),22486.0,2130,112430,130858,523895,92874
31941,32741,Broil IV,40986.0,2130,112430,130858,564881,92874
33161,33693,Auto,220.0,2350,112430,130858,564881,92874
23800,34500,Biolysis (dot),13598.0,2350,112430,144456,564881,92874
34341,35141,Broil IV,40986.0,2350,112430,144456,605867,92874
23800,37500,Biolysis (dot),13598.0,2350,112430,158054,605867,92874
