sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Fell Cleave,Heavy Swing,Inner Chaos,Maim,Onslaught,Primal Rend,Primal Ruination,Primal Wrath,Storm's Eye,Storm's Path,Upheaval
-630,37,Onslaught,12126.0,0,0,0,0,0,12126,0,0,0,0,0,0
37,569,Auto,8128.0,8128,0,0,0,0,12126,0,0,0,0,0,0
170,702,Heavy Swing,19401.0,8128,0,19401,0,0,12126,0,0,0,0,0,0
2670,3293,Maim,27490.0,8128,0,19401,0,27490,12126,0,0,0,0,0,0
3397,3929,Auto,8128.0,16256,0,19401,0,27490,12126,0,0,0,0,0,0
5170,6819,Storm's Eye,40431.0,16256,0,19401,0,27490,12126,0,0,0,40431,0,0
6757,7289,Auto,9984.0,26240,0,19401,0,27490,12126,0,0,0,40431,0,0
7670,8607,Inner Chaos,130891.0,26240,0,19401,130891,27490,12126,0,0,0,40431,0,0
8295,8918,Upheaval,45132.0,26240,0,19401,130891,27490,12126,0,0,0,40431,0,45132
8920,9587,Onslaught,16114.0,26240,0,19401,130891,27490,28240,0,0,0,40431,0,45132
10117,10649,Auto,10805.0,37045,0,19401,130891,27490,28240,0,0,0,40431,0,45132
10170,10793,Fell Cleave,108450.0,37045,108450,19401,130891,27490,28240,0,0,0,40431,0,45132
10795,11462,Onslaught,16114.0,37045,108450,19401,130891,27490,44354,0,0,0,40431,0,45132
12670,13293,Fell Cleave,108450.0,37045,216900,19401,130891,27490,44354,0,0,0,40431,0,45132
13477,14009,Auto,10805.0,47850,216900,19401,130891,27490,44354,0,0,0,40431,0,45132
15170,15793,Fell Cleave,108450.0,47850,325350,19401,130891,27490,44354,0,0,0,40431,0,45132
15795,16945,Primal Wrath,75228.0,47850,325350,19401,130891,27490,44354,0,0,75228,40431,0,45132
16837,17369,Auto,10805.0,58655,325350,19401,130891,27490,44354,0,0,75228,40431,0,45132
17670,18830,Primal Rend,134631.0,58655,325350,19401,130891,27490,44354,134631,0,75228,40431,0,45132
20197,20729,Auto,10805.0,69460,325350,19401,130891,27490,44354,134631,0,75228,40431,0,45132
20170,21230,Primal Ruination,149593.0,69460,325350,19401,130891,27490,44354,134631,149593,75228,40431,0,45132
22670,23607,Inner Chaos,130891.0,69460,325350,19401,261782,27490,44354,134631,149593,75228,40431,0,45132
