sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Dosis III,Eukrasian Dosis III (dot),Phlegma III,Pneuma,Psyche,Toxikon II
-540,40,Pneuma,49391.0,0,0,0,0,49391,0,0
40,572,Auto,21.0,21,0,0,0,49391,0,0
3401,4071,Dosis III,53462.0,21,53462,0,0,49391,0,0
3901,4433,Auto,21.0,42,53462,0,0,49391,0,0
940,4500,Eukrasian Dosis III (dot),12932.0,42,53462,12932,0,49391,0,0
5841,6511,Dosis III,53462.0,42,106924,12932,0,49391,0,0
6701,7233,Auto,22.0,64,106924,12932,0,49391,0,0
940,7500,Eukrasian Dosis III (dot),12932.0,64,106924,25864,0,49391,0,0
7322,7992,Phlegma III,102940.0,64,106924,25864,102940,49391,0,0
7942,9042,Psyche,102940.0,64,106924,25864,102940,49391,102940,0
9501,10033,Auto,22.0,86,106924,25864,102940,49391,102940,0
9762,10432,Phlegma III,102940.0,86,106924,25864,205880,49391,102940,0
940,10500,Eukrasian Dosis III (dot),12932.0,86,106924,38796,205880,49391,102940,0
940,13500,Eukrasian Dosis III (dot),12932.0,86,106924,51728,205880,49391,102940,0
13163,13833,Dosis III,56669.0,86,163593,51728,205880,49391,102940,0
13663,14195,Auto,22.0,108,163593,51728,205880,49391,102940,0
15603,16273,Dosis III,56669.0,108,220262,51728,205880,49391,102940,0
940,16500,Eukrasian Dosis III (dot),12932.0,108,220262,64660,205880,49391,102940,0
16463,16995,Auto,22.0,130,220262,64660,205880,49391,102940,0
18044,18714,Dosis III,56669.0,130,276931,64660,205880,49391,102940,0
940,19500,Eukrasian Dosis III (dot),12932.0,130,276931,77592,205880,49391,102940,0
19263,19795,Auto,22.0,152,276931,77592,205880,49391,102940,0
20484,21154,Dosis III,56669.0,152,333600,77592,205880,49391,102940,0
940,22500,Eukrasian Dosis III (dot),12932.0,152,333600,90524,205880,49391,102940,0
22924,23594,Dosis III,56669.0,152,390269,90524,205880,49391,102940,0
23424,23956,Auto,22.0,174,390269,90524,205880,49391,102940,0
940,25500,Eukrasian Dosis III (dot),12932.0,174,390269,103456,205880,49391,102940,0
26224,26756,Auto,21.0,195,390269,103456,205880,49391,102940,0
25406,28500,Eukrasian Dosis III (dot),13707.0,195,390269,117163,205880,49391,102940,0
27866,28536,Dosis III,53462.0,195,443731,117163,205880,49391,102940,0
29024,29556,Auto,21.0,216,443731,117163,205880,49391,102940,0
30307,30977,Dosis III,53462.0,216,497193,117163,205880,49391,102940,0
25406,31500,Eukrasian Dosis III (dot),13707.0,216,497193,130870,205880,49391,102940,0
32747,33417,Dosis III,49391.0,216,546584,130870,205880,49391,102940,0
33247,33779,Auto,21.0,237,546584,130870,205880,49391,102940,0
25406,34500,Eukrasian Dosis III (dot),13707.0,237,546584,144577,205880,49391,102940,0
35188,35858,Dosis III,49391.0,237,595975,144577,205880,49391,102940,0
36047,36579,Auto,21.0,258,595975,144577,205880,49391,102940,0
25406,37500,Eukrasian Dosis III (dot),13707.0,258,595975,158284,205880,49391,102940,0
37628,38298,Dosis III,49391.0,258,645366,158284,205880,49391,102940,0
38847,39379,Auto,21.0,279,645366,158284,205880,49391,102940,0
25406,40500,Eukrasian Dosis III (dot),13707.0,279,645366,171991,205880,49391,102940,0
40069,40739,Dosis III,49391.0,279,694757,171991,205880,49391,102940,0
42509,43179,Dosis III,49391.0,279,744148,171991,205880,49391,102940,0
25406,43500,Eukrasian Dosis III (dot),13707.0,279,744148,185698,205880,49391,102940,0
43009,43541,Auto,21.0,300,744148,185698,205880,49391,102940,0
44949,45619,Dosis III,49391.0,300,793539,185698,205880,49391,102940,0
45809,46341,Auto,21.0,321,793539,185698,205880,49391,102940,0
25406,46500,Eukrasian Dosis III (dot),13707.0,321,793539,199405,205880,49391,102940,0
47390,48060,Dosis III,49391.0,321,842930,199405,205880,49391,102940,0
48609,49141,Auto,21.0,342,842930,199405,205880,49391,102940,0
25406,49500,Eukrasian Dosis III (dot),13707.0,342,842930,213112,205880,49391,102940,0
49830,50500,Dosis III,49391.0,342,892321,213112,205880,49391,102940,0
25406,52500,Eukrasian Dosis III (dot),13707.0,342,892321,226819,205880,49391,102940,0
52271,52941,Dosis III,49391.0,342,941712,226819,205880,49391,102940,0
52771,53303,Auto,21.0,363,941712,226819,205880,49391,102940,0
