sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Fell Cleave,Heavy Swing,Inner Chaos,Maim,Onslaught,Primal Rend,Primal Ruination,Primal Wrath,Storm's Eye,Storm's Path,Upheaval
-630,37,Onslaught,12126.0,0,0,0,0,0,12126,0,0,0,0,0,0
37,569,Auto,8128.0,8128,0,0,0,0,12126,0,0,0,0,0,0
170,702,Heavy Swing,19401.0,8128,0,19401,0,0,12126,0,0,0,0,0,0
2670,3293,Maim,27490.0,8128,0,19401,0,27490,12126,0,0,0,0,0,0
3397,3929,Auto,8128.0,16256,0,19401,0,27490,12126,0,0,0,0,0,0
5170,6819,Storm's Eye,40431.0,16256,0,19401,0,27490,12126,0,0,0,40431,0,0
6757,7289,Auto,9477.0,25733,0,19401,0,27490,12126,0,0,0,40431,0,0
7670,8607,Inner Chaos,123158.0,25733,0,19401,123158,27490,12126,0,0,0,40431,0,0
8295,8918,Upheaval,42841.0,25733,0,19401,123158,27490,12126,0,0,0,40431,0,42841
8920,9587,Onslaught,15296.0,25733,0,19401,123158,27490,27422,0,0,0,40431,0,42841
10117,10649,Auto,10256.0,35989,0,19401,123158,27490,27422,0,0,0,40431,0,42841
10170,10793,Fell Cleave,102044.0,35989,102044,19401,123158,27490,27422,0,0,0,40431,0,42841
10795,11462,Onslaught,15296.0,35989,102044,19401,123158,27490,42718,0,0,0,40431,0,42841
12670,13293,Fell Cleave,102044.0,35989,204088,19401,123158,27490,42718,0,0,0,40431,0,42841
13477,14009,Auto,10256.0,46245,204088,19401,123158,27490,42718,0,0,0,40431,0,42841
15170,15793,Fell Cleave,102044.0,46245,306132,19401,123158,27490,42718,0,0,0,40431,0,42841
15795,16945,Primal Wrath,71410.0,46245,306132,19401,123158,27490,42718,0,0,71410,40431,0,42841
16837,17369,Auto,10256.0,56501,306132,19401,123158,27490,42718,0,0,71410,40431,0,42841
17670,18830,Primal Rend,126676.0,56501,306132,19401,123158,27490,42718,126676,0,71410,40431,0,42841
20197,20729,Auto,10256.0,66757,306132,19401,123158,27490,42718,126676,0,71410,40431,0,42841
20170,21230,Primal Ruination,140754.0,66757,306132,19401,123158,27490,42718,126676,140754,71410,40431,0,42841
22670,23607,Inner Chaos,123158.0,66757,306132,19401,246316,27490,42718,126676,140754,71410,40431,0,42841
