sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Combust III (dot),Fall Malefic,Lord of Crowns,Oracle,Stellar Explosion (pet)
1310,4500,Combust III (dot),9994.0,0,9994,0,0,0,0
3620,4690,Fall Malefic,36032.0,0,9994,36032,0,0,0
4500,5032,Auto,0.0,0,9994,36032,0,0,0
5960,7030,Fall Malefic,38194.0,0,9994,74226,0,0,0
1310,7500,Combust III (dot),9994.0,0,19988,74226,0,0,0
7200,7820,Lord of Crowns,56645.0,0,19988,74226,56645,0,0
8000,8000,Stellar Explosion (pet),42193.0,0,19988,74226,56645,0,42193
7700,8232,Auto,0.0,0,19988,74226,56645,0,42193
8270,9340,Fall Malefic,38194.0,0,19988,112420,56645,0,42193
1310,10500,Combust III (dot),9994.0,0,29982,112420,56645,0,42193
10900,11432,Auto,0.0,0,29982,112420,56645,0,42193
10580,11650,Fall Malefic,38194.0,0,29982,150614,56645,0,42193
11200,12940,Oracle,121736.0,0,29982,150614,56645,121736,42193
1310,13500,Combust III (dot),9994.0,0,39976,150614,56645,121736,42193
12890,13960,Fall Malefic,38194.0,0,39976,188808,56645,121736,42193
14100,14632,Auto,0.0,0,39976,188808,56645,121736,42193
1310,16500,Combust III (dot),9994.0,0,49970,188808,56645,121736,42193
16090,17160,Fall Malefic,38194.0,0,49970,227002,56645,121736,42193
17300,17832,Auto,0.0,0,49970,227002,56645,121736,42193
18400,19470,Fall Malefic,38194.0,0,49970,265196,56645,121736,42193
1310,19500,Combust III (dot),9994.0,0,59964,265196,56645,121736,42193
21210,21742,Auto,0.0,0,59964,265196,56645,121736,42193
20710,21780,Fall Malefic,38194.0,0,59964,303390,56645,121736,42193
1310,22500,Combust III (dot),9994.0,0,69958,303390,56645,121736,42193
23020,24090,Fall Malefic,38194.0,0,69958,341584,56645,121736,42193
24410,24942,Auto,0.0,0,69958,341584,56645,121736,42193
24440,25500,Combust III (dot),10593.0,0,80551,341584,56645,121736,42193
26750,27820,Fall Malefic,36032.0,0,80551,377616,56645,121736,42193
27610,28142,Auto,0.0,0,80551,377616,56645,121736,42193
24440,28500,Combust III (dot),10593.0,0,91144,377616,56645,121736,42193
