sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Air Anchor,Arm Punch (pet),Blazing Shot,Chain Saw,Checkmate,Crowned Collider (pet),Double Check,Drill,Excavator,Full Metal Field,Heated Clean Shot,Heated Slug Shot,Heated Split Shot,Pile Bunker (pet),Roller Dash (pet),Shot,Wildfire (dot)
-1000,150,Air Anchor,152217.0,152217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-380,330,Checkmate,24091.0,152217,0,0,0,24091,0,0,0,0,0,0,0,0,0,0,0,0
150,908,Shot,7847.0,152217,0,0,0,24091,0,0,0,0,0,0,0,0,0,0,7847,0
240,950,Double Check,24091.0,152217,0,0,0,24091,0,24091,0,0,0,0,0,0,0,0,7847,0
1501,2651,Drill,88349.0,152217,0,0,0,24091,0,24091,88349,0,0,0,0,0,0,0,7847,0
2790,3548,Shot,7847.0,152217,0,0,0,24091,0,24091,88349,0,0,0,0,0,0,0,15694,0
4001,5031,Chain Saw,88349.0,152217,0,0,88349,24091,0,24091,88349,0,0,0,0,0,0,0,15694,0
5430,6188,Shot,7847.0,152217,0,0,88349,24091,0,24091,88349,0,0,0,0,0,0,0,23541,0
6502,7572,Excavator,93649.0,152217,0,0,88349,24091,0,24091,88349,93649,0,0,0,0,0,0,23541,0
8070,8828,Shot,8317.0,152217,0,0,88349,24091,0,24091,88349,93649,0,0,0,0,0,0,31858,0
9002,10152,Drill,161349.0,152217,0,0,88349,24091,0,24091,249698,93649,0,0,0,0,0,0,31858,0
9622,10332,Checkmate,25536.0,152217,0,0,88349,49627,0,24091,249698,93649,0,0,0,0,0,0,31858,0
10710,11468,Shot,8317.0,152217,0,0,88349,49627,0,24091,249698,93649,0,0,0,0,0,0,40175,0
11503,12533,Full Metal Field,220027.0,152217,0,0,88349,49627,0,24091,249698,93649,220027,0,0,0,0,0,40175,0
12622,12622,Roller Dash (pet),37502.0,152217,0,0,88349,49627,0,24091,249698,93649,220027,0,0,0,0,37502,40175,0
12123,12833,Double Check,25536.0,152217,0,0,88349,49627,0,49627,249698,93649,220027,0,0,0,0,37502,40175,0
13350,14108,Shot,8317.0,152217,0,0,88349,49627,0,49627,249698,93649,220027,0,0,0,0,37502,48492,0
14003,14853,Blazing Shot,36890.0,152217,0,36890,88349,49627,0,49627,249698,93649,220027,0,0,0,0,37502,48492,0
14623,15333,Checkmate,25536.0,152217,0,36890,88349,75163,0,49627,249698,93649,220027,0,0,0,0,37502,48492,0
15822,15822,Arm Punch (pet),18748.0,152217,18748,36890,88349,75163,0,49627,249698,93649,220027,0,0,0,0,37502,48492,0
15504,16354,Blazing Shot,36890.0,152217,18748,73780,88349,75163,0,49627,249698,93649,220027,0,0,0,0,37502,48492,0
15990,16748,Shot,8317.0,152217,18748,73780,88349,75163,0,49627,249698,93649,220027,0,0,0,0,37502,56809,0
16123,16833,Double Check,25536.0,152217,18748,73780,88349,75163,0,75163,249698,93649,220027,0,0,0,0,37502,56809,0
17422,17422,Arm Punch (pet),18748.0,152217,37496,73780,88349,75163,0,75163,249698,93649,220027,0,0,0,0,37502,56809,0
17004,17854,Blazing Shot,36890.0,152217,37496,110670,88349,75163,0,75163,249698,93649,220027,0,0,0,0,37502,56809,0
17624,18334,Checkmate,25536.0,152217,37496,110670,88349,100699,0,75163,249698,93649,220027,0,0,0,0,37502,56809,0
19022,19022,Arm Punch (pet),18748.0,152217,56244,110670,88349,100699,0,75163,249698,93649,220027,0,0,0,0,37502,56809,0
18505,19355,Blazing Shot,36890.0,152217,56244,147560,88349,100699,0,75163,249698,93649,220027,0,0,0,0,37502,56809,0
18630,19388,Shot,8317.0,152217,56244,147560,88349,100699,0,75163,249698,93649,220027,0,0,0,0,37502,65126,0
19125,19835,Double Check,25536.0,152217,56244,147560,88349,100699,0,100699,249698,93649,220027,0,0,0,0,37502,65126,0
20622,20622,Pile Bunker (pet),53128.0,152217,56244,147560,88349,100699,0,100699,249698,93649,220027,0,0,0,53128,37502,65126,0
20005,20855,Blazing Shot,36890.0,152217,56244,184450,88349,100699,0,100699,249698,93649,220027,0,0,0,53128,37502,65126,0
10242,20912,Wildfire (dot),160296.0,152217,56244,184450,88349,100699,0,100699,249698,93649,220027,0,0,0,53128,37502,65126,160296
20625,21335,Checkmate,25536.0,152217,56244,184450,88349,126235,0,100699,249698,93649,220027,0,0,0,53128,37502,65126,160296
21270,22028,Shot,8317.0,152217,56244,184450,88349,126235,0,100699,249698,93649,220027,0,0,0,53128,37502,73443,160296
22622,22622,Crowned Collider (pet),60943.0,152217,56244,184450,88349,126235,60943,100699,249698,93649,220027,0,0,0,53128,37502,73443,160296
21506,22656,Drill,93649.0,152217,56244,184450,88349,126235,60943,100699,343347,93649,220027,0,0,0,53128,37502,73443,160296
22126,22836,Double Check,25536.0,152217,56244,184450,88349,126235,60943,126235,343347,93649,220027,0,0,0,53128,37502,73443,160296
22746,23456,Checkmate,25536.0,152217,56244,184450,88349,151771,60943,126235,343347,93649,220027,0,0,0,53128,37502,73443,160296
23910,24668,Shot,8317.0,152217,56244,184450,88349,151771,60943,126235,343347,93649,220027,0,0,0,53128,37502,81760,160296
24006,24806,Heated Split Shot,31210.0,152217,56244,184450,88349,151771,60943,126235,343347,93649,220027,0,0,31210,53128,37502,81760,160296
24626,25336,Double Check,25536.0,152217,56244,184450,88349,151771,60943,151771,343347,93649,220027,0,0,31210,53128,37502,81760,160296
26507,27307,Heated Slug Shot,42833.0,152217,56244,184450,88349,151771,60943,151771,343347,93649,220027,0,42833,31210,53128,37502,81760,160296
26550,27308,Shot,7847.0,152217,56244,184450,88349,151771,60943,151771,343347,93649,220027,0,42833,31210,53128,37502,89607,160296
29007,29807,Heated Clean Shot,51946.0,152217,56244,184450,88349,151771,60943,151771,343347,93649,220027,51946,42833,31210,53128,37502,89607,160296
29190,29948,Shot,7251.0,152217,56244,184450,88349,151771,60943,151771,343347,93649,220027,51946,42833,31210,53128,37502,96858,160296
31508,32308,Heated Split Shot,27207.0,152217,56244,184450,88349,151771,60943,151771,343347,93649,220027,51946,42833,58417,53128,37502,96858,160296
31830,32588,Shot,7251.0,152217,56244,184450,88349,151771,60943,151771,343347,93649,220027,51946,42833,58417,53128,37502,104109,160296
34008,34808,Heated Slug Shot,39574.0,152217,56244,184450,88349,151771,60943,151771,343347,93649,220027,51946,82407,58417,53128,37502,104109,160296
34470,35228,Shot,7251.0,152217,56244,184450,88349,151771,60943,151771,343347,93649,220027,51946,82407,58417,53128,37502,111360,160296
36509,37309,Heated Clean Shot,51946.0,152217,56244,184450,88349,151771,60943,151771,343347,93649,220027,103892,82407,58417,53128,37502,111360,160296
37110,37868,Shot,7251.0,152217,56244,184450,88349,151771,60943,151771,343347,93649,220027,103892,82407,58417,53128,37502,118611,160296
39009,40159,Air Anchor,81629.0,233846,56244,184450,88349,151771,60943,151771,343347,93649,220027,103892,82407,58417,53128,37502,118611,160296
39750,40508,Shot,7251.0,233846,56244,184450,88349,151771,60943,151771,343347,93649,220027,103892,82407,58417,53128,37502,125862,160296
41510,42310,Heated Split Shot,27207.0,233846,56244,184450,88349,151771,60943,151771,343347,93649,220027,103892,82407,85624,53128,37502,125862,160296
42390,43148,Shot,7251.0,233846,56244,184450,88349,151771,60943,151771,343347,93649,220027,103892,82407,85624,53128,37502,133113,160296
44010,44810,Heated Slug Shot,39574.0,233846,56244,184450,88349,151771,60943,151771,343347,93649,220027,103892,121981,85624,53128,37502,133113,160296
45030,45788,Shot,7251.0,233846,56244,184450,88349,151771,60943,151771,343347,93649,220027,103892,121981,85624,53128,37502,140364,160296
46511,47311,Heated Clean Shot,51946.0,233846,56244,184450,88349,151771,60943,151771,343347,93649,220027,155838,121981,85624,53128,37502,140364,160296
47131,47841,Checkmate,22256.0,233846,56244,184450,88349,174027,60943,151771,343347,93649,220027,155838,121981,85624,53128,37502,140364,160296
47670,48428,Shot,7251.0,233846,56244,184450,88349,174027,60943,151771,343347,93649,220027,155838,121981,85624,53128,37502,147615,160296
47751,48461,Double Check,22256.0,233846,56244,184450,88349,174027,60943,174027,343347,93649,220027,155838,121981,85624,53128,37502,147615,160296
49011,50161,Drill,81629.0,233846,56244,184450,88349,174027,60943,174027,424976,93649,220027,155838,121981,85624,53128,37502,147615,160296
50310,51068,Shot,7251.0,233846,56244,184450,88349,174027,60943,174027,424976,93649,220027,155838,121981,85624,53128,37502,154866,160296
51512,52312,Heated Split Shot,27207.0,233846,56244,184450,88349,174027,60943,174027,424976,93649,220027,155838,121981,112831,53128,37502,154866,160296
52950,53708,Shot,7251.0,233846,56244,184450,88349,174027,60943,174027,424976,93649,220027,155838,121981,112831,53128,37502,162117,160296
54012,54862,Blazing Shot,32154.0,233846,56244,216604,88349,174027,60943,174027,424976,93649,220027,155838,121981,112831,53128,37502,162117,160296
55131,55131,Roller Dash (pet),27114.0,233846,56244,216604,88349,174027,60943,174027,424976,93649,220027,155838,121981,112831,53128,64616,162117,160296
55590,56348,Shot,7251.0,233846,56244,216604,88349,174027,60943,174027,424976,93649,220027,155838,121981,112831,53128,64616,169368,160296
55513,56363,Blazing Shot,32154.0,233846,56244,248758,88349,174027,60943,174027,424976,93649,220027,155838,121981,112831,53128,64616,169368,160296
57013,57863,Blazing Shot,32154.0,233846,56244,280912,88349,174027,60943,174027,424976,93649,220027,155838,121981,112831,53128,64616,169368,160296
58331,58331,Arm Punch (pet),13555.0,233846,69799,280912,88349,174027,60943,174027,424976,93649,220027,155838,121981,112831,53128,64616,169368,160296
58230,58988,Shot,7251.0,233846,69799,280912,88349,174027,60943,174027,424976,93649,220027,155838,121981,112831,53128,64616,176619,160296
58514,59364,Blazing Shot,32154.0,233846,69799,313066,88349,174027,60943,174027,424976,93649,220027,155838,121981,112831,53128,64616,176619,160296
59134,59844,Double Check,22256.0,233846,69799,313066,88349,174027,60943,196283,424976,93649,220027,155838,121981,112831,53128,64616,176619,160296
59931,59931,Arm Punch (pet),13555.0,233846,83354,313066,88349,174027,60943,196283,424976,93649,220027,155838,121981,112831,53128,64616,176619,160296
60014,60864,Blazing Shot,32154.0,233846,83354,345220,88349,174027,60943,196283,424976,93649,220027,155838,121981,112831,53128,64616,176619,160296
60634,61344,Checkmate,22256.0,233846,83354,345220,88349,196283,60943,196283,424976,93649,220027,155838,121981,112831,53128,64616,176619,160296
61531,61531,Arm Punch (pet),13555.0,233846,96909,345220,88349,196283,60943,196283,424976,93649,220027,155838,121981,112831,53128,64616,176619,160296
60870,61628,Shot,7251.0,233846,96909,345220,88349,196283,60943,196283,424976,93649,220027,155838,121981,112831,53128,64616,183870,160296
61515,62315,Heated Slug Shot,39574.0,233846,96909,345220,88349,196283,60943,196283,424976,93649,220027,155838,161555,112831,53128,64616,183870,160296
62135,62845,Checkmate,22256.0,233846,96909,345220,88349,218539,60943,196283,424976,93649,220027,155838,161555,112831,53128,64616,183870,160296
63131,63131,Pile Bunker (pet),38417.0,233846,96909,345220,88349,218539,60943,196283,424976,93649,220027,155838,161555,112831,91545,64616,183870,160296
62755,63465,Double Check,22256.0,233846,96909,345220,88349,218539,60943,218539,424976,93649,220027,155838,161555,112831,91545,64616,183870,160296
63510,64268,Shot,7251.0,233846,96909,345220,88349,218539,60943,218539,424976,93649,220027,155838,161555,112831,91545,64616,191121,160296
64015,65045,Chain Saw,81629.0,233846,96909,345220,169978,218539,60943,218539,424976,93649,220027,155838,161555,112831,91545,64616,191121,160296
65131,65131,Crowned Collider (pet),44069.0,233846,96909,345220,169978,218539,105012,218539,424976,93649,220027,155838,161555,112831,91545,64616,191121,160296
66150,66908,Shot,7251.0,233846,96909,345220,169978,218539,105012,218539,424976,93649,220027,155838,161555,112831,91545,64616,198372,160296
66516,67586,Excavator,140638.0,233846,96909,345220,169978,218539,105012,218539,424976,234287,220027,155838,161555,112831,91545,64616,198372,160296
68790,69548,Shot,7251.0,233846,96909,345220,169978,218539,105012,218539,424976,234287,220027,155838,161555,112831,91545,64616,205623,160296
69016,69816,Heated Clean Shot,51946.0,233846,96909,345220,169978,218539,105012,218539,424976,234287,220027,207784,161555,112831,91545,64616,205623,160296
71430,72188,Shot,7251.0,233846,96909,345220,169978,218539,105012,218539,424976,234287,220027,207784,161555,112831,91545,64616,212874,160296
71517,72317,Heated Split Shot,27207.0,233846,96909,345220,169978,218539,105012,218539,424976,234287,220027,207784,161555,140038,91545,64616,212874,160296
74017,74817,Heated Slug Shot,39574.0,233846,96909,345220,169978,218539,105012,218539,424976,234287,220027,207784,201129,140038,91545,64616,212874,160296
74070,74828,Shot,7251.0,233846,96909,345220,169978,218539,105012,218539,424976,234287,220027,207784,201129,140038,91545,64616,220125,160296
76710,77468,Shot,7251.0,233846,96909,345220,169978,218539,105012,218539,424976,234287,220027,207784,201129,140038,91545,64616,227376,160296
76518,77668,Drill,81629.0,233846,96909,345220,169978,218539,105012,218539,506605,234287,220027,207784,201129,140038,91545,64616,227376,160296
79350,80108,Shot,7251.0,233846,96909,345220,169978,218539,105012,218539,506605,234287,220027,207784,201129,140038,91545,64616,234627,160296
80137,80137,Roller Dash (pet),27114.0,233846,96909,345220,169978,218539,105012,218539,506605,234287,220027,207784,201129,140038,91545,91730,234627,160296
79018,80168,Air Anchor,81629.0,315475,96909,345220,169978,218539,105012,218539,506605,234287,220027,207784,201129,140038,91545,91730,234627,160296
81519,82319,Heated Clean Shot,51946.0,315475,96909,345220,169978,218539,105012,218539,506605,234287,220027,259730,201129,140038,91545,91730,234627,160296
81990,82748,Shot,7251.0,315475,96909,345220,169978,218539,105012,218539,506605,234287,220027,259730,201129,140038,91545,91730,241878,160296
83337,83337,Arm Punch (pet),13555.0,315475,110464,345220,169978,218539,105012,218539,506605,234287,220027,259730,201129,140038,91545,91730,241878,160296
84019,84819,Heated Split Shot,27207.0,315475,110464,345220,169978,218539,105012,218539,506605,234287,220027,259730,201129,167245,91545,91730,241878,160296
84937,84937,Arm Punch (pet),13555.0,315475,124019,345220,169978,218539,105012,218539,506605,234287,220027,259730,201129,167245,91545,91730,241878,160296
84630,85388,Shot,7251.0,315475,124019,345220,169978,218539,105012,218539,506605,234287,220027,259730,201129,167245,91545,91730,249129,160296
86537,86537,Arm Punch (pet),13555.0,315475,137574,345220,169978,218539,105012,218539,506605,234287,220027,259730,201129,167245,91545,91730,249129,160296
86520,87320,Heated Slug Shot,39574.0,315475,137574,345220,169978,218539,105012,218539,506605,234287,220027,259730,240703,167245,91545,91730,249129,160296
87270,88028,Shot,7251.0,315475,137574,345220,169978,218539,105012,218539,506605,234287,220027,259730,240703,167245,91545,91730,256380,160296
88137,88137,Pile Bunker (pet),38417.0,315475,137574,345220,169978,218539,105012,218539,506605,234287,220027,259730,240703,167245,129962,91730,256380,160296
89020,89820,Heated Clean Shot,51946.0,315475,137574,345220,169978,218539,105012,218539,506605,234287,220027,311676,240703,167245,129962,91730,256380,160296
90137,90137,Crowned Collider (pet),44069.0,315475,137574,345220,169978,218539,149081,218539,506605,234287,220027,311676,240703,167245,129962,91730,256380,160296
89910,90668,Shot,7251.0,315475,137574,345220,169978,218539,149081,218539,506605,234287,220027,311676,240703,167245,129962,91730,263631,160296
91521,92321,Heated Split Shot,27207.0,315475,137574,345220,169978,218539,149081,218539,506605,234287,220027,311676,240703,194452,129962,91730,263631,160296
92550,93308,Shot,7251.0,315475,137574,345220,169978,218539,149081,218539,506605,234287,220027,311676,240703,194452,129962,91730,270882,160296
94021,94821,Heated Slug Shot,39574.0,315475,137574,345220,169978,218539,149081,218539,506605,234287,220027,311676,280277,194452,129962,91730,270882,160296
94641,95351,Double Check,22256.0,315475,137574,345220,169978,218539,149081,240795,506605,234287,220027,311676,280277,194452,129962,91730,270882,160296
95190,95948,Shot,7251.0,315475,137574,345220,169978,218539,149081,240795,506605,234287,220027,311676,280277,194452,129962,91730,278133,160296
