sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,907,32913.755,310.03,39777.13,380.783,232678,29852776,285778
Blazing Shot,105,33851.133,36.376,4735.995,122.751,27300,3554369,92125
Drill,39,88461.077,34.297,4596.905,176.329,25740,3449982,132335
Heated Clean Shot,48,52010.917,26.862,3326.477,127.324,20160,2496524,95557
Shot,284,7406.261,30.273,2802.632,44.139,22720,2103378,33126
Heated Slug Shot,49,39737.408,20.893,2594.444,98.297,15680,1947133,73772
Double Check,80,23292.1,19.187,2482.832,73.717,14400,1863368,55325
Checkmate,79,23328.443,18.947,2455.622,73.368,14220,1842947,55063
Excavator,13,133727.769,11.432,2316.401,55.535,8580,1738461,41679
Air Anchor,19,86051.526,16.709,2178.517,123.664,12540,1634979,92810
Full Metal Field,7,210463.0,8.394,1963.01,21.435,6300,1473241,16087
Heated Split Shot,50,27287.06,14.657,1817.923,68.19,11000,1364353,51177
Crowned Collider (pet),19,64593.947,13.823,1635.288,104.462,10374,1227285,78399
Chain Saw,13,88092.692,11.432,1525.921,101.498,8580,1145205,76174
Arm Punch (pet),57,19870.316,12.759,1509.136,55.659,9576,1132608,41772
Wildfire (dot),7,153329.714,13.431,1430.122,15.616,10080,1073308,11720
Pile Bunker (pet),19,56310.632,12.051,1425.584,91.067,9044,1069902,68346
Roller Dash (pet),19,38722.789,8.506,980.322,62.13,6384,735733,46629
