sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Afflatus Misery,Assize,Auto,Dia,Dia (dot),Glare III,Glare IV
-170,1120,Dia,10969.0,0,0,0,10969,0,0,0
-170,1500,Dia (dot),11244.0,0,0,0,10969,11244,0,0
1120,1652,Auto,0.0,0,0,0,10969,11244,0,0
-170,4500,Dia (dot),11244.0,0,0,0,10969,22488,0,0
3220,4510,Glare III,49122.0,0,0,0,10969,22488,49122,0
4560,5092,Auto,0.0,0,0,0,10969,22488,49122,0
5650,6940,Glare III,49122.0,0,0,0,10969,22488,98244,0
-170,7500,Dia (dot),11244.0,0,0,0,10969,33732,98244,0
8280,8812,Auto,0.0,0,0,0,10969,33732,98244,0
8389,9059,Assize,59509.0,0,59509,0,10969,33732,98244,0
7780,9070,Glare III,52069.0,0,59509,0,10969,33732,150313,0
9060,9640,Afflatus Misery,208286.0,208286,59509,0,10969,33732,150313,0
-170,10500,Dia (dot),11244.0,208286,59509,0,10969,44976,150313,0
11030,11562,Auto,0.0,208286,59509,0,10969,44976,150313,0
11000,11850,Glare IV,95201.0,208286,59509,0,10969,44976,150313,95201
-170,13500,Dia (dot),11244.0,208286,59509,0,10969,56220,150313,95201
12940,13790,Glare IV,95201.0,208286,59509,0,10969,56220,150313,190402
13780,14312,Auto,0.0,208286,59509,0,10969,56220,150313,190402
14881,15731,Glare IV,95201.0,208286,59509,0,10969,56220,150313,285603
-170,16500,Dia (dot),11244.0,208286,59509,0,10969,67464,150313,285603
16530,17062,Auto,0.0,208286,59509,0,10969,67464,150313,285603
17481,18771,Glare III,52069.0,208286,59509,0,10969,67464,202382,285603
-170,19500,Dia (dot),11244.0,208286,59509,0,10969,78708,202382,285603
19921,20453,Auto,0.0,208286,59509,0,10969,78708,202382,285603
19421,20711,Glare III,52069.0,208286,59509,0,10969,78708,254451,285603
-170,22500,Dia (dot),11244.0,208286,59509,0,10969,89952,254451,285603
21361,22651,Glare III,52069.0,208286,59509,0,10969,89952,306520,285603
24101,24633,Auto,0.0,208286,59509,0,10969,89952,306520,285603
23601,24891,Glare III,52069.0,208286,59509,0,10969,89952,358589,285603
-170,25500,Dia (dot),11244.0,208286,59509,0,10969,101196,358589,285603
25071,26361,Dia,12585.0,208286,59509,0,23554,101196,358589,285603
25071,28500,Dia (dot),12902.0,208286,59509,0,23554,114098,358589,285603
28961,29493,Auto,0.0,208286,59509,0,23554,114098,358589,285603
28461,29751,Glare III,49122.0,208286,59509,0,23554,114098,407711,285603
25071,31500,Dia (dot),12902.0,208286,59509,0,23554,127000,407711,285603
32401,32933,Auto,0.0,208286,59509,0,23554,127000,407711,285603
25071,34500,Dia (dot),12902.0,208286,59509,0,23554,139902,407711,285603
35841,36373,Auto,0.0,208286,59509,0,23554,139902,407711,285603
25071,37500,Dia (dot),12902.0,208286,59509,0,23554,152804,407711,285603
37221,37801,Afflatus Misery,181530.0,389816,59509,0,23554,152804,407711,285603
39281,39813,Auto,0.0,389816,59509,0,23554,152804,407711,285603
25071,40500,Dia (dot),12902.0,389816,59509,0,23554,165706,407711,285603
40611,41901,Glare III,45381.0,389816,59509,0,23554,165706,453092,285603
25071,43500,Dia (dot),12902.0,389816,59509,0,23554,178608,453092,285603
43541,44073,Auto,0.0,389816,59509,0,23554,178608,453092,285603
43041,44331,Glare III,45381.0,389816,59509,0,23554,178608,498473,285603
