sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,607,39653.231,231.841,43221.314,416.379,173990,32436343,312480
Fire IV,156,81607.923,62.361,16963.795,247.577,46800,12730836,185799
Xenoglossy,31,139928.968,36.764,5780.101,206.602,27590,4337798,155049
Flare Star,26,136473.0,17.322,4728.095,171.219,13000,3548298,128495
Paradox,44,80578.682,31.66,4724.316,126.823,23760,3545462,95177
Thunder (dot),243,10243.379,19.428,3316.772,39.333,14580,2489141,29518
Despair,26,94767.923,12.126,3283.226,118.086,9100,2463966,88620
Fire III,20,59126.15,7.728,1575.708,62.918,5800,1182523,47218
Blizzard IV,18,44387.0,7.195,1064.619,44.088,5400,798966,33087
Blizzard III,18,42893.0,6.956,1028.786,42.603,5220,772074,31972
High Thunder,25,22691.16,4.997,755.897,27.974,3750,567279,20994
