sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,591,35763.591,246.221,28024.771,222.774,185700,21136282,168016
Fell Cleave,71,75042.197,54.601,7064.434,103.577,41180,5327996,78118
Inner Chaos,22,114724.591,20.419,3346.514,20.627,15400,2523941,15557
Auto,225,9114.147,26.85,2719.018,47.014,20250,2050683,35458
Maim,61,30397.311,27.499,2458.547,81.302,20740,1854236,61318
Storm's Path,40,44715.6,26.518,2371.551,96.759,20000,1788624,72976
Primal Ruination,13,129351.538,13.789,2229.608,17.879,10400,1681570,13484
Primal Rend,13,116406.846,12.411,2006.482,16.091,9360,1513289,12136
Heavy Swing,61,21434.098,19.411,1733.599,57.304,14640,1307480,43219
Storm's Eye,21,44568.19,13.922,1240.96,69.936,10500,935932,52746
Upheaval,24,38340.583,13.365,1220.066,64.787,10080,920174,48862
Primal Wrath,13,65297.385,12.066,1125.518,81.718,9100,848866,61632
Onslaught,27,14203.37,5.37,508.474,25.735,4050,383491,19409
