sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Atonement,Auto,Blade of Faith,Blade of Honor,Blade of Truth,Blade of Valor,Circle of Scorn,Circle of Scorn (dot),Confiteor,Expiacion,Fast Blade,Goring Blade,Holy Spirit,Imperator,Intervene,Riot Blade,Royal Authority,Sepulchre,Supplication
-500,258,Holy Spirit,31913.0,0,0,0,0,0,0,0,0,0,0,0,0,31913,0,0,0,0,0,0
258,790,Auto,5328.0,0,5328,0,0,0,0,0,0,0,0,0,0,31913,0,0,0,0,0,0
1000,1623,Fast Blade,17548.0,0,5328,0,0,0,0,0,0,0,0,17548,0,31913,0,0,0,0,0,0
2498,3030,Auto,5328.0,0,10656,0,0,0,0,0,0,0,0,17548,0,31913,0,0,0,0,0,0
3500,4258,Riot Blade,26327.0,0,10656,0,0,0,0,0,0,0,0,17548,0,31913,0,0,26327,0,0,0
4738,5270,Auto,5328.0,0,15984,0,0,0,0,0,0,0,0,17548,0,31913,0,0,26327,0,0,0
6000,6578,Royal Authority,39718.0,0,15984,0,0,0,0,0,0,0,0,17548,0,31913,0,0,26327,39718,0,0
6978,7510,Auto,6075.0,0,22059,0,0,0,0,0,0,0,0,17548,0,31913,0,0,26327,39718,0,0
7250,8540,Imperator,65949.0,0,22059,0,0,0,0,0,0,0,0,17548,0,31913,65949,0,26327,39718,0,0
8500,9034,Goring Blade,79593.0,0,22059,0,0,0,0,0,0,0,0,17548,79593,31913,65949,0,26327,39718,0,0
9218,9750,Auto,7594.0,0,29653,0,0,0,0,0,0,0,0,17548,79593,31913,65949,0,26327,39718,0,0
9125,10148,Circle of Scorn,15909.0,0,29653,0,0,0,0,15909,0,0,0,17548,79593,31913,65949,0,26327,39718,0,0
9125,10500,Circle of Scorn (dot),3405.0,0,29653,0,0,0,0,15909,3405,0,0,17548,79593,31913,65949,0,26327,39718,0,0
11000,11758,Holy Spirit,56851.0,0,29653,0,0,0,0,15909,3405,0,0,17548,79593,88764,65949,0,26327,39718,0,0
11625,11982,Expiacion,51161.0,0,29653,0,0,0,0,15909,3405,0,51161,17548,79593,88764,65949,0,26327,39718,0,0
11458,11990,Auto,7594.0,0,37247,0,0,0,0,15909,3405,0,51161,17548,79593,88764,65949,0,26327,39718,0,0
9125,13500,Circle of Scorn (dot),3405.0,0,37247,0,0,0,0,15909,6810,0,51161,17548,79593,88764,65949,0,26327,39718,0,0
13500,14123,Confiteor,113708.0,0,37247,0,0,0,0,15909,6810,113708,51161,17548,79593,88764,65949,0,26327,39718,0,0
13698,14230,Auto,7594.0,0,44841,0,0,0,0,15909,6810,113708,51161,17548,79593,88764,65949,0,26327,39718,0,0
14125,14703,Intervene,17050.0,0,44841,0,0,0,0,15909,6810,113708,51161,17548,79593,88764,65949,17050,26327,39718,0,0
15938,16470,Auto,7594.0,0,52435,0,0,0,0,15909,6810,113708,51161,17548,79593,88764,65949,17050,26327,39718,0,0
9125,16500,Circle of Scorn (dot),3405.0,0,52435,0,0,0,0,15909,10215,113708,51161,17548,79593,88764,65949,17050,26327,39718,0,0
16000,16666,Blade of Faith,86417.0,0,52435,86417,0,0,0,15909,10215,113708,51161,17548,79593,88764,65949,17050,26327,39718,0,0
18178,18710,Auto,7594.0,0,60029,86417,0,0,0,15909,10215,113708,51161,17548,79593,88764,65949,17050,26327,39718,0,0
18500,19391,Blade of Truth,100061.0,0,60029,86417,0,100061,0,15909,10215,113708,51161,17548,79593,88764,65949,17050,26327,39718,0,0
9125,19500,Circle of Scorn (dot),3405.0,0,60029,86417,0,100061,0,15909,13620,113708,51161,17548,79593,88764,65949,17050,26327,39718,0,0
19125,19703,Intervene,17050.0,0,60029,86417,0,100061,0,15909,13620,113708,51161,17548,79593,88764,65949,34100,26327,39718,0,0
20418,20950,Auto,7594.0,0,67623,86417,0,100061,0,15909,13620,113708,51161,17548,79593,88764,65949,34100,26327,39718,0,0
21000,21891,Blade of Valor,113708.0,0,67623,86417,0,100061,113708,15909,13620,113708,51161,17548,79593,88764,65949,34100,26327,39718,0,0
9125,22500,Circle of Scorn (dot),3405.0,0,67623,86417,0,100061,113708,15909,17025,113708,51161,17548,79593,88764,65949,34100,26327,39718,0,0
21625,22785,Blade of Honor,113708.0,0,67623,86417,113708,100061,113708,15909,17025,113708,51161,17548,79593,88764,65949,34100,26327,39718,0,0
22658,23190,Auto,7594.0,0,75217,86417,113708,100061,113708,15909,17025,113708,51161,17548,79593,88764,65949,34100,26327,39718,0,0
23500,24793,Atonement,52302.0,52302,75217,86417,113708,100061,113708,15909,17025,113708,51161,17548,79593,88764,65949,34100,26327,39718,0,0
24898,25430,Auto,7594.0,52302,82811,86417,113708,100061,113708,15909,17025,113708,51161,17548,79593,88764,65949,34100,26327,39718,0,0
26000,27160,Supplication,56851.0,52302,82811,86417,113708,100061,113708,15909,17025,113708,51161,17548,79593,88764,65949,34100,26327,39718,0,56851
27138,27670,Auto,7208.0,52302,90019,86417,113708,100061,113708,15909,17025,113708,51161,17548,79593,88764,65949,34100,26327,39718,0,56851
28500,29790,Sepulchre,46625.0,52302,90019,86417,113708,100061,113708,15909,17025,113708,51161,17548,79593,88764,65949,34100,26327,39718,46625,56851
29378,29910,Auto,5767.0,52302,95786,86417,113708,100061,113708,15909,17025,113708,51161,17548,79593,88764,65949,34100,26327,39718,46625,56851
