sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,1267.5173,14167.058,432.077,33209.874,577.192,325510,25019024,434834
Burst Shot,184.6388,28787.167,53.918,7055.353,169.125,40620,5315228,127412
Refulgent Arrow,91.7107,40722.358,34.085,4957.352,231.865,25678,3734676,174678
Shot,248.0,9352.065,26.335,3078.62,52.969,19840,2319312,39905
Heartbreak Shot,89.97829999999999,25600.706,21.498,3057.642,118.595,16196,2303508,89345
Pitch Perfect,32.538999999999994,54521.928,14.328,2354.899,201.715,10794,1774089,151964
Empyreal Arrow,49.0,36078.959,16.911,2346.643,90.934,12740,1767869,68506
Radiant Encore,7.0,207959.0,9.69,1932.291,196.18,7300,1455713,147794
Apex Arrow,12.0,110818.083,10.853,1765.179,321.478,8176,1329817,242189
Blast Arrow,11.6505,114044.805,10.825,1763.668,142.066,8155,1328679,107027
Stormbite (dot),251.0,3651.88,8.329,1216.71,20.902,6275,916622,15747
Resonant Arrow,7.0,127699.857,5.947,1186.548,119.443,4480,893899,89984
Sidewinder,13.0,65976.692,6.902,1138.494,86.046,5200,857697,64824
Caustic Bite (dot),250.0,2923.1,6.637,970.02,16.704,5000,730775,12584
Iron Jaws,18.0,14450.722,2.389,345.27,22.133,1800,260113,16674
Caustic Bite,1.0,18696.0,0.199,24.817,6.61,150,18696,4980
Stormbite,1.0,12331.0,0.133,16.368,4.322,100,12331,3256
