sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,844,27455.879,313.47,30737.876,395.648,236320,23172762,298272
Auto,269,7813.204,32.114,2787.902,45.569,24210,2101752,34354
Blasting Zone,25,79653.56,26.529,2641.443,142.421,20000,1991339,107369
Solid Barrel,43,37061.535,26.237,2113.917,83.697,19780,1593646,63098
Double Down,13,117216.077,17.244,2021.28,149.861,13000,1523809,112978
Lion Heart,13,117195.538,17.244,2020.926,149.899,13000,1523542,113006
Wicked Talon,26,55827.808,19.313,1925.396,101.453,14560,1451523,76484
Noble Blood,13,105472.692,15.52,1818.777,134.904,11700,1371145,101702
Brutal Shell,43,30556.256,21.674,1742.869,68.997,16340,1313919,52016
Savage Claw,26,49826.769,17.244,1718.431,90.578,13000,1295496,68285
Reign of Beasts,13,93771.615,13.795,1617.003,119.886,10400,1219031,90380
Gnashing Fang,26,43841.808,15.175,1512.021,79.698,11440,1139887,60083
Keen Edge,43,24116.372,17.111,1375.55,54.455,12900,1037004,41053
Burst Strike,30,33974.733,16.713,1351.99,63.99,12600,1019242,48241
Sonic Break (dot),62,13905.065,9.869,1143.565,38.879,7440,862114,29310
Eye Gouge,26,30991.577,10.346,1068.841,56.017,7800,805781,42230
Abdomen Tear,26,27466.731,8.967,947.276,50.021,6760,714135,37710
Jugular Rip,26,21919.731,7.587,755.97,39.847,5720,569913,30040
Sonic Break,13,39809.769,5.863,686.482,51.007,4420,517527,38453
Bow Shock (dot),65,7027.308,5.173,605.896,20.088,3900,456775,15144
Hypervelocity,30,14556.7,7.163,579.269,27.417,5400,436701,20669
Bow Shock,13,17575.462,2.587,303.072,22.469,1950,228481,16939
