sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Chaotic Spring,Chaotic Spring (dot),Dragonfire Dive,Drakesbane,Fang and Claw,Geirskogul,Heavens' Thrust,High Jump,Lance Barrage,Mirage Dive,Nastrond,Piercing Talon,Raiden Thrust,Rise of the Dragon,Spiral Blow,Starcross,Stardiver,True Thrust,Wheeling Thrust,Wyrmwind Thrust
0,760,True Thrust,23973.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23973,0,0
760,1292,Auto,8745.0,8745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23973,0,0
2500,3880,Spiral Blow,31269.0,8745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31269,0,0,23973,0,0
3560,4092,Auto,9619.0,18364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31269,0,0,23973,0,0
5000,5450,Chaotic Spring,46401.0,18364,46401,0,0,0,0,0,0,0,0,0,0,0,0,0,31269,0,0,23973,0,0
6360,6892,Auto,16813.0,35177,46401,0,0,0,0,0,0,0,0,0,0,0,0,0,31269,0,0,23973,0,0
6240,6910,Geirskogul,45532.0,35177,46401,0,0,0,0,45532,0,0,0,0,0,0,0,0,31269,0,0,23973,0,0
5000,7500,Chaotic Spring (dot),6137.0,35177,46401,6137,0,0,0,45532,0,0,0,0,0,0,0,0,31269,0,0,23973,0,0
7500,8120,Wheeling Thrust,68118.0,35177,46401,6137,0,0,0,45532,0,0,0,0,0,0,0,0,31269,0,0,23973,68118,0
8119,8919,Dragonfire Dive,100174.0,35177,46401,6137,100174,0,0,45532,0,0,0,0,0,0,0,0,31269,0,0,23973,68118,0
9160,9692,Auto,16813.0,51990,46401,6137,100174,0,0,45532,0,0,0,0,0,0,0,0,31269,0,0,23973,68118,0
5000,10500,Chaotic Spring (dot),6137.0,51990,46401,12274,100174,0,0,45532,0,0,0,0,0,0,0,0,31269,0,0,23973,68118,0
10000,10620,Drakesbane,130075.0,51990,46401,12274,100174,130075,0,45532,0,0,0,0,0,0,0,0,31269,0,0,23973,68118,0
