sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_weight,Auto,Chaotic Spring,Chaotic Spring (dot),Dragonfire Dive,Drakesbane,Fang and Claw,Geirskogul,Heavens' Thrust,High Jump,Lance Barrage,Mirage Dive,Nastrond,Piercing Talon,Raiden Thrust,Rise of the Dragon,Spiral Blow,Starcross,Stardiver,True Thrust,Wheeling Thrust,Wyrmwind Thrust
0,760,True Thrust,230,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0
760,1292,Auto,90,1.0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0
2500,3880,Spiral Blow,300,1.0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,230,0,0
3560,4092,Auto,90,1.0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,230,0,0
5000,5450,Chaotic Spring,340,1.0,180,340,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,230,0,0
6360,6892,Auto,90,1.0,270,340,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,230,0,0
6240,6910,Geirskogul,280,1.0,270,340,0,0,0,0,280,0,0,0,0,0,0,0,0,300,0,0,230,0,0
5000,7500,Chaotic Spring (dot),45,1.0,270,340,45,0,0,0,280,0,0,0,0,0,0,0,0,300,0,0,230,0,0
7500,8120,Wheeling Thrust,340,1.0,270,340,45,0,0,0,280,0,0,0,0,0,0,0,0,300,0,0,230,340,0
8119,8919,Dragonfire Dive,500,1.0,270,340,45,500,0,0,280,0,0,0,0,0,0,0,0,300,0,0,230,340,0
9160,9692,Auto,90,1.0,360,340,45,500,0,0,280,0,0,0,0,0,0,0,0,300,0,0,230,340,0
5000,10500,Chaotic Spring (dot),45,1.0,360,340,90,500,0,0,280,0,0,0,0,0,0,0,0,300,0,0,230,340,0
10000,10620,Drakesbane,460,1.0,360,340,90,500,460,0,280,0,0,0,0,0,0,0,0,300,0,0,230,340,0
10620,11110,High Jump,400,1.0,360,340,90,500,460,0,280,0,400,0,0,0,0,0,0,300,0,0,230,340,0
11420,12180,Nastrond,720,1.0,360,340,90,500,460,0,280,0,400,0,0,720,0,0,0,300,0,0,230,340,0
11960,12492,Auto,90,1.0,450,340,90,500,460,0,280,0,400,0,0,720,0,0,0,300,0,0,230,340,0
12500,13120,Raiden Thrust,320,1.0,450,340,90,500,460,0,280,0,400,0,0,720,0,320,0,300,0,0,230,340,0
5000,13500,Chaotic Spring (dot),45,1.0,450,340,135,500,460,0,280,0,400,0,0,720,0,320,0,300,0,0,230,340,0
13120,14410,Stardiver,840,1.0,450,340,135,500,460,0,280,0,400,0,0,720,0,320,0,300,0,840,230,340,0
14760,15292,Auto,90,1.0,540,340,135,500,460,0,280,0,400,0,0,720,0,320,0,300,0,840,230,340,0
15000,15940,Lance Barrage,340,1.0,540,340,135,500,460,0,280,0,400,340,0,720,0,320,0,300,0,840,230,340,0
5000,16500,Chaotic Spring (dot),45,1.0,540,340,180,500,460,0,280,0,400,340,0,720,0,320,0,300,0,840,230,340,0
15620,16600,Starcross,700,1.0,540,340,180,500,460,0,280,0,400,340,0,720,0,320,0,300,700,840,230,340,0
17560,18092,Auto,90,1.0,630,340,180,500,460,0,280,0,400,340,0,720,0,320,0,300,700,840,230,340,0
17500,18210,Heavens' Thrust,460,1.0,630,340,180,500,460,0,280,460,400,340,0,720,0,320,0,300,700,840,230,340,0
18120,19280,Rise of the Dragon,550,1.0,630,340,180,500,460,0,280,460,400,340,0,720,0,320,550,300,700,840,230,340,0
5000,19500,Chaotic Spring (dot),45,1.0,630,340,225,500,460,0,280,460,400,340,0,720,0,320,550,300,700,840,230,340,0
18740,19540,Mirage Dive,380,1.0,630,340,225,500,460,0,280,460,400,340,380,720,0,320,550,300,700,840,230,340,0
20000,20620,Fang and Claw,340,1.0,630,340,225,500,460,340,280,460,400,340,380,720,0,320,550,300,700,840,230,340,0
20360,20892,Auto,90,1.0,720,340,225,500,460,340,280,460,400,340,380,720,0,320,550,300,700,840,230,340,0
5000,22500,Chaotic Spring (dot),45,1.0,720,340,270,500,460,340,280,460,400,340,380,720,0,320,550,300,700,840,230,340,0
22500,23120,Drakesbane,460,1.0,720,340,270,500,920,340,280,460,400,340,380,720,0,320,550,300,700,840,230,340,0
23160,23692,Auto,90,1.0,810,340,270,500,920,340,280,460,400,340,380,720,0,320,550,300,700,840,230,340,0
5000,25500,Chaotic Spring (dot),45,1.0,810,340,315,500,920,340,280,460,400,340,380,720,0,320,550,300,700,840,230,340,0
25000,25620,Raiden Thrust,320,1.0,810,340,315,500,920,340,280,460,400,340,380,720,0,640,550,300,700,840,230,340,0
