sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,953,33713.47,290.557,42790.087,495.833,218165,32128937,372296
Drakesbane,60,69168.083,36.758,5527.183,153.382,27600,4150085,115167
Auto,268,11340.784,32.124,4047.852,67.726,24120,3039330,50852
Raiden Thrust,59,43071.78,25.145,3384.478,120.558,18880,2541235,90521
Heavens' Thrust,30,69972.033,18.379,2795.713,110.43,13800,2099161,82916
Stardiver,13,145780.846,14.544,2524.007,188.791,10920,1895151,141754
Wyrmwind Thrust,29,64879.724,16.994,2505.843,127.265,12760,1881512,95557
Mirage Dive,25,65496.24,12.652,2180.736,117.704,9500,1637406,88378
Nastrond,13,124953.462,12.466,2163.408,161.819,9360,1624395,121502
Starcross,13,121486.615,12.12,2103.384,157.33,9100,1579326,118131
High Jump,25,58021.84,13.318,1931.872,106.021,10000,1450546,79606
Chaotic Spring (dot),239,6025.063,14.324,1917.813,33.866,10755,1439990,25428
Chaotic Spring,30,46628.267,13.585,1863.019,88.741,10200,1398848,66631
Wheeling Thrust,30,46598.633,13.585,1861.835,93.238,10200,1397959,70008
Fang and Claw,30,46270.033,13.585,1848.706,92.471,10200,1388101,69432
Lance Barrage,30,46037.633,13.585,1839.421,91.913,10200,1381129,69013
Spiral Blow,30,40060.967,11.986,1600.625,80.068,9000,1201829,60119
Rise of the Dragon,7,108933.571,5.128,1015.562,102.476,3850,762535,76944
Dragonfire Dive,7,99032.286,4.661,923.255,93.161,3500,693226,69950
Geirskogul,13,38697.692,4.848,670.001,50.516,3640,503070,37930
Piercing Talon,1,40130.0,0.466,53.446,14.322,350,40130,10754
True Thrust,1,23973.0,0.306,31.928,8.556,230,23973,6424
