sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Baneful Impaction (dot),Biolysis (dot),Broil IV,Energy Drain
-200,1500,Biolysis (dot),11258.0,0,0,11258,0,0
1500,2032,Auto,222.0,222,0,11258,0,0
3140,3940,Broil IV,44823.0,222,0,11258,44823,0
-200,4500,Biolysis (dot),11258.0,222,0,22516,44823,0
4620,5152,Auto,222.0,444,0,22516,44823,0
4600,5400,Broil IV,44823.0,444,0,22516,89646,0
-200,7500,Biolysis (dot),11258.0,444,0,33774,89646,0
7940,8740,Broil IV,57263.0,444,0,33774,146909,0
8440,8972,Auto,283.0,727,0,33774,146909,0
8543,9613,Energy Drain,17908.0,727,0,33774,146909,17908
-200,10500,Biolysis (dot),11258.0,727,0,45032,146909,17908
10340,11140,Broil IV,57263.0,727,0,45032,204172,17908
10943,12013,Energy Drain,17908.0,727,0,45032,204172,35816
11560,12092,Auto,283.0,1010,0,45032,204172,35816
-200,13500,Biolysis (dot),11258.0,1010,0,56290,204172,35816
12740,13540,Broil IV,57263.0,1010,0,56290,261435,35816
13343,14413,Energy Drain,17908.0,1010,0,56290,261435,53724
15140,15940,Broil IV,57263.0,1010,0,56290,318698,53724
15640,16172,Auto,283.0,1293,0,56290,318698,53724
-200,16500,Biolysis (dot),11258.0,1293,0,67548,318698,53724
17540,18340,Broil IV,57263.0,1293,0,67548,375961,53724
18760,19292,Auto,283.0,1576,0,67548,375961,53724
-200,19500,Biolysis (dot),11258.0,1576,0,78806,375961,53724
18143,19500,Baneful Impaction (dot),26014.0,1576,26014,78806,375961,53724
19940,20740,Broil IV,57263.0,1576,26014,78806,433224,53724
20543,21613,Energy Drain,17908.0,1576,26014,78806,433224,71632
-200,22500,Biolysis (dot),11258.0,1576,26014,90064,433224,71632
18143,22500,Baneful Impaction (dot),26014.0,1576,52028,90064,433224,71632
22340,23140,Broil IV,57263.0,1576,52028,90064,490487,71632
22840,23372,Auto,283.0,1859,52028,90064,490487,71632
22943,24013,Energy Drain,17908.0,1859,52028,90064,490487,89540
24420,25490,Energy Drain,17908.0,1859,52028,90064,490487,107448
23800,25500,Biolysis (dot),15732.0,1859,52028,105796,490487,107448
18143,25500,Baneful Impaction (dot),26014.0,1859,78042,105796,490487,107448
25960,26492,Auto,250.0,2109,78042,105796,490487,107448
27140,27940,Broil IV,44823.0,2109,78042,105796,535310,107448
23800,28500,Biolysis (dot),15732.0,2109,78042,121528,535310,107448
18143,28500,Baneful Impaction (dot),26014.0,2109,104056,121528,535310,107448
29541,30341,Broil IV,44823.0,2109,104056,121528,580133,107448
30041,30573,Auto,222.0,2331,104056,121528,580133,107448
23800,31500,Biolysis (dot),15732.0,2331,104056,137260,580133,107448
18143,31500,Baneful Impaction (dot),26014.0,2331,130070,137260,580133,107448
31941,32741,Broil IV,41419.0,2331,130070,137260,621552,107448
33161,33693,Auto,222.0,2553,130070,137260,621552,107448
23800,34500,Biolysis (dot),15732.0,2553,130070,152992,621552,107448
34341,35141,Broil IV,41419.0,2553,130070,152992,662971,107448
23800,37500,Biolysis (dot),15732.0,2553,130070,168724,662971,107448
36741,37541,Broil IV,41419.0,2553,130070,168724,704390,107448
37241,37773,Auto,222.0,2775,130070,168724,704390,107448
39141,39941,Broil IV,41419.0,2775,130070,168724,745809,107448
23800,40500,Biolysis (dot),15732.0,2775,130070,184456,745809,107448
40361,40893,Auto,222.0,2997,130070,184456,745809,107448
41541,42341,Broil IV,41419.0,2997,130070,184456,787228,107448
23800,43500,Biolysis (dot),15732.0,2997,130070,200188,787228,107448
43941,44741,Broil IV,41396.0,2997,130070,200188,828624,107448
44441,44973,Auto,221.0,3218,130070,200188,828624,107448
23800,46500,Biolysis (dot),15732.0,3218,130070,215920,828624,107448
46341,47141,Broil IV,41396.0,3218,130070,215920,870020,107448
47561,48093,Auto,221.0,3439,130070,215920,870020,107448
23800,49500,Biolysis (dot),15732.0,3439,130070,231652,870020,107448
48741,49541,Broil IV,41396.0,3439,130070,231652,911416,107448
51141,51941,Broil IV,41396.0,3439,130070,231652,952812,107448
51641,52173,Auto,221.0,3660,130070,231652,952812,107448
23800,52500,Biolysis (dot),15732.0,3660,130070,247384,952812,107448
54761,55293,Auto,221.0,3881,130070,247384,952812,107448
52601,55500,Biolysis (dot),11370.0,3881,130070,258754,952812,107448
55941,56741,Broil IV,41396.0,3881,130070,258754,994208,107448
52601,58500,Biolysis (dot),11370.0,3881,130070,270124,994208,107448
58341,59141,Broil IV,41396.0,3881,130070,270124,1035604,107448
58841,59373,Auto,221.0,4102,130070,270124,1035604,107448
52601,61500,Biolysis (dot),11370.0,4102,130070,281494,1035604,107448
60741,61541,Broil IV,41396.0,4102,130070,281494,1077000,107448
61961,62493,Auto,221.0,4323,130070,281494,1077000,107448
63141,63941,Broil IV,41396.0,4323,130070,281494,1118396,107448
52601,64500,Biolysis (dot),11370.0,4323,130070,292864,1118396,107448
65541,66341,Broil IV,41396.0,4323,130070,292864,1159792,107448
66041,66573,Auto,221.0,4544,130070,292864,1159792,107448
52601,67500,Biolysis (dot),11370.0,4544,130070,304234,1159792,107448
