sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,729,31558.492,300.405,30539.787,379.649,226300,23006141,285996
Souleater,73,44409.726,46.514,4303.514,131.662,35040,3241910,99183
Syphon Strike,73,35218.63,36.824,3412.853,104.418,27740,2570960,78660
Edge of Shadow,47,51119.213,28.7,3189.365,124.146,21620,2402603,93521
Bloodspiller,37,59030.135,29.47,2899.331,125.918,22200,2184115,94856
Auto,255,8466.086,30.465,2865.795,47.246,22950,2158852,35591
Hard Slash,73,27649.849,29.071,2679.402,81.915,21900,2018439,61708
Torcleaver,13,86702.077,14.151,1496.219,110.474,10660,1127127,83222
Shadowbringer,14,71614.143,11.151,1330.911,94.782,8400,1002598,71401
Comeuppance,13,76126.615,12.425,1313.718,96.999,9360,989646,73071
Scarlet Delirium,13,65552.385,10.699,1131.238,83.524,8060,852181,62920
Disesteem,7,119364.143,9.292,1109.16,111.709,7000,835549,84152
Carve and Spit,13,57094.615,9.319,985.282,72.748,7020,742230,54802
Disesteem (pet),7,78331.857,5.761,727.878,73.314,4340,548323,55229
Shadowbringer (pet),7,72013.286,5.297,669.165,67.401,3990,504093,50774
Salt and Darkness,9,50572.556,5.974,604.198,53.58,4500,455153,40363
Abyssal Drain (pet),7,53058.571,3.903,493.033,49.659,2940,371410,37409
Bloodspiller (pet),7,53058.571,3.903,493.033,49.659,2940,371410,37409
Edge of Shadow (pet),7,53058.571,3.903,493.033,49.659,2940,371410,37409
Salted Earth (dot),45,4780.222,2.987,285.55,11.273,2250,215110,8492
Salted Earth,9,4780.222,0.597,57.11,5.042,450,43022,3798
