sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,937,37500.537,385.109,46888.244,549.092,288600,35138003,411489
Auto,335,9489.134,40.232,4241.879,62.243,30150,3178860,46645
Ouroboros,20,157444.75,30.691,4201.894,252.719,23000,3148895,189387
Uncoiled Fury,27,83668.222,24.5,3014.472,156.203,18360,2259042,117058
Reawaken,20,95578.85,20.016,2550.813,153.718,15000,1911577,115196
Fourth Generation,20,92550.95,18.148,2470.005,148.486,13600,1851019,111275
Second Generation,20,91907.8,18.148,2452.84,147.5,13600,1838156,110536
Third Generation,20,91896.3,18.148,2452.533,147.501,13600,1837926,110537
First Generation,20,87592.45,18.148,2337.672,140.836,13600,1751849,105542
Death Rattle,47,31651.383,17.561,1985.077,77.191,13160,1487615,57847
Hunter's Coil,19,77049.526,17.24,1953.487,119.745,12920,1463941,89737
Swiftskin's Coil,19,71273.211,15.719,1807.036,110.868,11780,1354191,83084
Vicewinder,20,61837.55,14.412,1650.324,98.656,10800,1236751,73933
Fourth Legacy,20,43806.95,8.54,1169.122,70.315,6400,876139,52694
Third Legacy,20,43346.45,8.54,1156.832,69.601,6400,866929,52159
Second Legacy,20,43248.2,8.54,1154.21,69.406,6400,864964,52013
First Legacy,20,41686.65,8.54,1112.536,67.047,6400,833733,50245
Swiftskin's Sting,24,33723.042,9.608,1080.003,58.763,7200,809353,44037
Reaving Fangs,24,33285.625,9.474,1065.994,58.168,7100,798855,43591
Steel Fangs,23,33975.826,9.207,1042.761,57.961,6900,781444,43436
Hunter's Sting,23,33969.348,9.207,1042.562,57.917,6900,781295,43403
Twinblood Bite,38,19581.684,8.62,992.934,43.072,6460,744104,32278
Twinfang Bite,38,19529.553,8.62,990.291,42.917,6460,742123,32162
Flanksting Strike,12,56815.0,8.006,909.769,70.044,6000,681780,52491
Hindsting Strike,12,56422.167,8.006,903.479,69.489,6000,677066,52075
Hindsbane Fang,12,55798.0,7.873,893.484,68.855,5900,669576,51600
Flanksbane Fang,11,56426.818,7.339,828.257,66.485,5500,620695,49824
Uncoiled Twinfang,27,20327.704,6.125,732.384,37.838,4590,548848,28356
Uncoiled Twinblood,26,20049.115,5.898,695.593,36.551,4420,521277,27391
