sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,729,31987.676,300.405,30955.117,392.228,226300,23319016,295472
Souleater,73,44550.493,46.514,4317.155,132.696,35040,3252186,99962
Syphon Strike,73,35324.644,36.824,3423.126,105.184,27740,2578699,79237
Edge of Shadow,47,52301.17,28.7,3263.108,129.696,21620,2458155,97702
Bloodspiller,37,59605.946,29.47,2927.612,128.686,22200,2205420,96941
Auto,255,8525.467,30.465,2885.895,47.998,22950,2173994,36158
Hard Slash,73,27736.726,29.071,2687.821,82.547,21900,2024781,62184
Torcleaver,13,88270.769,14.151,1523.29,114.572,10660,1147520,86309
Shadowbringer,14,73745.857,11.151,1370.528,99.854,8400,1032442,75222
Comeuppance,13,77503.923,12.425,1337.486,100.596,9360,1007551,75781
Scarlet Delirium,13,66738.385,10.699,1151.705,86.622,8060,867599,65254
Disesteem,7,122917.0,9.292,1142.174,117.689,7000,860419,88657
Carve and Spit,13,58127.692,9.319,1003.11,75.446,7020,755660,56835
Disesteem (pet),7,80663.0,5.761,749.54,77.238,4340,564641,58185
Shadowbringer (pet),7,74156.714,5.297,689.082,71.007,3990,519097,53491
Salt and Darkness,9,51187.111,5.974,611.541,55.037,4500,460684,41460
Abyssal Drain (pet),7,54638.0,3.903,507.709,52.317,2940,382466,39411
Bloodspiller (pet),7,54638.0,3.903,507.709,52.317,2940,382466,39411
Edge of Shadow (pet),7,54638.0,3.903,507.709,52.317,2940,382466,39411
Salted Earth (dot),45,4866.111,2.987,290.681,11.521,2250,218975,8679
Salted Earth,9,4866.111,0.597,58.136,5.152,450,43795,3881
