sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,844,26989.998,313.47,30216.304,390.149,236320,22779558,294127
Auto,269,7713.108,32.114,2752.186,45.116,24210,2074826,34012
Blasting Zone,25,78208.44,26.529,2593.52,140.585,20000,1955211,105985
Solid Barrel,43,37061.535,26.237,2113.917,83.697,19780,1593646,63098
Double Down,13,113742.231,17.244,1961.377,147.126,13000,1478649,110916
Lion Heart,13,113721.692,17.244,1961.023,147.165,13000,1478382,110945
Wicked Talon,26,54862.154,19.313,1892.092,100.209,14560,1426416,75546
Noble Blood,13,102346.308,15.52,1764.865,132.444,11700,1330502,99847
Brutal Shell,43,30556.256,21.674,1742.869,68.997,16340,1313919,52016
Savage Claw,26,48958.423,17.244,1688.483,89.45,13000,1272919,67435
Reign of Beasts,13,90992.538,13.795,1569.08,117.699,10400,1182903,88731
Gnashing Fang,26,43077.846,15.175,1485.674,78.706,11440,1120024,59335
Keen Edge,43,24116.372,17.111,1375.55,54.455,12900,1037004,41053
Burst Strike,30,33974.733,16.713,1351.99,63.99,12600,1019242,48241
Sonic Break (dot),62,13507.758,9.869,1110.89,38.192,7440,837481,28792
Eye Gouge,26,30470.5,10.346,1050.87,55.36,7800,792233,41735
Abdomen Tear,26,27015.192,8.967,931.703,49.469,6760,702395,37294
Jugular Rip,26,21537.731,7.587,742.796,39.351,5720,559981,29666
Sonic Break,13,38628.923,5.863,666.119,50.078,4420,502176,37753
Bow Shock (dot),65,6819.0,5.173,587.936,19.721,3900,443235,14867
Hypervelocity,30,14556.7,7.163,579.269,27.417,5400,436701,20669
Bow Shock,13,17054.846,2.587,294.095,22.059,1950,221713,16630
