sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,1027,34783.482,333.88,47611.137,431.635,250510,35722636,323856
Tendo Kaeshi Setsugekka,15,210702.133,21.991,4212.358,124.065,16500,3160532,93086
Tendo Setsugekka,15,207683.267,21.991,4152.005,121.615,16500,3115249,91248
Auto,315,9831.527,37.785,4127.59,62.72,28350,3096931,47059
Gekko,49,52612.306,27.429,3435.963,132.955,20580,2578003,99756
Kaeshi: Setsugekka,22,117081.818,19.939,3433.027,81.997,14960,2575800,61522
Hissatsu: Shinten,78,31334.244,25.99,3257.458,99.823,19500,2444071,74897
Midare Setsugekka,22,108629.364,19.939,3185.187,74.213,14960,2389846,55682
Gyofu,82,28132.72,26.23,3074.614,90.62,19680,2306883,67992
Kasha,38,51172.5,21.271,2591.703,112.964,15960,1944555,84757
Higanbana (dot),240,6754.833,15.994,2160.682,38.049,12000,1621160,28548
Shoha,18,89606.667,15.354,2149.7,138.65,11520,1612920,104029
Yukikaze,38,40564.632,17.22,2054.453,89.354,12920,1541456,67042
Kaeshi: Namikiri,7,214453.286,9.33,2000.764,87.29,7000,1501173,65494
Ogi Namikiri,7,214453.286,9.33,2000.764,87.29,7000,1501173,65494
Hissatsu: Senei,13,108569.923,13.861,1881.126,142.536,10400,1411409,106945
Zanshin,7,143937.286,8.77,1342.878,138.846,6580,1007561,104176
Jinpu,23,34569.304,9.196,1059.701,58.689,6900,795094,44034
Shifu,21,34583.095,8.397,967.939,56.059,6300,726245,42061
Higanbana,12,26710.917,3.199,427.204,33.644,2400,320531,25243
Hissatsu: Gyoten,5,14408.8,0.666,96.02,11.723,500,72044,8796
