sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,1267.4613,13920.576,429.555,32539.691,566.124,323610,24514134,426496
Burst Shot,184.6161,28600.355,53.912,7008.706,167.657,40615,5280086,126306
Refulgent Arrow,91.7417,39913.671,34.097,4860.549,228.367,25687,3661748,172043
Shot,248.0,9234.819,26.335,3040.023,52.434,19840,2290235,39502
Heartbreak Shot,89.9471,25201.657,21.49,3008.937,117.184,16190,2266816,88282
Empyreal Arrow,49.0,35622.959,16.911,2316.983,90.04,12740,1745525,67833
Pitch Perfect,32.514199999999995,52931.335,14.319,2284.456,197.978,10787,1721020,149149
Radiant Encore,7.0,198032.286,9.69,1840.055,190.897,7300,1386226,143814
Apex Arrow,12.000000000000002,107504.667,10.851,1712.401,314.244,8175,1290056,236739
Blast Arrow,11.642200000000003,110637.508,10.817,1709.757,139.314,8149,1288064,104954
Stormbite (dot),251.0,3581.602,8.329,1193.295,20.613,6275,898982,15529
Resonant Arrow,7.0,121604.429,5.947,1129.911,116.227,4480,851231,87561
Sidewinder,13.0,63925.231,6.902,1103.094,84.308,5200,831028,63514
Caustic Bite (dot),250.0,2866.7,6.637,951.304,16.472,5000,716675,12409
Iron Jaws,18.0,14189.722,2.389,339.034,21.841,1800,255415,16454
Caustic Bite,1.0,18696.0,0.199,24.817,6.61,150,18696,4980
Stormbite,1.0,12331.0,0.133,16.368,4.322,100,12331,3256
