sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Baneful Impaction (dot),Biolysis (dot),Broil IV,Energy Drain
-200,1500,Biolysis (dot),11258.0,0,0,11258,0,0
1500,2032,Auto,222.0,222,0,11258,0,0
3140,3940,Broil IV,44823.0,222,0,11258,44823,0
-200,4500,Biolysis (dot),11258.0,222,0,22516,44823,0
4620,5152,Auto,233.0,455,0,22516,44823,0
4600,5400,Broil IV,47063.0,455,0,22516,91886,0
-200,7500,Biolysis (dot),11258.0,455,0,33774,91886,0
7940,8740,Broil IV,57283.0,455,0,33774,149169,0
8440,8972,Auto,283.0,738,0,33774,149169,0
8543,9613,Energy Drain,17914.0,738,0,33774,149169,17914
-200,10500,Biolysis (dot),11258.0,738,0,45032,149169,17914
10340,11140,Broil IV,57283.0,738,0,45032,206452,17914
10943,12013,Energy Drain,17914.0,738,0,45032,206452,35828
11560,12092,Auto,283.0,1021,0,45032,206452,35828
-200,13500,Biolysis (dot),11258.0,1021,0,56290,206452,35828
12740,13540,Broil IV,57283.0,1021,0,56290,263735,35828
13343,14413,Energy Drain,17914.0,1021,0,56290,263735,53742
15140,15940,Broil IV,57283.0,1021,0,56290,321018,53742
15640,16172,Auto,283.0,1304,0,56290,321018,53742
-200,16500,Biolysis (dot),11258.0,1304,0,67548,321018,53742
17540,18340,Broil IV,57283.0,1304,0,67548,378301,53742
18760,19292,Auto,283.0,1587,0,67548,378301,53742
18143,19500,Baneful Impaction (dot),26023.0,1587,26023,67548,378301,53742
-200,19500,Biolysis (dot),11258.0,1587,26023,78806,378301,53742
19940,20740,Broil IV,57283.0,1587,26023,78806,435584,53742
20543,21613,Energy Drain,17914.0,1587,26023,78806,435584,71656
18143,22500,Baneful Impaction (dot),26023.0,1587,52046,78806,435584,71656
-200,22500,Biolysis (dot),11258.0,1587,52046,90064,435584,71656
22340,23140,Broil IV,57283.0,1587,52046,90064,492867,71656
22840,23372,Auto,283.0,1870,52046,90064,492867,71656
22943,24013,Energy Drain,17914.0,1870,52046,90064,492867,89570
24420,25490,Energy Drain,17914.0,1870,52046,90064,492867,107484
18143,25500,Baneful Impaction (dot),26023.0,1870,78069,90064,492867,107484
23800,25500,Biolysis (dot),15737.0,1870,78069,105801,492867,107484
25960,26492,Auto,238.0,2108,78069,105801,492867,107484
27140,27940,Broil IV,44823.0,2108,78069,105801,537690,107484
18143,28500,Baneful Impaction (dot),26023.0,2108,104092,105801,537690,107484
23800,28500,Biolysis (dot),15737.0,2108,104092,121538,537690,107484
29541,30341,Broil IV,44823.0,2108,104092,121538,582513,107484
30041,30573,Auto,222.0,2330,104092,121538,582513,107484
18143,31500,Baneful Impaction (dot),26023.0,2330,130115,121538,582513,107484
23800,31500,Biolysis (dot),15737.0,2330,130115,137275,582513,107484
31941,32741,Broil IV,41419.0,2330,130115,137275,623932,107484
33161,33693,Auto,222.0,2552,130115,137275,623932,107484
23800,34500,Biolysis (dot),15737.0,2552,130115,153012,623932,107484
34341,35141,Broil IV,41419.0,2552,130115,153012,665351,107484
23800,37500,Biolysis (dot),15737.0,2552,130115,168749,665351,107484
36741,37541,Broil IV,41419.0,2552,130115,168749,706770,107484
37241,37773,Auto,222.0,2774,130115,168749,706770,107484
39141,39941,Broil IV,41419.0,2774,130115,168749,748189,107484
23800,40500,Biolysis (dot),15737.0,2774,130115,184486,748189,107484
40361,40893,Auto,222.0,2996,130115,184486,748189,107484
41541,42341,Broil IV,41419.0,2996,130115,184486,789608,107484
23800,43500,Biolysis (dot),15737.0,2996,130115,200223,789608,107484
43941,44741,Broil IV,41396.0,2996,130115,200223,831004,107484
44441,44973,Auto,221.0,3217,130115,200223,831004,107484
23800,46500,Biolysis (dot),15737.0,3217,130115,215960,831004,107484
46341,47141,Broil IV,41396.0,3217,130115,215960,872400,107484
47561,48093,Auto,221.0,3438,130115,215960,872400,107484
23800,49500,Biolysis (dot),15737.0,3438,130115,231697,872400,107484
48741,49541,Broil IV,41396.0,3438,130115,231697,913796,107484
51141,51941,Broil IV,41396.0,3438,130115,231697,955192,107484
51641,52173,Auto,221.0,3659,130115,231697,955192,107484
23800,52500,Biolysis (dot),15737.0,3659,130115,247434,955192,107484
54761,55293,Auto,221.0,3880,130115,247434,955192,107484
52601,55500,Biolysis (dot),11370.0,3880,130115,258804,955192,107484
55941,56741,Broil IV,41396.0,3880,130115,258804,996588,107484
52601,58500,Biolysis (dot),11370.0,3880,130115,270174,996588,107484
58341,59141,Broil IV,41396.0,3880,130115,270174,1037984,107484
58841,59373,Auto,221.0,4101,130115,270174,1037984,107484
52601,61500,Biolysis (dot),11370.0,4101,130115,281544,1037984,107484
60741,61541,Broil IV,41396.0,4101,130115,281544,1079380,107484
61961,62493,Auto,221.0,4322,130115,281544,1079380,107484
63141,63941,Broil IV,41396.0,4322,130115,281544,1120776,107484
52601,64500,Biolysis (dot),11370.0,4322,130115,292914,1120776,107484
65541,66341,Broil IV,41396.0,4322,130115,292914,1162172,107484
66041,66573,Auto,221.0,4543,130115,292914,1162172,107484
52601,67500,Biolysis (dot),11370.0,4543,130115,304284,1162172,107484
