sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Afflatus Misery,Assize,Auto,Dia,Dia (dot),Glare III,Glare IV
-170,1120,Dia,10969.0,0,0,0,10969,0,0,0
-170,1500,Dia (dot),11244.0,0,0,0,10969,11244,0,0
1120,1652,Auto,0.0,0,0,0,10969,11244,0,0
-170,4500,Dia (dot),11244.0,0,0,0,10969,22488,0,0
3220,4510,Glare III,49638.0,0,0,0,10969,22488,49638,0
4560,5092,Auto,0.0,0,0,0,10969,22488,49638,0
5650,6940,Glare III,54725.0,0,0,0,10969,22488,104363,0
-170,7500,Dia (dot),11244.0,0,0,0,10969,33732,104363,0
8280,8812,Auto,0.0,0,0,0,10969,33732,104363,0
8389,9059,Assize,70387.0,0,70387,0,10969,33732,104363,0
7780,9070,Glare III,61587.0,0,70387,0,10969,33732,165950,0
9060,9640,Afflatus Misery,246363.0,246363,70387,0,10969,33732,165950,0
-170,10500,Dia (dot),11244.0,246363,70387,0,10969,44976,165950,0
11030,11562,Auto,0.0,246363,70387,0,10969,44976,165950,0
11000,11850,Glare IV,112605.0,246363,70387,0,10969,44976,165950,112605
-170,13500,Dia (dot),11244.0,246363,70387,0,10969,56220,165950,112605
12940,13790,Glare IV,112605.0,246363,70387,0,10969,56220,165950,225210
13780,14312,Auto,0.0,246363,70387,0,10969,56220,165950,225210
14881,15731,Glare IV,112605.0,246363,70387,0,10969,56220,165950,337815
-170,16500,Dia (dot),11244.0,246363,70387,0,10969,67464,165950,337815
16530,17062,Auto,0.0,246363,70387,0,10969,67464,165950,337815
17481,18771,Glare III,61587.0,246363,70387,0,10969,67464,227537,337815
-170,19500,Dia (dot),11244.0,246363,70387,0,10969,78708,227537,337815
19921,20453,Auto,0.0,246363,70387,0,10969,78708,227537,337815
19421,20711,Glare III,61587.0,246363,70387,0,10969,78708,289124,337815
-170,22500,Dia (dot),11244.0,246363,70387,0,10969,89952,289124,337815
21361,22651,Glare III,61587.0,246363,70387,0,10969,89952,350711,337815
24101,24633,Auto,0.0,246363,70387,0,10969,89952,350711,337815
23601,24891,Glare III,61587.0,246363,70387,0,10969,89952,412298,337815
-170,25500,Dia (dot),11244.0,246363,70387,0,10969,101196,412298,337815
25071,26361,Dia,14177.0,246363,70387,0,25146,101196,412298,337815
25071,28500,Dia (dot),14533.0,246363,70387,0,25146,115729,412298,337815
28961,29493,Auto,0.0,246363,70387,0,25146,115729,412298,337815
28461,29751,Glare III,49638.0,246363,70387,0,25146,115729,461936,337815
25071,31500,Dia (dot),14533.0,246363,70387,0,25146,130262,461936,337815
32401,32933,Auto,0.0,246363,70387,0,25146,130262,461936,337815
25071,34500,Dia (dot),14533.0,246363,70387,0,25146,144795,461936,337815
35841,36373,Auto,0.0,246363,70387,0,25146,144795,461936,337815
25071,37500,Dia (dot),14533.0,246363,70387,0,25146,159328,461936,337815
37221,37801,Afflatus Misery,183437.0,429800,70387,0,25146,159328,461936,337815
39281,39813,Auto,0.0,429800,70387,0,25146,159328,461936,337815
25071,40500,Dia (dot),14533.0,429800,70387,0,25146,173861,461936,337815
40611,41901,Glare III,45857.0,429800,70387,0,25146,173861,507793,337815
25071,43500,Dia (dot),14533.0,429800,70387,0,25146,188394,507793,337815
43541,44073,Auto,0.0,429800,70387,0,25146,188394,507793,337815
43041,44331,Glare III,45834.0,429800,70387,0,25146,188394,553627,337815
