sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Abdomen Tear,Auto,Blasting Zone,Bow Shock,Bow Shock (dot),Brutal Shell,Burst Strike,Double Down,Eye Gouge,Gnashing Fang,Hypervelocity,Jugular Rip,Keen Edge,Lion Heart,Noble Blood,Reign of Beasts,Savage Claw,Solid Barrel,Sonic Break,Sonic Break (dot),Wicked Talon
0,893,Keen Edge,23916.0,0,0,0,0,0,0,0,0,0,0,0,0,23916,0,0,0,0,0,0,0,0
893,1425,Auto,6746.0,0,6746,0,0,0,0,0,0,0,0,0,0,23916,0,0,0,0,0,0,0,0
2500,3574,Brutal Shell,30619.0,0,6746,0,0,0,30619,0,0,0,0,0,0,23916,0,0,0,0,0,0,0,0
3693,4225,Auto,6746.0,0,13492,0,0,0,30619,0,0,0,0,0,0,23916,0,0,0,0,0,0,0,0
5000,6653,Solid Barrel,40128.0,0,13492,0,0,0,30619,0,0,0,0,0,0,23916,0,0,0,0,40128,0,0,0
6493,7025,Auto,10667.0,0,24159,0,0,0,30619,0,0,0,0,0,0,23916,0,0,0,0,40128,0,0,0
7500,8123,Gnashing Fang,56072.0,0,24159,0,0,0,30619,0,0,0,56072,0,0,23916,0,0,0,0,40128,0,0,0
8125,8927,Jugular Rip,28034.0,0,24159,0,0,0,30619,0,0,0,56072,0,28034,23916,0,0,0,0,40128,0,0,0
9293,9825,Auto,10667.0,0,34826,0,0,0,30619,0,0,0,56072,0,28034,23916,0,0,0,0,40128,0,0,0
10000,10716,Double Down,127448.0,0,34826,0,0,0,30619,0,127448,0,56072,0,28034,23916,0,0,0,0,40128,0,0,0
10625,11252,Bow Shock,19111.0,0,34826,0,19111,0,30619,0,127448,0,56072,0,28034,23916,0,0,0,0,40128,0,0,0
11250,11875,Blasting Zone,101957.0,0,34826,101957,19111,0,30619,0,127448,0,56072,0,28034,23916,0,0,0,0,40128,0,0,0
12093,12625,Auto,10667.0,0,45493,101957,19111,0,30619,0,127448,0,56072,0,28034,23916,0,0,0,0,40128,0,0,0
12500,13081,Sonic Break,43324.0,0,45493,101957,19111,0,30619,0,127448,0,56072,0,28034,23916,0,0,0,0,40128,43324,0,0
10625,13500,Bow Shock (dot),7643.0,0,45493,101957,19111,7643,30619,0,127448,0,56072,0,28034,23916,0,0,0,0,40128,43324,0,0
12500,13500,Sonic Break (dot),15290.0,0,45493,101957,19111,7643,30619,0,127448,0,56072,0,28034,23916,0,0,0,0,40128,43324,15290,0
14893,15425,Auto,10667.0,0,56160,101957,19111,7643,30619,0,127448,0,56072,0,28034,23916,0,0,0,0,40128,43324,15290,0
15000,15625,Savage Claw,63718.0,0,56160,101957,19111,7643,30619,0,127448,0,56072,0,28034,23916,0,0,0,63718,40128,43324,15290,0
15625,16382,Abdomen Tear,33130.0,33130,56160,101957,19111,7643,30619,0,127448,0,56072,0,28034,23916,0,0,0,63718,40128,43324,15290,0
12500,16500,Sonic Break (dot),15290.0,33130,56160,101957,19111,7643,30619,0,127448,0,56072,0,28034,23916,0,0,0,63718,40128,43324,30580,0
10625,16500,Bow Shock (dot),7643.0,33130,56160,101957,19111,15286,30619,0,127448,0,56072,0,28034,23916,0,0,0,63718,40128,43324,30580,0
