sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_expected,sim_weight,sim_target,sim_conditions,sim_variance,sim_buffs,sim_application_timestamp
-2600,-2600,Concitation,,,,,,,[],
0,0,The Wanderer's Minuet,,,,,,,[],
470,470,Dissipation,,,,,,,[],
1090,1090,Grade 4 Gemdraught,,,,,,,[],
-200,1500,Biolysis (dot),85.0,11258.0,,Boss1,[],7771012.0,[],
1500,2032,Auto,90.0,222.0,,Boss1,[],3081.0,"[""The Wanderer's Minuet""]",
3743,3743,Swiftcast,,,,,,,[],
3140,3940,Broil IV,320.0,44823.0,,Boss1,[],125939291.0,"['Grade 4 Gemdraught', ""The Wanderer's Minuet""]",
-200,4500,Biolysis (dot),85.0,11258.0,,Boss1,[],7771012.0,[],
4644,4644,Arcane Circle,,,,,,,[],5269.0
5103,5103,Battle Voice,,,,,,,[],5723.0
4620,5152,Auto,90.0,222.0,,Boss1,[],3081.0,"['Grade 4 Gemdraught', ""The Wanderer's Minuet""]",
5220,5220,Chain Stratagem,,,,,,,[],6020.0
4600,5400,Broil IV,320.0,44823.0,,Boss1,[],125939291.0,"['Grade 4 Gemdraught', 'Swiftcast', ""The Wanderer's Minuet""]",
5400,5400,Starry Muse,,,,,,,[],
5533,5533,Starry Muse,,,,,,,[],
5723,5723,Radiant Finale,,,,,,,[],6348.0
-200,7500,Biolysis (dot),85.0,11258.0,,Boss1,[],7771012.0,[],
7940,8740,Broil IV,320.0,54555.0,,Boss1,[],212586309.0,"['Arcane Circle', 'Battle Voice', 'Chain Stratagem', 'Grade 4 Gemdraught', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet""]",
8440,8972,Auto,90.0,270.0,,Boss1,[],5198.0,"['Arcane Circle', 'Battle Voice', 'Chain Stratagem', 'Grade 4 Gemdraught', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet""]",
8543,9613,Energy Drain,100.0,17061.0,,Boss1,[],20793252.0,"['Arcane Circle', 'Battle Voice', 'Chain Stratagem', 'Grade 4 Gemdraught', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet""]",
-200,10500,Biolysis (dot),85.0,11258.0,,Boss1,[],7771012.0,[],
10340,11140,Broil IV,320.0,54555.0,,Boss1,[],212586309.0,"['Arcane Circle', 'Battle Voice', 'Chain Stratagem', 'Grade 4 Gemdraught', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet""]",
10943,12013,Energy Drain,100.0,17061.0,,Boss1,[],20793252.0,"['Arcane Circle', 'Battle Voice', 'Chain Stratagem', 'Grade 4 Gemdraught', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet""]",
11560,12092,Auto,90.0,270.0,,Boss1,[],5198.0,"['Arcane Circle', 'Battle Voice', 'Chain Stratagem', 'Grade 4 Gemdraught', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet""]",
-200,13500,Biolysis (dot),85.0,11258.0,,Boss1,[],7771012.0,[],
12740,13540,Broil IV,320.0,54555.0,,Boss1,[],212586309.0,"['Arcane Circle', 'Battle Voice', 'Chain Stratagem', 'Grade 4 Gemdraught', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet""]",
13343,14413,Energy Drain,100.0,17061.0,,Boss1,[],20793252.0,"['Arcane Circle', 'Battle Voice', 'Chain Stratagem', 'Grade 4 Gemdraught', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet""]",
15140,15940,Broil IV,320.0,54555.0,,Boss1,[],212586309.0,"['Arcane Circle', 'Battle Voice', 'Chain Stratagem', 'Grade 4 Gemdraught', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet""]",
15640,16172,Auto,90.0,270.0,,Boss1,[],5198.0,"['Arcane Circle', 'Battle Voice', 'Chain Stratagem', 'Grade 4 Gemdraught', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet""]",
-200,16500,Biolysis (dot),85.0,11258.0,,Boss1,[],7771012.0,[],
17540,18340,Broil IV,320.0,54555.0,,Boss1,[],212586309.0,"['Arcane Circle', 'Battle Voice', 'Chain Stratagem', 'Grade 4 Gemdraught', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet""]",
