sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,1267.4577,13787.632,431.228,32283.836,559.53,324870,24321383,421528
Burst Shot,184.66680000000002,28551.802,53.926,6998.73,167.139,40626,5272570,125916
Refulgent Arrow,91.68809999999999,39557.402,34.077,4814.349,226.979,25672,3626943,170997
Shot,248.0,9192.367,26.335,3026.049,52.101,19840,2279707,39251
Heartbreak Shot,89.9496,25049.717,21.49,2990.88,116.227,16190,2253212,87561
Empyreal Arrow,49.0,35449.714,16.911,2305.715,89.435,12740,1737036,67377
Pitch Perfect,32.5081,52287.153,14.313,2256.23,195.215,10783,1699756,147067
Radiant Encore,7.0,194260.429,9.69,1805.008,187.261,7300,1359823,141075
Apex Arrow,12.0,106244.417,10.85,1692.327,310.179,8174,1274933,233677
Blast Arrow,11.645100000000001,109336.717,10.82,1690.076,137.433,8151,1273237,103537
Stormbite (dot),251.0,3554.829,8.329,1184.375,20.414,6275,892262,15379
Resonant Arrow,7.0,119288.143,5.947,1108.389,114.013,4480,835017,85893
Sidewinder,13.0,63145.846,6.902,1089.645,83.118,5200,820896,62618
Caustic Bite (dot),250.0,2845.34,6.637,944.215,16.312,5000,711335,12289
Iron Jaws,18.0,14090.5,2.389,336.663,21.642,1800,253629,16304
Caustic Bite,1.0,18696.0,0.199,24.817,6.61,150,18696,4980
Stormbite,1.0,12331.0,0.133,16.368,4.322,100,12331,3256
