sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,1267.5282,13640.222,430.809,31920.568,550.124,324555,24047711,414442
Burst Shot,184.6513,28451.963,53.922,6973.671,166.155,40623,5253692,125175
Refulgent Arrow,91.69659999999999,39201.344,34.081,4771.458,225.516,25675,3594630,169895
Shot,248.0,9123.48,26.335,3003.372,51.581,19840,2262623,38859
Heartbreak Shot,89.99119999999999,24820.405,21.501,2964.871,114.808,16198,2233618,86492
Empyreal Arrow,49.0,35189.755,16.911,2288.807,88.541,12740,1724298,66703
Pitch Perfect,32.537000000000006,51356.056,14.322,2218.023,191.413,10790,1670972,144203
Radiant Encore,7.0,188602.286,9.69,1752.435,181.807,7300,1320216,136966
Apex Arrow,12.0,104393.833,10.854,1662.85,304.334,8177,1252726,229273
Blast Arrow,11.6521,107371.804,10.826,1660.701,134.63,8156,1251107,101425
Stormbite (dot),251.0,3514.789,8.329,1171.035,20.122,6275,882212,15159
Resonant Arrow,7.0,115813.714,5.947,1076.106,110.693,4480,810696,83392
Sidewinder,13.0,61976.385,6.902,1069.465,81.346,5200,805693,61283
Caustic Bite (dot),250.0,2813.0,6.637,933.483,16.079,5000,703250,12113
Iron Jaws,18.0,13941.722,2.389,333.109,21.348,1800,250951,16083
Caustic Bite,1.0,18696.0,0.199,24.817,6.61,150,18696,4980
Stormbite,1.0,12331.0,0.133,16.368,4.322,100,12331,3256
