sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,729,30878.846,300.405,29882.08,373.655,226300,22510679,281481
Souleater,73,44183.384,46.514,4281.58,131.179,35040,3225387,98819
Syphon Strike,73,35039.466,36.824,3395.491,104.036,27740,2557881,78372
Edge of Shadow,47,49220.106,28.7,3070.879,121.481,21620,2313345,91514
Bloodspiller,37,58104.838,29.47,2853.884,124.612,22200,2149879,93872
Auto,255,8372.796,30.465,2834.216,46.878,22950,2135063,35314
Hard Slash,73,27510.26,29.071,2665.875,81.619,21900,2008249,61485
Torcleaver,13,84181.0,14.151,1452.712,108.517,10660,1094353,81748
Comeuppance,13,73913.077,12.425,1275.519,95.281,9360,960870,71777
Shadowbringer,14,68188.571,11.151,1267.249,92.33,8400,954640,69554
Scarlet Delirium,13,63646.308,10.699,1098.345,82.045,8060,827402,61806
Disesteem,7,113653.857,9.292,1056.099,108.819,7000,795577,81975
Carve and Spit,13,55434.231,9.319,956.629,71.459,7020,720645,53831
Disesteem (pet),7,74584.571,5.761,693.058,71.417,4340,522092,53800
Shadowbringer (pet),7,68568.143,5.297,637.151,65.656,3990,479977,49460
Salt and Darkness,9,49584.889,5.974,592.399,52.89,4500,446264,39843
Abyssal Drain (pet),7,50520.143,3.903,469.445,48.374,2940,353641,36441
Bloodspiller (pet),7,50520.143,3.903,469.445,48.374,2940,353641,36441
Edge of Shadow (pet),7,50520.143,3.903,469.445,48.374,2940,353641,36441
Salted Earth (dot),45,4780.222,2.987,285.55,11.273,2250,215110,8492
Salted Earth,9,4780.222,0.597,57.11,5.042,450,43022,3798
