sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,888.0475,19917.869,704.828,40864.603,604.668,528710,30653601,453577
Leaping Opo,82.0,71528.695,50.285,7819.157,88.88,37720,5865353,66671
Auto,435.0,8531.255,52.191,4947.297,63.008,39150,3711096,47264
Pouncing Coeurl,60.0,53230.333,41.593,4257.711,144.233,31200,3193820,108193
The Forbidden Chakra,66.0475,47617.063,35.219,4192.613,406.713,26419,3144988,305086
Dragon Kick,82.0,35739.244,34.981,3906.834,114.899,26240,2930618,86189
Rising Raptor,45.0,54965.333,32.395,3297.366,128.934,24300,2473440,96717
Fire's Reply,13.0,172319.538,24.263,2986.37,220.566,18200,2240154,165452
Twin Snakes,45.0,42596.289,25.196,2555.348,99.913,18900,1916833,74947
Demolish,30.0,42540.967,16.797,1701.353,81.457,12600,1276229,61103
Phantom Rush,6.0,194626.667,11.998,1556.752,170.387,9000,1167760,127812
Wind's Reply,9.0,119651.889,12.478,1435.581,127.945,9360,1076867,95975
Elixir Burst,8.0,117556.875,9.598,1253.729,118.511,7200,940455,88898
Rising Phoenix,6.0,102734.0,7.199,821.734,87.877,5400,616404,65919
Six-sided Star,1.0,99584.0,1.234,132.756,72.597,926,99584,54457
