sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Afflatus Misery,Assize,Auto,Dia,Dia (dot),Glare III,Glare IV
-170,1120,Dia,10969.0,0,0,0,10969,0,0,0
-170,1500,Dia (dot),11244.0,0,0,0,10969,11244,0,0
1120,1652,Auto,0.0,0,0,0,10969,11244,0,0
-170,4500,Dia (dot),11244.0,0,0,0,10969,22488,0,0
3220,4510,Glare III,49122.0,0,0,0,10969,22488,49122,0
4560,5092,Auto,0.0,0,0,0,10969,22488,49122,0
5650,6940,Glare III,49122.0,0,0,0,10969,22488,98244,0
-170,7500,Dia (dot),11244.0,0,0,0,10969,33732,98244,0
8280,8812,Auto,0.0,0,0,0,10969,33732,98244,0
8389,9059,Assize,62042.0,0,62042,0,10969,33732,98244,0
7780,9070,Glare III,54286.0,0,62042,0,10969,33732,152530,0
9060,9640,Afflatus Misery,217155.0,217155,62042,0,10969,33732,152530,0
-170,10500,Dia (dot),11244.0,217155,62042,0,10969,44976,152530,0
11030,11562,Auto,0.0,217155,62042,0,10969,44976,152530,0
11000,11850,Glare IV,99255.0,217155,62042,0,10969,44976,152530,99255
-170,13500,Dia (dot),11244.0,217155,62042,0,10969,56220,152530,99255
12940,13790,Glare IV,99255.0,217155,62042,0,10969,56220,152530,198510
13780,14312,Auto,0.0,217155,62042,0,10969,56220,152530,198510
14881,15731,Glare IV,99255.0,217155,62042,0,10969,56220,152530,297765
-170,16500,Dia (dot),11244.0,217155,62042,0,10969,67464,152530,297765
16530,17062,Auto,0.0,217155,62042,0,10969,67464,152530,297765
17481,18771,Glare III,54286.0,217155,62042,0,10969,67464,206816,297765
-170,19500,Dia (dot),11244.0,217155,62042,0,10969,78708,206816,297765
19921,20453,Auto,0.0,217155,62042,0,10969,78708,206816,297765
19421,20711,Glare III,54286.0,217155,62042,0,10969,78708,261102,297765
-170,22500,Dia (dot),11244.0,217155,62042,0,10969,89952,261102,297765
21361,22651,Glare III,54286.0,217155,62042,0,10969,89952,315388,297765
24101,24633,Auto,0.0,217155,62042,0,10969,89952,315388,297765
23601,24891,Glare III,54286.0,217155,62042,0,10969,89952,369674,297765
-170,25500,Dia (dot),11244.0,217155,62042,0,10969,101196,369674,297765
25071,26361,Dia,13121.0,217155,62042,0,24090,101196,369674,297765
25071,28500,Dia (dot),13451.0,217155,62042,0,24090,114647,369674,297765
28961,29493,Auto,0.0,217155,62042,0,24090,114647,369674,297765
28461,29751,Glare III,49122.0,217155,62042,0,24090,114647,418796,297765
25071,31500,Dia (dot),13451.0,217155,62042,0,24090,128098,418796,297765
32401,32933,Auto,0.0,217155,62042,0,24090,128098,418796,297765
25071,34500,Dia (dot),13451.0,217155,62042,0,24090,141549,418796,297765
35841,36373,Auto,0.0,217155,62042,0,24090,141549,418796,297765
25071,37500,Dia (dot),13451.0,217155,62042,0,24090,155000,418796,297765
37221,37801,Afflatus Misery,181530.0,398685,62042,0,24090,155000,418796,297765
39281,39813,Auto,0.0,398685,62042,0,24090,155000,418796,297765
25071,40500,Dia (dot),13451.0,398685,62042,0,24090,168451,418796,297765
40611,41901,Glare III,45381.0,398685,62042,0,24090,168451,464177,297765
25071,43500,Dia (dot),13451.0,398685,62042,0,24090,181902,464177,297765
43541,44073,Auto,0.0,398685,62042,0,24090,181902,464177,297765
43041,44331,Glare III,45381.0,398685,62042,0,24090,181902,509558,297765
